date,fold,step,y_true,y_pred,sigma,lower,upper,model
2024-03-26,fold_16,1,1543567.0,2802219.6010152795,716322.3534236483,1398253.5869839566,4206185.615046602,ar_lag1_7
2024-03-27,fold_16,2,2892696.0,2988305.2764759385,495675.2468667484,2016799.6445891112,3959810.908362765,ar_lag1_7
2024-03-28,fold_16,3,2191147.0,2936317.301880528,503974.69271656324,1948545.0550364233,3924089.5487246322,ar_lag1_7
2024-03-29,fold_16,4,4343387.0,2963103.412855861,906044.5075843622,1187288.8096001826,4738918.016111538,ar_lag1_7
2024-03-30,fold_16,5,3881477.0,2920047.2997995755,768552.1531507726,1413712.759383349,4426381.8402158,ar_lag1_7
2024-03-31,fold_16,6,3424935.0,2782732.354799556,675706.5036915999,1458371.9434445389,4107092.7661545724,ar_lag1_7
2024-04-01,fold_16,7,2076451.0,2837042.323276605,637738.3859786108,1587098.0551998236,4086986.5913533857,ar_lag1_7
2024-04-02,fold_16,8,2629201.0,2826131.9557656017,560610.1289324258,1727356.2936896908,3924907.617841512,ar_lag1_7
2024-04-03,fold_16,9,3050575.0,2886946.8074674,773946.4424191044,1370039.6543630525,4403853.960571747,ar_lag1_7
2024-04-04,fold_16,10,4020627.0,2939311.2753027137,554769.8967463411,1851982.2579728803,4026640.2926325463,ar_lag1_7
2024-04-05,fold_16,11,2576477.0,2962199.847386018,925125.5879254569,1148987.0138756789,4775412.680896356,ar_lag1_7
2024-04-06,fold_16,12,3858362.0,2929697.9737301585,607592.6395346784,1738838.2829705612,4120557.6644897554,ar_lag1_7
2024-04-07,fold_16,13,2949651.0,2863552.248384292,677757.9557787243,1535171.0648225013,4191933.431946081,ar_lag1_7
2024-04-08,fold_16,14,2220460.0,2824353.106665367,647376.9358725143,1555517.6279333425,4093188.5853973906,ar_lag1_7
2024-04-09,fold_16,15,2569655.0,2828360.23896558,753226.6854816846,1352063.0632269988,4304657.41470416,ar_lag1_7
2024-04-10,fold_16,16,3523186.0,2880911.243730088,614264.5690255178,1676974.811461055,4084847.675999121,ar_lag1_7
2024-04-11,fold_16,17,2947392.0,2939884.3393034246,501158.94436328363,1957630.8578212757,3922137.8207855728,ar_lag1_7
2024-04-12,fold_16,18,2419352.0,2962109.459594363,482273.7420298128,2016870.2945265686,3907348.6246621567,ar_lag1_7
2024-04-13,fold_16,19,3833119.0,2930264.5866341856,625050.0908053663,1705188.920122177,4155340.2531461935,ar_lag1_7
2024-04-14,fold_16,20,3677789.0,2868209.8388384744,723470.5947319805,1450233.529290019,4286186.148386929,ar_lag1_7
2024-04-15,fold_16,21,2472961.0,2823307.9442005157,716825.3055037531,1418356.162206238,4228259.726194792,ar_lag1_7
2024-04-16,fold_16,22,3141374.0,2828558.8035879787,623643.5165269679,1606239.9720032115,4050877.635172745,ar_lag1_7
2024-04-17,fold_16,23,1387549.0,2880547.4892136245,650012.566153941,1606546.2700534405,4154548.7083738074,ar_lag1_7
2024-04-18,fold_16,24,1875152.0,2939941.6855492713,330114.92135784525,2292928.3289286224,3586955.04216992,ar_lag1_7
2024-04-19,fold_16,25,4195703.0,2962100.416365079,875207.1340848133,1246725.9545463268,4677474.8781838305,ar_lag1_7
2024-04-20,fold_16,26,2802140.0,2930298.100847472,642923.8698224701,1670190.4711943122,4190405.730500631,ar_lag1_7
2024-04-21,fold_16,27,3520453.0,2868478.1953970916,697385.8517910183,1501627.0425589075,4235329.348235275,ar_lag1_7
2024-04-22,fold_16,28,2467325.0,2823229.4811162287,552905.6387370282,1739554.342342539,3906904.619889918,ar_lag1_7
2024-04-23,fold_16,29,3010048.0,2828575.5275907773,792571.5272502318,1275163.8790084166,4381987.1761731375,ar_lag1_7
2024-04-24,fold_16,30,3449703.0,2880525.251695472,401521.5701600173,2093557.4351658653,3667493.068225078,ar_lag1_7
2024-04-25,fold_17,1,3253413.0,2847401.481548476,738239.745263629,1400478.168875739,4294324.794221212,ar_lag1_7
2024-04-26,fold_17,2,2241288.0,3048489.41962567,479029.3339570961,2109609.1775315516,3987369.661719788,ar_lag1_7
2024-04-27,fold_17,3,2545325.0,2937404.692309459,524056.1444800583,1910273.5232516257,3964535.861367292,ar_lag1_7
2024-04-28,fold_17,4,3293050.0,2914021.457824611,920061.5137064586,1110734.0273985465,4717308.888250674,ar_lag1_7
2024-04-29,fold_17,5,1877068.0,2798304.917492151,793232.3087515425,1243598.160965571,4353011.6740187295,ar_lag1_7
2024-04-30,fold_17,6,2695438.0,2826585.7671728698,664338.6950420707,1524505.8513540728,4128665.682991666,ar_lag1_7
