model,target,fold,test_start,n_test,n_scored,n_calib_folds,nominal_coverage,empirical_coverage,coverage_error,interval_width
ar_lag1_7,hormuz_tanker_capacity,fold_16,2024-03-26,30,30,15,0.95,0.9333333333333333,-0.016666666666666607,2539296.6668742294
ar_lag1_7,hormuz_tanker_capacity,fold_17,2024-04-25,30,30,16,0.95,0.8666666666666667,-0.08333333333333326,2551144.022432953
ar_lag1_7,hormuz_tanker_capacity,fold_18,2024-05-25,30,30,17,0.95,0.9333333333333333,-0.016666666666666607,2585905.8827992384
ar_lag1_7,hormuz_tanker_capacity,fold_19,2024-06-24,30,30,18,0.95,0.9333333333333333,-0.016666666666666607,2581499.424041344
ar_lag1_7,hormuz_tanker_capacity,fold_20,2024-07-24,30,30,19,0.95,0.9666666666666667,0.01666666666666672,2601781.546077029
ar_lag1_7,hormuz_tanker_capacity,fold_21,2024-08-23,30,30,20,0.95,0.8666666666666667,-0.08333333333333326,2580345.043570354
ar_lag1_7,hormuz_tanker_capacity,fold_22,2024-09-22,30,30,21,0.95,0.9,-0.04999999999999993,2592457.0443650354
ar_lag1_7,hormuz_tanker_capacity,fold_23,2024-10-22,30,30,22,0.95,0.9,-0.04999999999999993,2604408.632363429
ar_lag1_7,hormuz_tanker_capacity,fold_24,2024-11-21,30,30,23,0.95,0.8333333333333334,-0.11666666666666659,2600376.24885949
ar_lag1_7,hormuz_tanker_capacity,fold_25,2024-12-21,30,30,24,0.95,0.7666666666666667,-0.18333333333333324,2647536.031455716
ar_lag1_7,hormuz_tanker_capacity,fold_26,2025-01-20,30,30,25,0.95,0.9333333333333333,-0.016666666666666607,2711442.1656019604
ar_lag1_7,hormuz_tanker_capacity,fold_27,2025-02-19,30,30,26,0.95,0.9,-0.04999999999999993,2709426.0010225615
ar_lag1_7,hormuz_tanker_capacity,fold_28,2025-03-21,30,30,27,0.95,0.9,-0.04999999999999993,2734125.754781985
ar_lag1_7,hormuz_tanker_capacity,fold_29,2025-04-20,30,30,28,0.95,0.9666666666666667,0.01666666666666672,2733978.377807573
ar_lag1_7,hormuz_tanker_capacity,fold_30,2025-05-20,30,30,29,0.95,0.9666666666666667,0.01666666666666672,2723224.815809957
ar_lag1_7,hormuz_tanker_capacity,fold_31,2025-06-19,30,30,30,0.95,0.9333333333333333,-0.016666666666666607,2706317.6069793575
ar_lag1_7,hormuz_tanker_capacity,fold_32,2025-07-19,30,30,31,0.95,0.9666666666666667,0.01666666666666672,2704985.7507887175
ar_lag1_7,hormuz_tanker_capacity,fold_33,2025-08-18,30,30,32,0.95,0.9333333333333333,-0.016666666666666607,2698065.698912552
ar_lag1_7,hormuz_tanker_capacity,fold_34,2025-09-17,30,30,33,0.95,0.8333333333333334,-0.11666666666666659,2684238.8369131978
ar_lag1_7,hormuz_tanker_capacity,fold_35,2025-10-17,30,30,34,0.95,0.9,-0.04999999999999993,2685762.1243370506
ar_lag1_7,hormuz_tanker_capacity,fold_36,2025-11-16,30,30,35,0.95,0.9,-0.04999999999999993,2682552.5265498655
ar_lag1_7,hormuz_tanker_capacity,fold_37,2025-12-16,30,30,36,0.95,0.7666666666666667,-0.18333333333333324,2692230.539809251
ar_lag1_7,hormuz_tanker_capacity,fold_38,2026-01-15,30,30,37,0.95,0.9333333333333333,-0.016666666666666607,2710455.958989849
ar_lag1_7,hormuz_tanker_transits,fold_16,2024-03-26,30,30,15,0.95,0.9666666666666667,0.01666666666666672,35.51412849346964
ar_lag1_7,hormuz_tanker_transits,fold_17,2024-04-25,30,30,16,0.95,0.9333333333333333,-0.016666666666666607,35.09462279583114
ar_lag1_7,hormuz_tanker_transits,fold_18,2024-05-25,30,30,17,0.95,0.9333333333333333,-0.016666666666666607,34.998424080143835
ar_lag1_7,hormuz_tanker_transits,fold_19,2024-06-24,30,30,18,0.95,0.9666666666666667,0.01666666666666672,34.673033522170485
ar_lag1_7,hormuz_tanker_transits,fold_20,2024-07-24,30,30,19,0.95,0.9666666666666667,0.01666666666666672,34.506002146407006
ar_lag1_7,hormuz_tanker_transits,fold_21,2024-08-23,30,30,20,0.95,0.8666666666666667,-0.08333333333333326,34.394565643481464
ar_lag1_7,hormuz_tanker_transits,fold_22,2024-09-22,30,30,21,0.95,0.9666666666666667,0.01666666666666672,34.52960372805889
ar_lag1_7,hormuz_tanker_transits,fold_23,2024-10-22,30,30,22,0.95,0.9,-0.04999999999999993,34.29069498983719
ar_lag1_7,hormuz_tanker_transits,fold_24,2024-11-21,30,30,23,0.95,0.8666666666666667,-0.08333333333333326,34.35238718727884
