model,target,fold,train_start,train_end,test_start,test_end,n_train,n_test,n_scored,mae,rmse,mase,smape
seasonal_naive_7d,hormuz_tanker_transits,fold_01,2022-01-01,2022-12-31,2023-01-01,2023-01-30,365,30,7,6.714285714285714,8.008923594519874,0.7628417282495353,12.714504862416657
seasonal_naive_7d,hormuz_tanker_transits,fold_02,2022-01-01,2023-01-30,2023-01-31,2023-03-01,395,30,7,10.0,10.836446439150217,1.149970361588619,17.457840928298822
seasonal_naive_7d,hormuz_tanker_transits,fold_03,2022-01-01,2023-03-01,2023-03-02,2023-03-31,425,30,7,9.428571428571429,10.392304845413264,1.047897595624264,15.66517735840692
seasonal_naive_7d,hormuz_tanker_transits,fold_04,2022-01-01,2023-03-31,2023-04-01,2023-04-30,455,30,7,6.857142857142857,9.651054716602593,0.7651307596513076,11.935804437692505
seasonal_naive_7d,hormuz_tanker_transits,fold_05,2022-01-01,2023-04-30,2023-05-01,2023-05-30,485,30,7,4.571428571428571,6.0,0.5053521871283203,7.53369961580088
seasonal_naive_7d,hormuz_tanker_transits,fold_06,2022-01-01,2023-05-30,2023-05-31,2023-06-29,515,30,7,10.0,11.186726828829652,1.1021913647211978,15.661075692066781
seasonal_naive_7d,hormuz_tanker_transits,fold_07,2022-01-01,2023-06-29,2023-06-30,2023-07-29,545,30,7,11.714285714285714,12.994504332876375,1.2799118022513636,18.176311321533984
seasonal_naive_7d,hormuz_tanker_transits,fold_08,2022-01-01,2023-07-29,2023-07-30,2023-08-28,575,30,7,9.428571428571429,10.915257997081753,1.0332681017612524,14.519852359926269
seasonal_naive_7d,hormuz_tanker_transits,fold_09,2022-01-01,2023-08-28,2023-08-29,2023-09-27,605,30,7,13.142857142857142,15.892495983055293,1.444216937050454,21.616358296271994
seasonal_naive_7d,hormuz_tanker_transits,fold_10,2022-01-01,2023-09-27,2023-09-28,2023-10-27,635,30,7,8.428571428571429,10.399175791516226,0.917355781133944,12.58330135857879
seasonal_naive_7d,hormuz_tanker_transits,fold_11,2022-01-01,2023-10-27,2023-10-28,2023-11-26,665,30,7,12.142857142857142,14.545495129813512,1.3171777118364654,21.49445802689715
seasonal_naive_7d,hormuz_tanker_transits,fold_12,2022-01-01,2023-11-26,2023-11-27,2023-12-26,695,30,7,4.857142857142857,6.07100838882165,0.5132413278627378,9.178431080809053
seasonal_naive_7d,hormuz_tanker_transits,fold_13,2022-01-01,2023-12-26,2023-12-27,2024-01-25,725,30,7,5.857142857142857,7.201190377787748,0.6245067673639102,10.299368069183599
seasonal_naive_7d,hormuz_tanker_transits,fold_14,2022-01-01,2024-01-25,2024-01-26,2024-02-24,755,30,7,5.428571428571429,7.0710678118654755,0.5873819511892707,10.078448016312693
seasonal_naive_7d,hormuz_tanker_transits,fold_15,2022-01-01,2024-02-24,2024-02-25,2024-03-25,785,30,7,8.714285714285714,11.129112402035611,0.9484770964905267,17.22891202003971
seasonal_naive_7d,hormuz_tanker_transits,fold_16,2022-01-01,2024-03-25,2024-03-26,2024-04-24,815,30,7,7.857142857142857,10.191032472578177,0.848285866992441,13.078434124681207
seasonal_naive_7d,hormuz_tanker_transits,fold_17,2022-01-01,2024-04-24,2024-04-25,2024-05-24,845,30,7,13.285714285714286,15.075997953227319,1.4363860884309858,21.49478030958793
seasonal_naive_7d,hormuz_tanker_transits,fold_18,2022-01-01,2024-05-24,2024-05-25,2024-06-23,875,30,7,6.714285714285714,7.435436388384631,0.7273181080743791,10.719954221400533
seasonal_naive_7d,hormuz_tanker_transits,fold_19,2022-01-01,2024-06-23,2024-06-24,2024-07-23,905,30,7,8.142857142857142,10.481275822014362,0.8934855467113532,12.918847038674192
seasonal_naive_7d,hormuz_tanker_transits,fold_20,2022-01-01,2024-07-23,2024-07-24,2024-08-22,935,30,7,10.714285714285714,11.680264184879185,1.1832508797878307,18.525094877383367
seasonal_naive_7d,hormuz_tanker_transits,fold_21,2022-01-01,2024-08-22,2024-08-23,2024-09-21,965,30,7,18.0,20.989793438036223,1.986407095956687,29.574623070404293
seasonal_naive_7d,hormuz_tanker_transits,fold_22,2022-01-01,2024-09-21,2024-09-22,2024-10-21,995,30,7,7.571428571428571,9.312050564418437,0.8316366235210038,12.020350614455001
seasonal_naive_7d,hormuz_tanker_transits,fold_23,2022-01-01,2024-10-21,2024-10-22,2024-11-20,1025,30,7,8.0,9.456668093391638,0.878627683676772,14.83223068518758
seasonal_naive_7d,hormuz_tanker_transits,fold_24,2022-01-01,2024-11-20,2024-11-21,2024-12-20,1055,30,7,9.428571428571429,11.122692377040988,1.0355421145611883,17.709743990423
seasonal_naive_7d,hormuz_tanker_transits,fold_25,2022-01-01,2024-12-20,2024-12-21,2025-01-19,1085,30,7,11.285714285714286,12.403916432205712,1.2435858121230707,25.50713480423034
seasonal_naive_7d,hormuz_tanker_transits,fold_26,2022-01-01,2025-01-19,2025-01-20,2025-02-18,1115,30,7,12.142857142857142,12.529964086141668,1.3356781211442186,27.574740073392146
seasonal_naive_7d,hormuz_tanker_transits,fold_27,2022-01-01,2025-02-18,2025-02-19,2025-03-20,1145,30,7,5.571428571428571,6.813851438692469,0.6150243199423527,10.576041050698281
seasonal_naive_7d,hormuz_tanker_transits,fold_28,2022-01-01,2025-03-20,2025-03-21,2025-04-19,1175,30,7,15.571428571428571,18.727367292662514,1.7008723998343376,30.180629574224838
seasonal_naive_7d,hormuz_tanker_transits,fold_29,2022-01-01,2025-04-19,2025-04-20,2025-05-19,1205,30,7,17.714285714285715,20.156530313665453,1.912900151948286,31.184891434931792
seasonal_naive_7d,hormuz_tanker_transits,fold_30,2022-01-01,2025-05-19,2025-05-20,2025-06-18,1235,30,7,9.0,10.869354035215576,0.9655774943211602,14.97151518850841
seasonal_naive_7d,hormuz_tanker_transits,fold_31,2022-01-01,2025-06-18,2025-06-19,2025-07-18,1265,30,7,12.285714285714286,14.142135623730951,1.315915587179955,21.332727584081958
