scenario,method,n_corridors,corridor_correlation,n_placebo_draws,double_count_overlap,nominal_coverage,empirical_coverage,coverage_mc_se,mean_interval_width,meaningful_basin_effect,naive_basin_effect,n_replications,meets_nominal_coverage
ideal_independent_large_draws,independent_normal_sum,5,0.0,2000,0.0,0.8,0.801,0.006312665839405726,0.2865113786012233,0.5,0.5,4000,True
ideal_independent_large_draws,marginal_quantile_sum,5,0.0,2000,0.0,0.8,0.9965,0.0009337759367214316,0.6400365713906422,0.5,0.5,4000,False
ideal_independent_large_draws,placebo_reference_as_interval,5,0.0,2000,0.0,0.8,0.0,0.0,0.2862787599466818,0.5,0.5,4000,False
ideal_independent_large_draws,joint_centered_resample,5,0.0,2000,0.0,0.8,0.79975,0.006327518026446073,0.2862787599466817,0.5,0.5,4000,True
correlated_large_draws,independent_normal_sum,5,0.5,2000,0.0,0.8,0.5455,0.0078728925751594,0.2865121170741769,0.5,0.5,4000,False
correlated_large_draws,marginal_quantile_sum,5,0.5,2000,0.0,0.8,0.90525,0.004630670510304097,0.6400403632235252,0.5,0.5,4000,False
correlated_large_draws,placebo_reference_as_interval,5,0.5,2000,0.0,0.8,0.0,0.0,0.4956111260368208,0.5,0.5,4000,False
correlated_large_draws,joint_centered_resample,5,0.5,2000,0.0,0.8,0.80375,0.006279648427658989,0.4956111260368208,0.5,0.5,4000,True
correlated_nine_draws,independent_normal_sum,5,0.5,9,0.0,0.8,0.5365,0.00788460128985607,0.2826087620704284,0.5,0.5,4000,False
correlated_nine_draws,marginal_quantile_sum,5,0.5,9,0.0,0.8,0.8185,0.006094213443915465,0.5201818640604151,0.5,0.5,4000,True
correlated_nine_draws,placebo_reference_as_interval,5,0.5,9,0.0,0.8,0.0,0.0,0.4038829428210821,0.5,0.5,4000,False
correlated_nine_draws,joint_centered_resample,5,0.5,9,0.0,0.8,0.68425,0.0073493526500638135,0.4038829428210821,0.5,0.5,4000,False
double_counted_large_draws,independent_normal_sum,5,0.5,2000,0.25,0.8,0.45675,0.00787606242833308,0.2865121170741769,0.375,0.5,4000,False
double_counted_large_draws,marginal_quantile_sum,5,0.5,2000,0.25,0.8,0.833,0.005897266315844995,0.6400403632235252,0.375,0.5,4000,False
double_counted_large_draws,placebo_reference_as_interval,5,0.5,2000,0.25,0.8,0.0,0.0,0.4956111260368208,0.375,0.5,4000,False
double_counted_large_draws,joint_centered_resample,5,0.5,2000,0.25,0.8,0.70775,0.0071909654689061055,0.4956111260368208,0.375,0.5,4000,False
realistic_design_nine_draws,independent_normal_sum,5,0.5,9,0.25,0.8,0.45125,0.007868027667401786,0.2826087620704284,0.375,0.5,4000,False
realistic_design_nine_draws,marginal_quantile_sum,5,0.5,9,0.25,0.8,0.72,0.007099295739719539,0.5201818640604151,0.375,0.5,4000,False
realistic_design_nine_draws,placebo_reference_as_interval,5,0.5,9,0.25,0.8,0.0095,0.0015337657904647632,0.4038829428210821,0.375,0.5,4000,False
realistic_design_nine_draws,joint_centered_resample,5,0.5,9,0.25,0.8,0.587,0.007785097944149451,0.4038829428210821,0.375,0.5,4000,False
