imo,sample_period,event_id,project_id,terminal_name,terminal_lat,terminal_lon,end,destination_event_id,destination_project_id,destination_terminal_name,destination_terminal_lat,destination_terminal_lon,destination_start,destination_terminal_role,endpoint_status
9337705,pre,0cdd49b2cac8e3224c2d1bf73d5b6a6b,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-03-04 04:31:18+00:00,b21bfdac2b8aaf5828e19bf1f252f99a,T100000130291,Pengerang Johor LNG Terminal,1.341382,104.182089,2025-03-29 01:25:48+00:00,regasification,resolved_liquefaction_to_regasification
9337705,pre,24abf5c624f176f6c2ce3453aea23044,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-04-13 19:17:09+00:00,8e3992e9b8988b0d292d64ac5e4ffb54,T100000130384,Guangdong Dapeng LNG Terminal,22.5796,114.4345,2025-05-05 02:19:16+00:00,regasification,resolved_liquefaction_to_regasification
9337705,pre,72100eed9b53a3c2312b0f6628b242bb,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-05-23 04:52:53+00:00,,,,,,,,right_censored
9337717,pre,1e401f8e6415a0eebaf31a9ed0048562,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-03-08 04:42:58+00:00,0fe22ea9726fcc493b162adef3eab5c5,T100000130392,Rudong LNG Terminal (PetroChina),32.528814,121.428128,2025-03-28 03:18:16+00:00,regasification,resolved_liquefaction_to_regasification
9337717,pre,ce89659ad36398695a2f7147696d0aad,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-04-17 20:51:30+00:00,2554d9f098753185fb6c38fa19b411fa,T100000130466,Adriatic LNG Terminal,45.091667,12.586111,2025-05-25 15:44:05+00:00,regasification,resolved_liquefaction_to_regasification
9337729,post,a1b3c3732cccfb280edc4322102ad28a,T100000130593,Oman Qalhat LNG Terminal,22.6586,59.40748,2026-05-04 19:42:12+00:00,dfd6ea7f77c6ea1fa26e706f13d17afa,T100000130467,Futtsu LNG Terminal,35.3451724,139.8213313,2026-05-21 23:03:53+00:00,regasification,resolved_liquefaction_to_regasification
9337729,pre,f4797f18beb9c5cea0e7c1a6b6e83cc1,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-04-05 22:59:32+00:00,f563c94dc4aca023521dc3e8e3bef2ce,T100000130312,Incheon LNG Terminal,37.35124,126.602,2025-04-25 03:10:05+00:00,regasification,resolved_liquefaction_to_regasification
9337729,pre,1c128a664c7576d315dc7e9831c0b63f,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-05-15 15:59:26+00:00,,,,,,,,right_censored
9337731,pre,17dc56f7d22e4e88ec04bad36cf71816,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-03-27 19:07:15+00:00,bfa585213d62e0d36c8c2f8edaa50ec4,T100000130557,South Hook LNG Terminal,51.7152,-5.07627,2025-04-28 23:30:18+00:00,regasification,resolved_liquefaction_to_regasification
9337731,pre,541ce029e666b13bc419b86bcdefe3be,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-06-03 03:52:15+00:00,,,,,,,,right_censored
9337743,pre,01684d5bf8a70cd75f343427df164b2d,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-04-11 00:33:36+00:00,f09b360b00332f181fbef261bb3cd3f7,T100000130794,Huizhou LNG Terminal,22.611927,114.742272,2025-04-28 07:02:35+00:00,regasification,resolved_liquefaction_to_regasification
9337743,pre,668d631225cd4d3d56868245517a19b9,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-05-15 20:48:46+00:00,,,,,,,,right_censored
9337951,pre,2c695e5b2b8b23ed9968278b5d768548,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-03-29 05:17:00+00:00,,,,,,,,right_censored
9337963,post,4c5a46b9ad6a444b29fde2ce7a3004af,T100000130214,Cameron LNG Terminal,30.035379,-93.3383732,2026-05-24 08:30:03+00:00,,,,,,,,right_censored
9337963,pre,7e918b0fd85a39b711e24584b5f066cc,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-03-02 04:00:00+00:00,a5c5e980dfb87994162318a8112aace7,T100000130384,Guangdong Dapeng LNG Terminal,22.5796,114.4345,2025-03-22 05:50:51+00:00,regasification,resolved_liquefaction_to_regasification
9337963,pre,0b9de58355c193a771ad328708beb33b,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-04-10 21:57:08+00:00,,,,,,,,right_censored
9337975,pre,ed66d872b8f3d928154c9680c7d690cc,T100000130594,QatarEnergy LNG (N),25.908412,51.557708,2025-04-01 03:49:30+00:00,9cc4c2c9b6004d2146800594ba19e30e,T100000130671,Al Zour LNG Terminal,28.7183683,48.3973631,2025-04-07 04:04:13+00:00,regasification,resolved_liquefaction_to_regasification
