model,target,corridor,n_folds_scored,mean_mase,median_mase
ar_lag1_7,capacity_tanker,bab_el_mandeb_strait,23,1.0013367125958894,0.9982583395557495
ar_lag1_7,capacity_tanker,bohai_strait,23,0.7846441858406231,0.7874489395602332
ar_lag1_7,capacity_tanker,bosporus_strait,23,0.6689612501493098,0.679143791047866
ar_lag1_7,capacity_tanker,cape_of_good_hope,23,0.8888116961741986,0.8450196608050196
ar_lag1_7,capacity_tanker,dover_strait,23,0.7440478776440884,0.7384518674773812
ar_lag1_7,capacity_tanker,gibraltar_strait,23,0.6811571413991884,0.666169058953238
ar_lag1_7,capacity_tanker,korea_strait,23,0.7115449326745289,0.6986163364240742
ar_lag1_7,capacity_tanker,lombok_strait,23,0.7102435816976514,0.6781577171420773
ar_lag1_7,capacity_tanker,luzon_strait,23,0.7568298897077578,0.6977365699115798
ar_lag1_7,capacity_tanker,makassar_strait,23,0.7835419460033274,0.7456492453682548
ar_lag1_7,capacity_tanker,malacca_strait,23,0.7056036232977311,0.6899009195079174
ar_lag1_7,capacity_tanker,mona_passage,23,0.7231742137540514,0.709232036912515
ar_lag1_7,capacity_tanker,oresund_strait,23,0.7908131330963989,0.7425477337951137
ar_lag1_7,capacity_tanker,panama_canal,23,0.764952524165163,0.7671033460767624
ar_lag1_7,capacity_tanker,strait_of_hormuz,23,0.7681990722189742,0.7491540018240946
ar_lag1_7,capacity_tanker,suez_canal,23,0.9139633784989689,0.9512961624561149
ar_lag1_7,capacity_tanker,sunda_strait,23,0.7836858026621667,0.7831021795088987
ar_lag1_7,capacity_tanker,taiwan_strait,23,0.8036578934778404,0.8003316849325806
ar_lag1_7,capacity_tanker,tsugaru_strait,23,0.8907866587798354,0.8718044808344803
ar_lag1_7,capacity_tanker,yucatan_channel,23,0.7208655631176654,0.7167085285087013
ar_lag1_7,n_tanker,bab_el_mandeb_strait,23,1.0929990526593973,1.0828321514971284
ar_lag1_7,n_tanker,balabac_strait,23,0.7635452448186955,0.7603719213498437
ar_lag1_7,n_tanker,bering_strait,23,1.5786603505752046,1.0394006122518178
ar_lag1_7,n_tanker,bohai_strait,23,0.693924176806538,0.6624465986450134
ar_lag1_7,n_tanker,bosporus_strait,23,0.6966994355790087,0.6676900821016125
ar_lag1_7,n_tanker,cape_of_good_hope,23,1.2299951601738426,1.0326760409683762
ar_lag1_7,n_tanker,dover_strait,23,0.7103361975734022,0.6873159417406727
ar_lag1_7,n_tanker,gibraltar_strait,23,0.66102943341967,0.6586391411413403
ar_lag1_7,n_tanker,kerch_strait,23,0.9934054156009687,0.9855561152989649
ar_lag1_7,n_tanker,korea_strait,23,0.7693243363177956,0.757589594758859
ar_lag1_7,n_tanker,lombok_strait,23,0.6916401530160812,0.6687598818383154
ar_lag1_7,n_tanker,luzon_strait,23,0.8413379859629756,0.8130595834420274
ar_lag1_7,n_tanker,magellan_strait,23,0.7231452207701576,0.7302732316899748
ar_lag1_7,n_tanker,makassar_strait,23,0.7357730932525101,0.7010925491939386
ar_lag1_7,n_tanker,malacca_strait,23,0.723673762012672,0.7196259757698548
ar_lag1_7,n_tanker,mindoro_strait,23,0.7366565205739846,0.7309492104015848
ar_lag1_7,n_tanker,mona_passage,23,0.7557229246231875,0.7434466737044726
ar_lag1_7,n_tanker,ombai_strait,23,0.7225183838358689,0.7278717947161917
ar_lag1_7,n_tanker,oresund_strait,23,0.7133836301841943,0.7050930484463857
ar_lag1_7,n_tanker,panama_canal,23,0.7736790233103374,0.7865999599794851
ar_lag1_7,n_tanker,strait_of_hormuz,23,0.9875272287304587,0.7966297208603002
ar_lag1_7,n_tanker,suez_canal,23,0.9798315496041764,1.0059964626858064
ar_lag1_7,n_tanker,sunda_strait,23,0.7843926497695507,0.797036874784504
ar_lag1_7,n_tanker,taiwan_strait,23,0.7573515670774428,0.7274274712065198
ar_lag1_7,n_tanker,torres_strait,23,0.706542821929326,0.6847743866046276
ar_lag1_7,n_tanker,tsugaru_strait,23,0.8099050647215379,0.6900459394941529
ar_lag1_7,n_tanker,windward_passage,23,0.7295904496424316,0.7532565266382113
ar_lag1_7,n_tanker,yucatan_channel,23,0.85711391889599,0.7835180088149496
