date,target,unit,corridor,portname,basin_group,value,is_pre_cutoff,eligible_for_admission
2022-01-01,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,356956.0,True,True
2022-01-02,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1153956.0,True,True
2022-01-03,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1109628.0,True,True
2022-01-04,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,625527.0,True,True
2022-01-05,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,687756.0,True,True
2022-01-06,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,941044.0,True,True
2022-01-07,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,817248.0,True,True
2022-01-08,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,340618.0,True,True
2022-01-09,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,540220.0,True,True
2022-01-10,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1080943.0,True,True
2022-01-11,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,590961.0,True,True
2022-01-12,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1294128.0,True,True
2022-01-13,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,435431.0,True,True
2022-01-14,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,981013.0,True,True
2022-01-15,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1439578.0,True,True
2022-01-16,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1093450.0,True,True
