target,corridor,n_days_expected,n_observed,n_missing,missing_rate,n_zero_days,longest_zero_run_days,pre_mean,pre_median,pre_std,pre_p05,pre_p95,pre_min,pre_max
capacity_tanker,bab_el_mandeb_strait,1519,1517,2,0.0013166556945358788,0,0,877512.2030323006,816092.0,439493.9734637809,272282.39999999997,1669483.0,19468.0,2535354.0
capacity_tanker,balabac_strait,1519,1399,120,0.07899934167215274,60,4,38932.63330950679,23214.0,40810.69462566107,2036.0,121951.79999999999,0.0,329606.0
capacity_tanker,bering_strait,1519,1347,172,0.11323238973008558,1179,159,8085.241276911655,0.0,30596.541626557,0.0,78900.20000000001,0.0,313328.0
capacity_tanker,bohai_strait,1519,1519,0,0.0,1,1,697473.4489795918,662259.0,289133.26894986036,277301.1,1193997.3999999997,0.0,2016951.0
capacity_tanker,bosporus_strait,1519,1518,1,0.0006583278472679394,0,0,462311.8774703557,464959.5,193940.9528100285,138200.55,793279.0499999998,5141.0,1154166.0
capacity_tanker,cape_of_good_hope,1519,1513,6,0.003949967083607637,0,0,921778.1692002644,874979.0,476928.1752719598,211500.0,1784306.7999999998,13975.0,2745867.0
capacity_tanker,dover_strait,1519,1519,0,0.0,0,0,1479699.8229098092,1445768.0,389141.8447062243,890896.3,2139879.2,570077.0,3175268.0
capacity_tanker,gibraltar_strait,1519,1519,0,0.0,0,0,1421508.67281106,1389976.0,410518.0608578367,788597.4,2150102.2999999993,361681.0,3558535.0
capacity_tanker,kerch_strait,1519,1313,206,0.13561553653719552,395,19,16586.120335110434,6567.0,33398.21708967479,0.0,65591.59999999941,0.0,436631.0
capacity_tanker,korea_strait,1519,1519,0,0.0,1,1,829243.5608953258,798519.0,307485.57379790815,390096.8,1369621.4,0.0,2233338.0
capacity_tanker,lombok_strait,1519,1497,22,0.014483212639894667,0,0,145546.6372745491,127348.0,106606.86312023689,11917.8,353482.60000000003,1240.0,694230.0
capacity_tanker,luzon_strait,1519,1518,1,0.0006583278472679394,1,1,1627745.7015810276,1553729.5,705752.3477319094,608877.05,2877283.5999999996,0.0,5660832.0
capacity_tanker,magellan_strait,1519,1240,279,0.1836734693877551,518,9,49654.618548387094,18595.0,69465.0234138321,0.0,171586.94999999998,0.0,426385.0
capacity_tanker,makassar_strait,1519,1470,49,0.03225806451612903,3,1,71060.50476190477,44763.5,76634.15949844869,2868.0,214229.59999999998,0.0,491243.0
capacity_tanker,malacca_strait,1519,1519,0,0.0,0,0,3495298.0750493747,3456245.0,795609.2745323173,2284966.6,4834439.899999999,1402221.0,6596353.0
capacity_tanker,mindoro_strait,1519,1348,171,0.11257406188281764,64,2,58469.29154302671,42076.5,58810.288460645796,697.0000000000017,164666.94999999998,0.0,389732.0
capacity_tanker,mona_passage,1519,1367,152,0.10006583278472679,124,3,74262.17629846379,48053.0,82817.14867613577,0.0,254955.50000000012,0.0,679795.0
capacity_tanker,ombai_strait,1519,1257,262,0.17248189598420013,30,1,88754.49085123309,79969.0,60783.653320898266,4608.4,204410.40000000005,0.0,397396.0
capacity_tanker,oresund_strait,1519,1505,14,0.009216589861751152,0,0,28234.50166112957,23015.0,21967.58352134915,7480.2,66053.59999999999,976.0,234741.0
capacity_tanker,panama_canal,1519,1519,0,0.0,0,0,316316.61092824227,309274.0,104104.92646012557,154205.0,491857.5,49784.0,729690.0
capacity_tanker,strait_of_hormuz,1519,1519,0,0.0,0,0,2711289.814351547,2682588.0,919895.6329520085,1222957.9,4224202.5,287064.0,5919231.0
capacity_tanker,suez_canal,1519,1519,0,0.0,1,1,875321.228439763,827929.0,390114.75557889283,329318.8,1593819.8999999994,0.0,2370287.0
capacity_tanker,sunda_strait,1519,1519,0,0.0,0,0,289159.69256089535,236910.0,221264.2621894032,32013.0,714417.8999999999,1098.0,1483599.0
capacity_tanker,taiwan_strait,1519,1519,0,0.0,0,0,834775.0500329164,802300.0,337711.538565991,358468.10000000003,1435102.9,24290.0,2988134.0
capacity_tanker,torres_strait,1519,1229,290,0.19091507570770244,168,3,47172.10903173312,41029.0,42434.681910589636,0.0,126522.59999999982,0.0,273537.0
capacity_tanker,tsugaru_strait,1519,1512,7,0.004608294930875576,3,1,129855.65873015873,107507.0,99875.14285285486,17052.75,319389.1500000001,0.0,960700.0
capacity_tanker,windward_passage,1519,1235,284,0.1869651086240948,239,4,46795.65101214575,36494.0,50265.441984770216,0.0,136902.19999999995,0.0,397683.0
capacity_tanker,yucatan_channel,1519,1518,1,0.0006583278472679394,0,0,712262.7628458499,672895.5,297585.28831176396,307965.3,1240553.3499999999,33168.0,2443624.0
n_tanker,bab_el_mandeb_strait,1519,1519,0,0.0,0,0,17.526662277814353,16.0,7.701901198212556,7.0,31.0,3.0,42.0
n_tanker,balabac_strait,1519,1519,0,0.0,60,4,3.5062541145490456,3.0,1.9110128421718782,1.0,7.0,0.0,11.0
n_tanker,bering_strait,1519,1519,0,0.0,1179,159,0.35813034891375906,0.0,0.7832136637450977,0.0,2.0,0.0,5.0
n_tanker,bohai_strait,1519,1519,0,0.0,1,1,36.6899275839368,37.0,8.346062316272915,23.0,49.0,0.0,107.0
n_tanker,bosporus_strait,1519,1519,0,0.0,0,0,23.56221198156682,24.0,5.179382391273521,15.0,31.0,1.0,42.0
n_tanker,cape_of_good_hope,1519,1519,0,0.0,0,0,13.701777485187623,13.0,5.966192921079146,5.0,24.0,1.0,49.0
n_tanker,dover_strait,1519,1519,0,0.0,0,0,61.65240289664253,61.0,8.634675502523434,48.0,76.0,32.0,95.0
n_tanker,gibraltar_strait,1519,1519,0,0.0,0,0,46.975641869651085,47.0,7.7718665444305035,35.0,60.0,19.0,75.0
n_tanker,kerch_strait,1519,1519,0,0.0,395,19,3.3192890059249507,3.0,3.394964964390307,0.0,10.0,0.0,28.0
n_tanker,korea_strait,1519,1519,0,0.0,1,1,61.06122448979592,61.0,10.565789442182144,44.0,77.0,0.0,123.0
n_tanker,lombok_strait,1519,1519,0,0.0,0,0,7.41211323238973,7.0,2.5817359313681836,3.0,12.0,1.0,17.0
n_tanker,luzon_strait,1519,1519,0,0.0,1,1,25.45687952600395,25.0,7.591467959271714,13.0,38.0,0.0,59.0
n_tanker,magellan_strait,1519,1519,0,0.0,518,9,1.0809743252139565,1.0,1.0372000917384083,0.0,3.0,0.0,6.0
n_tanker,makassar_strait,1519,1519,0,0.0,3,1,5.21395655036208,5.0,2.211400590104808,2.0,9.0,0.0,14.0
n_tanker,malacca_strait,1519,1519,0,0.0,0,0,82.47531270572745,82.0,8.84543100634747,69.0,97.0,53.0,111.0
n_tanker,mindoro_strait,1519,1519,0,0.0,64,2,3.410796576695194,3.0,1.8772725246607058,1.0,7.0,0.0,11.0
n_tanker,mona_passage,1519,1519,0,0.0,124,3,2.5016458196181697,2.0,1.5846234710784943,0.0,5.0,0.0,10.0
n_tanker,ombai_strait,1519,1519,0,0.0,30,1,3.8795260039499673,4.0,1.8648247415458954,1.0,7.0,0.0,12.0
n_tanker,oresund_strait,1519,1519,0,0.0,0,0,11.598420013166557,11.0,3.3385041785533898,6.0,17.0,2.0,25.0
n_tanker,panama_canal,1519,1519,0,0.0,0,0,12.366030283080974,12.0,3.0617801149124197,8.0,17.09999999999991,2.0,24.0
n_tanker,strait_of_hormuz,1519,1519,0,0.0,0,0,57.09348255431205,57.0,15.077461944262708,32.0,81.09999999999991,13.0,102.0
n_tanker,suez_canal,1519,1519,0,0.0,1,1,18.736668861092824,18.0,6.535232754621155,9.0,30.0,0.0,44.0
n_tanker,sunda_strait,1519,1519,0,0.0,0,0,11.556287030941409,11.0,3.335533278534307,6.0,17.0,1.0,24.0
n_tanker,taiwan_strait,1519,1519,0,0.0,0,0,51.88215931533904,53.0,10.906474685442289,35.0,68.0,2.0,127.0
n_tanker,torres_strait,1519,1519,0,0.0,168,3,2.1033574720210666,2.0,1.4218261182259575,0.0,5.0,0.0,9.0
n_tanker,tsugaru_strait,1519,1519,0,0.0,3,1,12.18235681369322,12.0,5.066519775621476,4.0,21.0,0.0,43.0
n_tanker,windward_passage,1519,1519,0,0.0,239,4,1.8894009216589862,2.0,1.3962634483339096,0.0,4.0,0.0,9.0
n_tanker,yucatan_channel,1519,1519,0,0.0,0,0,24.127057274522713,24.0,5.171274536644193,16.0,33.0,2.0,43.0
