slug,post_signed_deviation,n_scored,reliable,rose_post_treatment,excluded_a_priori,excluded_data_driven_rose,excluded_pessimistic_union,excluded_none,data_driven_only_suspect
cape_of_good_hope,0.4617725391765247,94,True,True,True,True,True,False,False
yucatan_channel,0.22847210131625365,94,True,True,False,True,True,False,True
panama_canal,0.2101032647438628,94,True,True,True,True,True,False,False
mona_passage,0.1048489825880119,94,True,True,False,True,True,False,True
mindoro_strait,0.07695531121925184,94,True,True,False,True,True,False,True
lombok_strait,0.061136856540037164,94,True,True,False,True,True,False,True
sunda_strait,0.036833193687375296,94,True,True,False,True,True,False,True
tsugaru_strait,0.014612970690595434,94,True,True,False,True,True,False,True
dover_strait,-0.044055723876549185,94,True,False,False,False,False,False,False
torres_strait,-0.049596578460954464,94,True,False,False,False,False,False,False
windward_passage,-0.06414495694982823,94,True,False,False,False,False,False,False
gibraltar_strait,-0.07495110283015274,94,True,False,True,False,True,False,False
balabac_strait,-0.09384258573278989,94,True,False,False,False,False,False,False
taiwan_strait,-0.11182257956201537,94,True,False,False,False,False,False,False
bosporus_strait,-0.11250936686457164,94,True,False,False,False,False,False,False
bohai_strait,-0.12200342586328058,94,True,False,False,False,False,False,False
oresund_strait,-0.13585711230259434,94,True,False,False,False,False,False,False
malacca_strait,-0.14628489322952612,94,True,False,False,False,False,False,False
makassar_strait,-0.15969099114791235,94,True,False,False,False,False,False,False
korea_strait,-0.16931437377251393,94,True,False,False,False,False,False,False
magellan_strait,-0.18139614340119364,94,True,False,False,False,False,False,False
suez_canal,-0.1958968926674489,94,True,False,True,False,True,False,False
ombai_strait,-0.19791485681285198,94,True,False,False,False,False,False,False
luzon_strait,-0.21923393666634725,94,True,False,False,False,False,False,False
bab_el_mandeb_strait,-0.23497025465731228,94,True,False,True,False,True,False,False
kerch_strait,-0.24363953171524672,94,True,False,False,False,False,False,False
bering_strait,-0.9157972854154253,94,True,False,False,False,False,False,False
