week_end,portwatch_tanker_transits_observed_daily_mean,portwatch_tanker_transits_counterfactual_daily_mean,portwatch_tanker_transits_shortfall_daily_mean,wto_lng_outbound_index_observed_daily_mean,wto_lng_outbound_index_counterfactual_daily_mean,wto_lng_outbound_index_shortfall_daily_mean,east_spot_observed_usd_per_day,one_year_charter_observed_usd_per_day,west_spot_observed_usd_per_day,east_spot_counterfactual_usd_per_day,one_year_charter_counterfactual_usd_per_day,west_spot_counterfactual_usd_per_day,east_spot_deviation_usd_per_day,one_year_charter_deviation_usd_per_day,west_spot_deviation_usd_per_day,ttf_eur_per_mwh,vlsfo_singapore_usd_per_metric_tonne,ttf_eur_per_mwh_pre_zscore,vlsfo_singapore_usd_per_metric_tonne_pre_zscore
2026-03-06,7.142857142857143,55.171238873777405,48.028381730920266,13.54525942404649,103.60911767018304,90.06385824613655,90000.0,55000.0,200000.0,15000.0,24000.0,29000.0,75000.0,31000.0,171000.0,49.8294,690.5,-0.1721271236460139,0.472949962615007
2026-03-13,0.2857142857142857,56.01013099000978,55.72441670429549,0.0,101.29873821325337,101.29873821325337,110000.0,50000.0,120000.0,15000.0,24000.0,29000.0,95000.0,26000.0,91000.0,50.529999999999994,1109.9,-0.15701213181415666,3.555746304749335
2026-03-20,0.7142857142857143,56.651514787007144,55.93722907272143,0.0,101.16080150051474,101.16080150051474,90000.0,50000.0,90000.0,15000.0,24000.0,29000.0,75000.0,26000.0,61000.0,55.55499999999999,1015.8,-0.04860100712805456,2.864065008147427
2026-03-27,0.5714285714285714,56.931074731036446,56.35964615960787,0.0,101.15501458376609,101.15501458376609,85000.0,52500.0,70000.0,15000.0,24000.0,29000.0,70000.0,28500.0,41000.0,54.274,875.65,-0.07623775354057125,1.833893555238209
2026-04-03,3.142857142857143,57.0379641926156,53.89510704975845,3.877277246468959,101.1548279243007,97.27755067783174,75000.0,50000.0,70000.0,15000.0,24000.0,29000.0,60000.0,26000.0,41000.0,50.4394,864.25,-0.15896676821148212,1.7500979465106663
2026-04-10,2.857142857142857,57.07762128432823,54.22047842718537,0.0,101.15482506913553,101.15482506913553,55000.0,50000.0,67000.0,15000.0,24000.0,29000.0,40000.0,26000.0,38000.0,47.5894,814.05,-0.22045367474986838,1.3811032484297334
2026-04-17,5.571428571428571,57.09248528457577,51.521056713147196,0.0,101.15482530668596,101.15482530668596,54000.0,50000.0,70000.0,15000.0,24000.0,29000.0,39000.0,26000.0,41000.0,42.980000000000004,747.4,-0.31989849825795175,0.8911929570533553
2026-04-24,5.142857142857143,57.09818214856569,51.95532500570855,0.0,101.15482533985895,101.15482533985895,50000.0,50000.0,75000.0,15000.0,24000.0,29000.0,35000.0,26000.0,46000.0,43.39,711.45,-0.3110530134576927,0.6269427698818506
2026-05-01,2.4285714285714284,57.100406854204884,54.671835425633454,0.0,101.15482534262017,101.15482534262017,50000.0,51500.0,75000.0,15000.0,24000.0,29000.0,35000.0,27500.0,46000.0,44.672399999999996,789.25,-0.283386062950736,1.1988110469873603
2026-05-08,1.1428571428571428,57.101284419118564,55.958427276261425,5.944764722119016,101.15482534280832,95.2100606206893,50000.0,51500.0,75000.0,15000.0,24000.0,29000.0,35000.0,27500.0,46000.0,45.510000000000005,839.3,-0.26531538473440186,1.5667031712692465
2026-05-15,2.5714285714285716,57.10163158894012,54.53020301751155,0.0,101.15482534281952,101.15482534281952,45000.0,51500.0,70000.0,15000.0,24000.0,29000.0,30000.0,27500.0,41000.0,47.825,836.65,-0.21537075714269513,1.5472243674860895
2026-05-22,2.142857142857143,57.101768813593985,54.95891167073684,0.0,101.15482534282009,101.15482534282009,43000.0,51000.0,70000.0,15000.0,24000.0,29000.0,28000.0,27000.0,41000.0,50.046,842.3,-0.1674541187490966,1.5887546472501788
2026-05-29,1.0,57.101822951233466,56.101822951233466,0.0,101.15482534282012,101.15482534282012,45000.0,50500.0,80000.0,15000.0,24000.0,29000.0,30000.0,26500.0,51000.0,46.915,789.1,-0.23500341852863604,1.1977084731883134
2026-06-05,1.8571428571428572,57.10184427654918,55.244701419406326,0.0,101.15482534282012,101.15482534282012,45000.0,50000.0,85000.0,15000.0,24000.0,29000.0,30000.0,26000.0,56000.0,48.3,789.4,-0.20512293938629744,1.1999136207864067
2026-06-12,1.2857142857142858,57.10185266990082,55.81613838418654,0.0,101.15482534282012,101.15482534282012,55000.0,49000.0,80000.0,15000.0,24000.0,29000.0,40000.0,25000.0,51000.0,49.091,750.85,-0.18805762602774878,0.9165521544314273
2026-06-19,2.857142857142857,57.10185597263457,54.24471311549171,4.781949869195584,101.15482534282012,96.37287547362453,55000.0,49000.0,77000.0,15000.0,24000.0,29000.0,40000.0,25000.0,48000.0,41.730000000000004,670.5,-0.34686643972215625,0.32594012274212536
2026-06-26,12.857142857142858,57.10185727233725,44.24471441519439,0.0,101.15482534282012,101.15482534282012,53000.0,51000.0,67000.0,15000.0,24000.0,29000.0,38000.0,27000.0,38000.0,41.065,693.0,-0.3612133845811131,0.4913261925991172
2026-07-03,14.428571428571429,57.10185778388275,42.673286355311326,3.716613078597391,101.15482534282012,97.43821226422273,45000.0,50000.0,67000.0,15000.0,24000.0,29000.0,30000.0,26000.0,38000.0,43.508,658.1,-0.3085072397834718,0.23479402202093871
