origin_rule,horizon_days,block_index,block_name,test_start,test_end,train_start,train_end,n_train_days,n_test_days
backward_anchored_from_cutoff,30,1,bwd_01,2023-01-15,2023-02-13,2022-01-01,2023-01-14,379,30
backward_anchored_from_cutoff,30,2,bwd_02,2023-02-14,2023-03-15,2022-01-01,2023-02-13,409,30
backward_anchored_from_cutoff,30,3,bwd_03,2023-03-16,2023-04-14,2022-01-01,2023-03-15,439,30
backward_anchored_from_cutoff,30,4,bwd_04,2023-04-15,2023-05-14,2022-01-01,2023-04-14,469,30
backward_anchored_from_cutoff,30,5,bwd_05,2023-05-15,2023-06-13,2022-01-01,2023-05-14,499,30
backward_anchored_from_cutoff,30,6,bwd_06,2023-06-14,2023-07-13,2022-01-01,2023-06-13,529,30
backward_anchored_from_cutoff,30,7,bwd_07,2023-07-14,2023-08-12,2022-01-01,2023-07-13,559,30
backward_anchored_from_cutoff,30,8,bwd_08,2023-08-13,2023-09-11,2022-01-01,2023-08-12,589,30
backward_anchored_from_cutoff,30,9,bwd_09,2023-09-12,2023-10-11,2022-01-01,2023-09-11,619,30
backward_anchored_from_cutoff,30,10,bwd_10,2023-10-12,2023-11-10,2022-01-01,2023-10-11,649,30
backward_anchored_from_cutoff,30,11,bwd_11,2023-11-11,2023-12-10,2022-01-01,2023-11-10,679,30
backward_anchored_from_cutoff,30,12,bwd_12,2023-12-11,2024-01-09,2022-01-01,2023-12-10,709,30
backward_anchored_from_cutoff,30,13,bwd_13,2024-01-10,2024-02-08,2022-01-01,2024-01-09,739,30
backward_anchored_from_cutoff,30,14,bwd_14,2024-02-09,2024-03-09,2022-01-01,2024-02-08,769,30
backward_anchored_from_cutoff,30,15,bwd_15,2024-03-10,2024-04-08,2022-01-01,2024-03-09,799,30
backward_anchored_from_cutoff,30,16,bwd_16,2024-04-09,2024-05-08,2022-01-01,2024-04-08,829,30
backward_anchored_from_cutoff,30,17,bwd_17,2024-05-09,2024-06-07,2022-01-01,2024-05-08,859,30
backward_anchored_from_cutoff,30,18,bwd_18,2024-06-08,2024-07-07,2022-01-01,2024-06-07,889,30
backward_anchored_from_cutoff,30,19,bwd_19,2024-07-08,2024-08-06,2022-01-01,2024-07-07,919,30
backward_anchored_from_cutoff,30,20,bwd_20,2024-08-07,2024-09-05,2022-01-01,2024-08-06,949,30
backward_anchored_from_cutoff,30,21,bwd_21,2024-09-06,2024-10-05,2022-01-01,2024-09-05,979,30
backward_anchored_from_cutoff,30,22,bwd_22,2024-10-06,2024-11-04,2022-01-01,2024-10-05,1009,30
backward_anchored_from_cutoff,30,23,bwd_23,2024-11-05,2024-12-04,2022-01-01,2024-11-04,1039,30
backward_anchored_from_cutoff,30,24,bwd_24,2024-12-05,2025-01-03,2022-01-01,2024-12-04,1069,30
backward_anchored_from_cutoff,30,25,bwd_25,2025-01-04,2025-02-02,2022-01-01,2025-01-03,1099,30
backward_anchored_from_cutoff,30,26,bwd_26,2025-02-03,2025-03-04,2022-01-01,2025-02-02,1129,30
backward_anchored_from_cutoff,30,27,bwd_27,2025-03-05,2025-04-03,2022-01-01,2025-03-04,1159,30
backward_anchored_from_cutoff,30,28,bwd_28,2025-04-04,2025-05-03,2022-01-01,2025-04-03,1189,30
backward_anchored_from_cutoff,30,29,bwd_29,2025-05-04,2025-06-02,2022-01-01,2025-05-03,1219,30
