origin_rule,role,horizon_days,block_index,block_name,is_treated_window,test_start,test_end,train_start,train_end,n_train_days,n_test_days,observed_sum,counterfactual_sum,cumulative_throughput_loss,mean_daily_throughput_loss
backward_anchored_from_cutoff,sensitivity,30,1,bwd_01,False,2023-01-15,2023-02-13,2022-01-01,2023-01-14,379,30,1678.0,1878.7271884660083,200.72718846600827,6.690906282200276
backward_anchored_from_cutoff,sensitivity,30,2,bwd_02,False,2023-02-14,2023-03-15,2022-01-01,2023-02-13,409,30,1887.0,1890.9005194982126,3.900519498212617,0.13001731660708724
backward_anchored_from_cutoff,sensitivity,30,3,bwd_03,False,2023-03-16,2023-04-14,2022-01-01,2023-03-15,439,30,1701.0,1883.2615264104163,182.26152641041645,6.0753842136805485
backward_anchored_from_cutoff,sensitivity,30,4,bwd_04,False,2023-04-15,2023-05-14,2022-01-01,2023-04-14,469,30,1968.0,1884.2911038600016,-83.70889613999825,-2.7902965379999416
backward_anchored_from_cutoff,sensitivity,30,5,bwd_05,False,2023-05-15,2023-06-13,2022-01-01,2023-05-14,499,30,1860.0,1893.979271932958,33.979271932958135,1.132642397765271
backward_anchored_from_cutoff,sensitivity,30,6,bwd_06,False,2023-06-14,2023-07-13,2022-01-01,2023-06-13,529,30,1949.0,1854.2749481493156,-94.72505185068445,-3.157501728356148
backward_anchored_from_cutoff,sensitivity,30,7,bwd_07,False,2023-07-14,2023-08-12,2022-01-01,2023-07-13,559,30,1917.0,1899.706276418233,-17.293723581767082,-0.5764574527255694
backward_anchored_from_cutoff,sensitivity,30,8,bwd_08,False,2023-08-13,2023-09-11,2022-01-01,2023-08-12,589,30,1885.0,1906.6773289371652,21.677328937165136,0.7225776312388379
backward_anchored_from_cutoff,sensitivity,30,9,bwd_09,False,2023-09-12,2023-10-11,2022-01-01,2023-09-11,619,30,1952.0,1883.3282055049845,-68.67179449501549,-2.2890598165005165
backward_anchored_from_cutoff,sensitivity,30,10,bwd_10,False,2023-10-12,2023-11-10,2022-01-01,2023-10-11,649,30,1554.0,1893.6120336923902,339.6120336923906,11.320401123079685
backward_anchored_from_cutoff,sensitivity,30,11,bwd_11,False,2023-11-11,2023-12-10,2022-01-01,2023-11-10,679,30,1532.0,1845.3984596371022,313.39845963710223,10.446615321236742
backward_anchored_from_cutoff,sensitivity,30,12,bwd_12,False,2023-12-11,2024-01-09,2022-01-01,2023-12-10,709,30,1438.0,1840.5560928256873,402.55609282568736,13.418536427522913
backward_anchored_from_cutoff,sensitivity,30,13,bwd_13,False,2024-01-10,2024-02-08,2022-01-01,2024-01-09,739,30,1560.0,1807.1169651896193,247.1169651896194,8.237232172987314
backward_anchored_from_cutoff,sensitivity,30,14,bwd_14,False,2024-02-09,2024-03-09,2022-01-01,2024-02-08,769,30,1510.0,1802.9743212993124,292.9743212993124,9.76581070997708
backward_anchored_from_cutoff,sensitivity,30,15,bwd_15,False,2024-03-10,2024-04-08,2022-01-01,2024-03-09,799,30,1964.0,1793.1318991101487,-170.8681008898516,-5.695603362995054
backward_anchored_from_cutoff,sensitivity,30,16,bwd_16,False,2024-04-09,2024-05-08,2022-01-01,2024-04-08,829,30,1957.0,1839.2435316586732,-117.75646834132688,-3.9252156113775625
backward_anchored_from_cutoff,sensitivity,30,17,bwd_17,False,2024-05-09,2024-06-07,2022-01-01,2024-05-08,859,30,2041.0,1829.0528102355772,-211.9471897644228,-7.06490632548076
backward_anchored_from_cutoff,sensitivity,30,18,bwd_18,False,2024-06-08,2024-07-07,2022-01-01,2024-06-07,889,30,1974.0,1838.9306342210966,-135.06936577890326,-4.502312192630109
backward_anchored_from_cutoff,sensitivity,30,19,bwd_19,False,2024-07-08,2024-08-06,2022-01-01,2024-07-07,919,30,2024.0,1873.7981585070477,-150.20184149295227,-5.0067280497650755
backward_anchored_from_cutoff,sensitivity,30,20,bwd_20,False,2024-08-07,2024-09-05,2022-01-01,2024-08-06,949,30,1680.0,1833.0386714524207,153.038671452421,5.101289048414033
backward_anchored_from_cutoff,sensitivity,30,21,bwd_21,False,2024-09-06,2024-10-05,2022-01-01,2024-09-05,979,30,1646.0,1848.8524203067936,202.85242030679396,6.761747343559799
backward_anchored_from_cutoff,sensitivity,30,22,bwd_22,False,2024-10-06,2024-11-04,2022-01-01,2024-10-05,1009,30,1525.0,1808.798869058606,283.7988690586062,9.45996230195354
backward_anchored_from_cutoff,sensitivity,30,23,bwd_23,False,2024-11-05,2024-12-04,2022-01-01,2024-11-04,1039,30,1258.0,1791.1885266516238,533.1885266516236,17.772950888387456
backward_anchored_from_cutoff,sensitivity,30,24,bwd_24,False,2024-12-05,2025-01-03,2022-01-01,2024-12-04,1069,30,1104.0,1736.5400268285866,632.5400268285864,21.08466756095288
backward_anchored_from_cutoff,sensitivity,30,25,bwd_25,False,2025-01-04,2025-02-02,2022-01-01,2025-01-03,1099,30,1429.0,1710.9802279292087,281.98022792920847,9.399340930973615
backward_anchored_from_cutoff,sensitivity,30,26,bwd_26,False,2025-02-03,2025-03-04,2022-01-01,2025-02-02,1129,30,1458.0,1731.7320526948308,273.7320526948309,9.124401756494363
backward_anchored_from_cutoff,sensitivity,30,27,bwd_27,False,2025-03-05,2025-04-03,2022-01-01,2025-03-04,1159,30,1691.0,1712.5885073637216,21.588507363721405,0.7196169121240469
backward_anchored_from_cutoff,sensitivity,30,28,bwd_28,False,2025-04-04,2025-05-03,2022-01-01,2025-04-03,1189,30,1814.0,1806.2073551745077,-7.79264482549236,-0.259754827516412
backward_anchored_from_cutoff,sensitivity,30,29,bwd_29,False,2025-05-04,2025-06-02,2022-01-01,2025-05-03,1219,30,1895.0,1762.5177664021262,-132.48223359787357,-4.4160744532624525
backward_anchored_from_cutoff,sensitivity,30,30,bwd_30,False,2025-06-03,2025-07-02,2022-01-01,2025-06-02,1249,30,1635.0,1799.6692335363975,164.66923353639797,5.488974451213266
backward_anchored_from_cutoff,sensitivity,30,31,bwd_31,False,2025-07-03,2025-08-01,2022-01-01,2025-07-02,1279,30,1765.0,1739.5326031272134,-25.46739687278677,-0.8489132290928924
