destination_country,pre_resolved_voyages,pre_unique_imos,pre_nominal_capacity_m3,pre_expanded_m3_nm,pre_expanded_route_coverage_rate,pre_hormuz_exposed_voyages,pre_hormuz_exposed_nominal_capacity_m3,pre_hormuz_exposed_expanded_m3_nm,pre_inside_hormuz_non_crossing_voyages,pre_non_gulf_voyages,pre_non_gulf_nominal_capacity_m3,pre_non_gulf_expanded_m3_nm,post_resolved_voyages,post_unique_imos,post_nominal_capacity_m3,post_expanded_m3_nm,post_expanded_route_coverage_rate,post_hormuz_exposed_voyages,post_hormuz_exposed_nominal_capacity_m3,post_hormuz_exposed_expanded_m3_nm,post_inside_hormuz_non_crossing_voyages,post_non_gulf_voyages,post_non_gulf_nominal_capacity_m3,post_non_gulf_expanded_m3_nm,pre_hormuz_exposure_capacity_share_pct,total_capacity_percent_change,hormuz_exposed_capacity_absolute_change_m3,hormuz_exposed_capacity_percent_change,non_gulf_capacity_absolute_change_m3,non_gulf_capacity_percent_change,descriptive_non_gulf_offset_ratio,expanded_m3_nm_percent_change,country_hormuz_exposed_estimate_estimable,country_hormuz_exposed_suppression_reason
India,78,41,11828800.0,31313015914.1981,0.9358974358974359,54,7896200.0,11747882900.428757,0,24,3932600.0,19565133013.769352,56,48,9227500.0,49879159778.61101,0.8571428571428571,0,0.0,,0,56,9227500.0,49879159778.61101,66.75402407682944,-21.991241715135935,,,5294900.0,134.64120429232568,,59.29209730320022,False,post exposed voyages below 5
Taiwan,60,50,9342900.0,43542692870.68561,1.0,24,3482400.0,18837765147.970367,0,36,5860500.0,24704927722.715252,36,30,6101000.0,28095106452.317467,1.0,0,0.0,,0,36,6101000.0,28095106452.317467,37.273223517323316,-34.69907630393133,,,240500.0,4.103745414213811,,-35.47687430413375,False,post exposed voyages below 5
China,112,70,17937800.0,64754782448.501915,0.9732142857142857,16,2408500.0,13227332284.325552,0,96,15529300.0,51527450164.17637,108,70,17521200.0,65852890539.34284,0.9907407407407407,1,135000.0,866809719.8772696,0,107,17386200.0,64986080819.465576,13.426953138065983,-2.3224698680997635,,,1856900.0,11.957396663082044,,1.695794579673282,False,post exposed voyages below 5
Pakistan,15,11,2200300.0,2073647610.302272,1.0,15,2200300.0,2073647610.302272,0,0,0.0,,1,1,138300.0,130339255.78548571,1.0,1,138300.0,130339255.78548571,0,0,0.0,,100.0,-93.71449347816207,,,0.0,,,-93.71449347816207,False,post exposed voyages below 5
Bangladesh,14,12,2225100.0,8716945527.267906,1.0,12,1896100.0,6433097762.405836,0,2,329000.0,2283847764.8620687,13,12,2210600.0,16279184777.242107,1.0,0,0.0,,0,13,2210600.0,16279184777.242107,85.214147678756,-0.6516561053435788,,,1881600.0,571.9148936170213,,86.75331543966163,False,post exposed voyages below 5
Japan,155,103,24652420.0,92411468928.23744,0.9612903225806452,8,1251200.0,8289779621.676704,0,147,23401220.0,84121689306.56075,104,79,16612500.0,60684549489.78253,0.9519230769230769,0,0.0,,0,104,16612500.0,60684549489.78253,5.075363797955738,-32.613106542887074,,,-6788720.0,-29.0101114386344,,-34.33223149292497,False,post exposed voyages below 5
Belgium,31,25,5291900.0,21583500813.002644,1.0,5,818900.0,5252444191.718078,0,26,4473000.0,16331056621.284563,22,16,3756100.0,12028600625.842499,1.0,0,0.0,,0,22,3756100.0,12028600625.842499,15.474593246282053,-29.021712428428348,,,-716900.0,-16.02727475966913,,-44.26946430026747,False,post exposed voyages below 5
South Korea,88,69,13947185.0,64778133049.45658,0.9886363636363636,5,779800.0,4903611682.395128,0,83,13167385.0,59874521367.06145,55,49,8781300.0,40890596881.49552,0.9818181818181818,0,0.0,,0,55,8781300.0,40890596881.49552,5.591092396064152,-37.03890785129759,,,-4386085.0,-33.31022067023939,,-36.875925630217665,False,post exposed voyages below 5
Thailand,28,26,4681100.0,23694100953.700954,1.0,2,319600.0,1422131047.7199178,0,26,4361500.0,22271969905.98103,28,27,4861300.0,35598781353.29381,1.0,0,0.0,,0,28,4861300.0,35598781353.29381,6.827455085343188,3.849522548119033,,,499800.0,11.459360311819333,,50.24322477081948,False,post exposed voyages below 5
Italy,20,19,3494200.0,19304321881.08528,1.0,1,174000.0,773295171.2671717,0,19,3320200.0,18531026709.818108,23,20,3989000.0,23079395922.83007,1.0,0,0.0,,0,23,3989000.0,23079395922.83007,4.979680613588232,14.160609009215275,,,668800.0,20.143364857538693,,19.55559001242968,False,post exposed voyages below 5
