week_end,series,selected_model,observed_usd_per_day,counterfactual_usd_per_day,lower_90_usd_per_day,upper_90_usd_per_day,deviation_usd_per_day
2026-03-06,east_spot,last_observation,90000.0,15000.0,-3000.0,33000.0,75000.0
2026-03-13,east_spot,last_observation,110000.0,15000.0,-3000.0,33000.0,95000.0
2026-03-20,east_spot,last_observation,90000.0,15000.0,-3000.0,33000.0,75000.0
2026-03-27,east_spot,last_observation,85000.0,15000.0,-3000.0,33000.0,70000.0
2026-04-03,east_spot,last_observation,75000.0,15000.0,-3000.0,33000.0,60000.0
2026-04-10,east_spot,last_observation,55000.0,15000.0,-3000.0,33000.0,40000.0
2026-04-17,east_spot,last_observation,54000.0,15000.0,-3000.0,33000.0,39000.0
2026-04-24,east_spot,last_observation,50000.0,15000.0,-3000.0,33000.0,35000.0
2026-05-01,east_spot,last_observation,50000.0,15000.0,-3000.0,33000.0,35000.0
2026-05-08,east_spot,last_observation,50000.0,15000.0,-3000.0,33000.0,35000.0
2026-05-15,east_spot,last_observation,45000.0,15000.0,-3000.0,33000.0,30000.0
2026-05-22,east_spot,last_observation,43000.0,15000.0,-3000.0,33000.0,28000.0
2026-05-29,east_spot,last_observation,45000.0,15000.0,-3000.0,33000.0,30000.0
2026-06-05,east_spot,last_observation,45000.0,15000.0,-3000.0,33000.0,30000.0
2026-06-12,east_spot,last_observation,55000.0,15000.0,-3000.0,33000.0,40000.0
2026-06-19,east_spot,last_observation,55000.0,15000.0,-3000.0,33000.0,40000.0
2026-06-26,east_spot,last_observation,53000.0,15000.0,-3000.0,33000.0,38000.0
2026-07-03,east_spot,last_observation,45000.0,15000.0,-3000.0,33000.0,30000.0
2026-03-06,west_spot,last_observation,200000.0,29000.0,4000.0,54000.0,171000.0
2026-03-13,west_spot,last_observation,120000.0,29000.0,4000.0,54000.0,91000.0
2026-03-20,west_spot,last_observation,90000.0,29000.0,4000.0,54000.0,61000.0
2026-03-27,west_spot,last_observation,70000.0,29000.0,4000.0,54000.0,41000.0
2026-04-03,west_spot,last_observation,70000.0,29000.0,4000.0,54000.0,41000.0
2026-04-10,west_spot,last_observation,67000.0,29000.0,4000.0,54000.0,38000.0
2026-04-17,west_spot,last_observation,70000.0,29000.0,4000.0,54000.0,41000.0
2026-04-24,west_spot,last_observation,75000.0,29000.0,4000.0,54000.0,46000.0
2026-05-01,west_spot,last_observation,75000.0,29000.0,4000.0,54000.0,46000.0
2026-05-08,west_spot,last_observation,75000.0,29000.0,4000.0,54000.0,46000.0
2026-05-15,west_spot,last_observation,70000.0,29000.0,4000.0,54000.0,41000.0
2026-05-22,west_spot,last_observation,70000.0,29000.0,4000.0,54000.0,41000.0
2026-05-29,west_spot,last_observation,80000.0,29000.0,4000.0,54000.0,51000.0
2026-06-05,west_spot,last_observation,85000.0,29000.0,4000.0,54000.0,56000.0
2026-06-12,west_spot,last_observation,80000.0,29000.0,4000.0,54000.0,51000.0
2026-06-19,west_spot,last_observation,77000.0,29000.0,4000.0,54000.0,48000.0
2026-06-26,west_spot,last_observation,67000.0,29000.0,4000.0,54000.0,38000.0
2026-07-03,west_spot,last_observation,67000.0,29000.0,4000.0,54000.0,38000.0
2026-03-06,one_year_charter,last_observation,55000.0,24000.0,18500.0,29500.0,31000.0
2026-03-13,one_year_charter,last_observation,50000.0,24000.0,18500.0,29500.0,26000.0
2026-03-20,one_year_charter,last_observation,50000.0,24000.0,18500.0,29500.0,26000.0
2026-03-27,one_year_charter,last_observation,52500.0,24000.0,18500.0,29500.0,28500.0
2026-04-03,one_year_charter,last_observation,50000.0,24000.0,18500.0,29500.0,26000.0
2026-04-10,one_year_charter,last_observation,50000.0,24000.0,18500.0,29500.0,26000.0
2026-04-17,one_year_charter,last_observation,50000.0,24000.0,18500.0,29500.0,26000.0
2026-04-24,one_year_charter,last_observation,50000.0,24000.0,18500.0,29500.0,26000.0
2026-05-01,one_year_charter,last_observation,51500.0,24000.0,18500.0,29500.0,27500.0
2026-05-08,one_year_charter,last_observation,51500.0,24000.0,18500.0,29500.0,27500.0
2026-05-15,one_year_charter,last_observation,51500.0,24000.0,18500.0,29500.0,27500.0
2026-05-22,one_year_charter,last_observation,51000.0,24000.0,18500.0,29500.0,27000.0
2026-05-29,one_year_charter,last_observation,50500.0,24000.0,18500.0,29500.0,26500.0
2026-06-05,one_year_charter,last_observation,50000.0,24000.0,18500.0,29500.0,26000.0
2026-06-12,one_year_charter,last_observation,49000.0,24000.0,18500.0,29500.0,25000.0
2026-06-19,one_year_charter,last_observation,49000.0,24000.0,18500.0,29500.0,25000.0
2026-06-26,one_year_charter,last_observation,51000.0,24000.0,18500.0,29500.0,27000.0
2026-07-03,one_year_charter,last_observation,50000.0,24000.0,18500.0,29500.0,26000.0
