series,selected_model,pseudo_cutoff_week,horizon_weeks,scored_observations,average_deviation_usd_per_day,cumulative_deviation_usd_per_day_weeks
east_spot,last_observation,2024-01-05,18,17,-30911.764705882353,-525500.0
east_spot,last_observation,2024-02-02,18,17,-6147.058823529412,-104500.0
east_spot,last_observation,2024-03-01,18,17,-7264.705882352941,-123500.0
east_spot,last_observation,2024-03-29,18,17,5441.176470588235,92500.0
east_spot,last_observation,2024-04-26,18,18,12805.555555555555,230500.0
east_spot,last_observation,2024-05-24,18,18,12194.444444444445,219500.0
east_spot,last_observation,2024-06-21,18,18,12833.333333333334,231000.0
east_spot,last_observation,2024-07-19,18,18,-2694.4444444444443,-48500.0
east_spot,last_observation,2024-08-16,18,18,-32027.777777777777,-576500.0
east_spot,last_observation,2024-09-13,18,17,-31676.470588235294,-538500.0
east_spot,last_observation,2024-10-11,18,17,-23735.29411764706,-403500.0
east_spot,last_observation,2024-11-08,18,17,-9941.176470588236,-169000.0
east_spot,last_observation,2025-01-31,18,15,1066.6666666666667,16000.0
east_spot,last_observation,2025-02-28,18,15,10400.0,156000.0
east_spot,last_observation,2025-03-28,18,17,6411.764705882353,109000.0
east_spot,last_observation,2025-04-25,18,18,5666.666666666667,102000.0
east_spot,last_observation,2025-05-23,18,18,5055.555555555556,91000.0
east_spot,last_observation,2025-06-20,18,18,6277.777777777777,113000.0
east_spot,last_observation,2025-07-18,18,18,-5055.555555555556,-91000.0
east_spot,last_observation,2025-08-15,18,18,7777.777777777777,140000.0
east_spot,last_observation,2025-09-12,18,18,16444.444444444445,296000.0
east_spot,last_observation,2025-10-10,18,18,23611.11111111111,425000.0
west_spot,last_observation,2024-01-05,18,17,-59882.35294117647,-1018000.0
west_spot,last_observation,2024-02-02,18,17,-8117.64705882353,-138000.0
west_spot,last_observation,2024-03-01,18,17,-764.7058823529412,-13000.0
west_spot,last_observation,2024-03-29,18,17,9411.764705882353,160000.0
west_spot,last_observation,2024-04-26,18,18,10333.333333333334,186000.0
west_spot,last_observation,2024-05-24,18,18,17388.88888888889,313000.0
west_spot,last_observation,2024-06-21,18,18,3138.8888888888887,56500.0
west_spot,last_observation,2024-07-19,18,18,-27611.11111111111,-497000.0
west_spot,last_observation,2024-08-16,18,18,-25722.222222222223,-463000.0
west_spot,last_observation,2024-09-13,18,17,-23176.470588235294,-394000.0
west_spot,last_observation,2024-10-11,18,15,-25200.0,-378000.0
west_spot,last_observation,2024-11-08,18,15,66.66666666666667,1000.0
west_spot,last_observation,2025-02-28,18,15,14800.0,222000.0
west_spot,last_observation,2025-03-28,18,17,8294.117647058823,141000.0
west_spot,last_observation,2025-04-25,18,18,6555.555555555556,118000.0
west_spot,last_observation,2025-05-23,18,18,1666.6666666666667,30000.0
west_spot,last_observation,2025-06-20,18,18,1861.111111111111,33500.0
west_spot,last_observation,2025-07-18,18,18,1694.4444444444443,30500.0
west_spot,last_observation,2025-08-15,18,18,15027.777777777777,270500.0
west_spot,last_observation,2025-09-12,18,18,23250.0,418500.0
west_spot,last_observation,2025-10-10,18,18,28027.777777777777,504500.0
one_year_charter,last_observation,2024-01-05,18,17,-12264.70588235294,-208500.0
one_year_charter,last_observation,2024-02-02,18,17,1205.8823529411766,20500.0
one_year_charter,last_observation,2024-03-01,18,17,3735.294117647059,63500.0
one_year_charter,last_observation,2024-03-29,18,17,5382.35294117647,91500.0
one_year_charter,last_observation,2024-04-26,18,18,5555.555555555556,100000.0
one_year_charter,last_observation,2024-05-24,18,18,277.77777777777777,5000.0
one_year_charter,last_observation,2024-06-21,18,18,-2222.222222222222,-40000.0
one_year_charter,last_observation,2024-07-19,18,18,-9222.222222222223,-166000.0
one_year_charter,last_observation,2024-08-16,18,18,-17055.555555555555,-307000.0
one_year_charter,last_observation,2024-09-13,18,17,-23823.529411764706,-405000.0
one_year_charter,last_observation,2024-10-11,18,17,-26794.117647058825,-455500.0
one_year_charter,last_observation,2024-11-08,18,17,-7705.882352941177,-131000.0
one_year_charter,last_observation,2025-01-31,18,15,-4200.0,-63000.0
one_year_charter,last_observation,2025-02-28,18,15,4666.666666666667,70000.0
one_year_charter,last_observation,2025-03-28,18,17,6647.058823529412,113000.0
one_year_charter,last_observation,2025-04-25,18,18,4833.333333333333,87000.0
one_year_charter,last_observation,2025-05-23,18,18,3833.3333333333335,69000.0
one_year_charter,last_observation,2025-06-20,18,18,611.1111111111111,11000.0
one_year_charter,last_observation,2025-07-18,18,18,-4000.0,-72000.0
one_year_charter,last_observation,2025-08-15,18,18,-1666.6666666666667,-30000.0
one_year_charter,last_observation,2025-09-12,18,18,55.55555555555556,1000.0
one_year_charter,last_observation,2025-10-10,18,18,2444.4444444444443,44000.0
