source_project_id,source_terminal_name,source_country,destination_basin,route_nm,route_cost_note
T100000130212,Calcasieu Pass LNG Terminal,United States,Atlantic,1473.1379794773543,minimum expanded-accepted terminal route to any observed basin terminal
T100000130212,Calcasieu Pass LNG Terminal,United States,Middle East,6727.373059625707,minimum expanded-accepted terminal route to any observed basin terminal
T100000130212,Calcasieu Pass LNG Terminal,United States,Pacific,4174.912912489382,minimum expanded-accepted terminal route to any observed basin terminal
T100000130214,Cameron LNG Terminal,United States,Atlantic,1496.1606324644924,minimum expanded-accepted terminal route to any observed basin terminal
T100000130214,Cameron LNG Terminal,United States,Middle East,6750.395712612845,minimum expanded-accepted terminal route to any observed basin terminal
T100000130214,Cameron LNG Terminal,United States,Pacific,4197.9355654765195,minimum expanded-accepted terminal route to any observed basin terminal
T100000130216,Corpus Christi LNG Terminal,United States,Atlantic,1565.6901741789752,minimum expanded-accepted terminal route to any observed basin terminal
T100000130216,Corpus Christi LNG Terminal,United States,Middle East,6880.517279506708,minimum expanded-accepted terminal route to any observed basin terminal
T100000130216,Corpus Christi LNG Terminal,United States,Pacific,4267.465107191002,minimum expanded-accepted terminal route to any observed basin terminal
T100000130217,Cove Point LNG Terminal,United States,Atlantic,3258.411541560501,minimum expanded-accepted terminal route to any observed basin terminal
T100000130217,Cove Point LNG Terminal,United States,Middle East,5476.316549688158,minimum expanded-accepted terminal route to any observed basin terminal
T100000130217,Cove Point LNG Terminal,United States,Pacific,8496.07003176597,minimum expanded-accepted terminal route to any observed basin terminal
T100000130221,Elba Island LNG Terminal,United States,Atlantic,1840.5051401545863,minimum expanded-accepted terminal route to any observed basin terminal
T100000130224,Freeport LNG Terminal,United States,Atlantic,1247.2655558699364,minimum expanded-accepted terminal route to any observed basin terminal
T100000130224,Freeport LNG Terminal,United States,Middle East,6813.958491151054,minimum expanded-accepted terminal route to any observed basin terminal
T100000130224,Freeport LNG Terminal,United States,Pacific,9491.850398681208,minimum expanded-accepted terminal route to any observed basin terminal
T100000130240,Sabine Pass LNG Terminal,United States,Atlantic,1489.181089703437,minimum expanded-accepted terminal route to any observed basin terminal
T100000130240,Sabine Pass LNG Terminal,United States,Middle East,6743.41616985179,minimum expanded-accepted terminal route to any observed basin terminal
T100000130240,Sabine Pass LNG Terminal,United States,Pacific,4190.956022715463,minimum expanded-accepted terminal route to any observed basin terminal
T100000130242,Plaquemines LNG Terminal,United States,Atlantic,1377.4798578827551,minimum expanded-accepted terminal route to any observed basin terminal
