scenario,source_project_id,source_terminal_name,source_country,destination_basin,flow_k_m3,route_nm,baseline_hormuz_route_nm,transport_k_m3_nm,baseline_equivalent_k_m3_nm,additional_k_m3_nm,flow_type
incremental_non_gulf_growth_only,T100000130249,Damietta SEGAS LNG Terminal,Egypt,Atlantic,173.0,1556.7864469927003,5872.15706573518,269324.05532973714,1015883.1723721862,-746559.117042449,observed_route_supply
incremental_non_gulf_growth_only,T100000130221,Elba Island LNG Terminal,United States,Atlantic,345.0,1840.5051401545863,5872.15706573518,634974.2733533323,2025894.1876786372,-1390919.914325305,observed_route_supply
incremental_non_gulf_growth_only,T100000130242,Plaquemines LNG Terminal,United States,Atlantic,133.0,1377.4798578827551,5872.15706573518,183204.82109840642,780996.889742779,-597792.0686443726,observed_route_supply
incremental_non_gulf_growth_only,T100000130518,Yamal LNG Terminal,Russia,Atlantic,515.0,2612.1212961280385,5872.15706573518,1345242.4675059398,3024160.888853618,-1678918.4213476782,observed_route_supply
incremental_non_gulf_growth_only,T100000130245,Angola LNG Terminal,Angola,Pacific,508.0,6352.723857961249,3399.2759120320325,3227183.7198443147,1726832.1633122724,1500351.5565320423,observed_route_supply
incremental_non_gulf_growth_only,T100000130273,Brunei LNG Terminal,Brunei,Pacific,147.0,793.3589898111143,3399.2759120320325,116623.7715022338,499693.5590687088,-383069.787566475,observed_route_supply
incremental_non_gulf_growth_only,T100000130292,Dua Malaysia LNG Terminal,Malaysia,Pacific,980.0,906.2395420591076,3399.2759120320325,888114.7512179255,3331290.393791392,-2443175.6425734665,observed_route_supply
incremental_non_gulf_growth_only,T100000130494,Hammerfest LNG Snohvit Terminal,Norway,Pacific,266.0,7696.337328219248,3399.2759120320325,2047225.72930632,904207.3926005206,1143018.3367057992,observed_route_supply
incremental_non_gulf_growth_only,T100000130358,LNG Canada Terminal,Canada,Pacific,4000.0,3915.4110503725433,3399.2759120320325,15661644.201490173,13597103.64812813,2064540.5533620433,observed_route_supply
incremental_non_gulf_growth_only,T100000130259,Nigeria LNG Terminal,Nigeria,Pacific,332.0,7019.533469075512,3399.2759120320325,2330485.1117330696,1128559.6027946349,1201925.508938435,observed_route_supply
incremental_non_gulf_growth_only,T100000130242,Plaquemines LNG Terminal,United States,Pacific,646.0,9585.650140577503,3399.2759120320325,6192329.990813067,2195932.239172693,3996397.7516403743,observed_route_supply
incremental_non_gulf_growth_only,,,,Pacific,13380.0,,3399.2759120320325,0.0,0.0,0.0,unmet
post_non_gulf_pool,T100000130243,Arzew-Bethioua LNG Terminal,Algeria,Atlantic,1166.0,182.22542175214951,5872.15706573518,212474.84176300635,6846935.13864722,-6634460.296884214,observed_route_supply
post_non_gulf_pool,T100000130278,Bontang LNG Terminal,Indonesia,Pacific,796.0,935.006844134126,3399.2759120320325,744265.4479307643,2705823.625977498,-1961558.1780467336,observed_route_supply
post_non_gulf_pool,T100000130273,Brunei LNG Terminal,Brunei,Pacific,2412.0,793.3589898111143,3399.2759120320325,1913581.8834244076,8199053.499821262,-6285471.616396856,observed_route_supply
post_non_gulf_pool,T100000130292,Dua Malaysia LNG Terminal,Malaysia,Pacific,980.0,906.2395420591076,3399.2759120320325,888114.7512179255,3331290.393791392,-2443175.6425734665,observed_route_supply
post_non_gulf_pool,T100000130337,North West Shelf LNG Terminal,Australia,Pacific,96.0,1712.0318808957245,3399.2759120320325,164355.06056598955,326330.4875550751,-161975.42698908556,observed_route_supply
post_non_gulf_pool,T100000130593,Oman Qalhat LNG Terminal,Oman,Pacific,4309.0,645.7547214715499,3399.2759120320325,2782557.0948209087,14647479.904946027,-11864922.810125118,observed_route_supply
post_non_gulf_pool,T100000130576,Peru LNG Terminal,Peru,Pacific,695.0,1267.2378506044,3399.2759120320325,880730.306170058,2362496.7588622626,-1481766.4526922049,observed_route_supply
post_non_gulf_pool,T100000130512,Sakhalin II LNG Terminal,Russia,Pacific,4708.0,655.361445059239,3399.2759120320325,3085441.6833388973,16003790.99384681,-12918349.310507912,observed_route_supply
post_non_gulf_pool,T100000130294,Satu Malaysia Terminal,Malaysia,Pacific,6263.0,607.4663065890173,3399.2759120320325,3804561.4781670156,21289665.03705662,-17485103.558889605,observed_route_supply
