scenario,source_project_id,source_terminal_name,source_country,gross_post_capacity_m3,committed_post_capacity_m3,committed_destination_count,supply_capacity_m3,gross_post_k_m3,committed_post_k_m3,supply_k_m3,supply_basis
observed_post_residual_after_commitments,T100000130212,Calcasieu Pass LNG Terminal,United States,2790900.0,2790900.0,10,0.0,2790.9,2790.9,0.0,gross observed post-period voyage capacity minus capacity committed to each voyage's recorded destination
observed_post_residual_after_commitments,T100000130214,Cameron LNG Terminal,United States,5715720.0,5715720.0,23,0.0,5715.72,5715.72,0.0,gross observed post-period voyage capacity minus capacity committed to each voyage's recorded destination
observed_post_residual_after_commitments,T100000130216,Corpus Christi LNG Terminal,United States,7320200.0,7320200.0,22,0.0,7320.2,7320.2,0.0,gross observed post-period voyage capacity minus capacity committed to each voyage's recorded destination
observed_post_residual_after_commitments,T100000130217,Cove Point LNG Terminal,United States,1715900.0,1715900.0,5,0.0,1715.9,1715.9,0.0,gross observed post-period voyage capacity minus capacity committed to each voyage's recorded destination
observed_post_residual_after_commitments,T100000130221,Elba Island LNG Terminal,United States,692200.0,692200.0,3,0.0,692.2,692.2,0.0,gross observed post-period voyage capacity minus capacity committed to each voyage's recorded destination
observed_post_residual_after_commitments,T100000130224,Freeport LNG Terminal,United States,6407500.0,6407500.0,22,0.0,6407.5,6407.5,0.0,gross observed post-period voyage capacity minus capacity committed to each voyage's recorded destination
observed_post_residual_after_commitments,T100000130240,Sabine Pass LNG Terminal,United States,9954000.0,9954000.0,29,0.0,9954.0,9954.0,0.0,gross observed post-period voyage capacity minus capacity committed to each voyage's recorded destination
observed_post_residual_after_commitments,T100000130242,Plaquemines LNG Terminal,United States,6250700.0,6250700.0,20,0.0,6250.7,6250.7,0.0,gross observed post-period voyage capacity minus capacity committed to each voyage's recorded destination
observed_post_residual_after_commitments,T100000130243,Arzew-Bethioua LNG Terminal,Algeria,3195700.0,3195700.0,9,0.0,3195.7,3195.7,0.0,gross observed post-period voyage capacity minus capacity committed to each voyage's recorded destination
observed_post_residual_after_commitments,T100000130245,Angola LNG Terminal,Angola,2270000.0,2270000.0,7,0.0,2270.0,2270.0,0.0,gross observed post-period voyage capacity minus capacity committed to each voyage's recorded destination
