period,destination_unit,destination_unit_type,origin_code,origin_country,origin_group,is_gulf_origin,is_oman_excluded_from_gulf,hs,edge_value,unit_of_measure,measurement_basis,source,source_file,snapshot_sha256,post_treatment,admissibility_note
2024-01,China,importer,Qatar,Qatar,gulf,True,False,27111100,1896756.021,t,weight_ton,China GACC (stats.customs.gov.cn) HS 27111100,data/raw/importer_customs/cn_lng_imports_by_origin.csv,4af30bf709ab55da671538257510ab1e429ad00af8d78e49a513e7482282096f,False,strict origin-split national customs; weight basis
2024-01,China,importer,United Arab Emirates,United Arab Emirates,gulf,True,False,27111100,62425.6,t,weight_ton,China GACC (stats.customs.gov.cn) HS 27111100,data/raw/importer_customs/cn_lng_imports_by_origin.csv,4af30bf709ab55da671538257510ab1e429ad00af8d78e49a513e7482282096f,False,strict origin-split national customs; weight basis
2024-01,China,importer,Australia,Australia,non_gulf,False,False,27111100,2255981.213,t,weight_ton,China GACC (stats.customs.gov.cn) HS 27111100,data/raw/importer_customs/cn_lng_imports_by_origin.csv,4af30bf709ab55da671538257510ab1e429ad00af8d78e49a513e7482282096f,False,strict origin-split national customs; weight basis
2024-01,China,importer,Brunei,Brunei,non_gulf,False,False,27111100,123709.805,t,weight_ton,China GACC (stats.customs.gov.cn) HS 27111100,data/raw/importer_customs/cn_lng_imports_by_origin.csv,4af30bf709ab55da671538257510ab1e429ad00af8d78e49a513e7482282096f,False,strict origin-split national customs; weight basis
2024-01,China,importer,Canada,Canada,non_gulf,False,False,27111100,353.31,t,weight_ton,China GACC (stats.customs.gov.cn) HS 27111100,data/raw/importer_customs/cn_lng_imports_by_origin.csv,4af30bf709ab55da671538257510ab1e429ad00af8d78e49a513e7482282096f,False,strict origin-split national customs; weight basis
2024-01,China,importer,Egypt,Egypt,non_gulf,False,False,27111100,126817.046,t,weight_ton,China GACC (stats.customs.gov.cn) HS 27111100,data/raw/importer_customs/cn_lng_imports_by_origin.csv,4af30bf709ab55da671538257510ab1e429ad00af8d78e49a513e7482282096f,False,strict origin-split national customs; weight basis
2024-01,China,importer,Equatorial Guinea,Equatorial Guinea,non_gulf,False,False,27111100,59513.461,t,weight_ton,China GACC (stats.customs.gov.cn) HS 27111100,data/raw/importer_customs/cn_lng_imports_by_origin.csv,4af30bf709ab55da671538257510ab1e429ad00af8d78e49a513e7482282096f,False,strict origin-split national customs; weight basis
2024-01,China,importer,Indonesia,Indonesia,non_gulf,False,False,27111100,373769.265,t,weight_ton,China GACC (stats.customs.gov.cn) HS 27111100,data/raw/importer_customs/cn_lng_imports_by_origin.csv,4af30bf709ab55da671538257510ab1e429ad00af8d78e49a513e7482282096f,False,strict origin-split national customs; weight basis
2024-01,China,importer,Malaysia,Malaysia,non_gulf,False,False,27111100,845058.167,t,weight_ton,China GACC (stats.customs.gov.cn) HS 27111100,data/raw/importer_customs/cn_lng_imports_by_origin.csv,4af30bf709ab55da671538257510ab1e429ad00af8d78e49a513e7482282096f,False,strict origin-split national customs; weight basis
2024-01,China,importer,Nigeria,Nigeria,non_gulf,False,False,27111100,129391.478,t,weight_ton,China GACC (stats.customs.gov.cn) HS 27111100,data/raw/importer_customs/cn_lng_imports_by_origin.csv,4af30bf709ab55da671538257510ab1e429ad00af8d78e49a513e7482282096f,False,strict origin-split national customs; weight basis
2024-01,China,importer,Papua New Guinea,Papua New Guinea,non_gulf,False,False,27111100,157019.354,t,weight_ton,China GACC (stats.customs.gov.cn) HS 27111100,data/raw/importer_customs/cn_lng_imports_by_origin.csv,4af30bf709ab55da671538257510ab1e429ad00af8d78e49a513e7482282096f,False,strict origin-split national customs; weight basis
