dropped_month,destination_unit,destination_unit_type,unit_had_dropped_month,headline_primary_typology,dropped_primary_typology,changed_under_drop,any_primary_typology_change,headline_evidence_strength,dropped_evidence_strength,pre_months,post_months_after_drop,pre_gulf_share,post_gulf_share,gulf_share_change_pp,edge_total_pct_change,seasonality_adjusted_edge_total_pct_change,non_gulf_edge_pct_change,non_gulf_offset_ratio,jensen_shannon_distance,edge_turnover_rate,rule_thresholds,coverage_note,admissibility_note
2026-03,China,importer,True,high_exposure_constrained,not_estimable_coverage_limited,True,True,medium,low,12,2,0.3043393783467947,0.007222890665593456,-29.711648768120124,-24.089743914895013,-10.832222270894132,7.671130027163842,0.1821522740206265,0.3694436063843848,0.32986810279325673,"{""constrained_offset_ratio_max"": 0.5, ""constrained_total_pct_max"": -5.0, ""high_exposure_pre_gulf_share_min"": 0.15, ""high_offset_ratio_min"": 0.8, ""min_post_months"": 3, ""min_pre_months"": 12, ""stable_gulf_share_abs_pp_max"": 10.0, ""stable_total_abs_pct_max"": 10.0}",thin_post_window,strict origin-split national customs; weight basis
2026-04,China,importer,True,high_exposure_constrained,not_estimable_coverage_limited,True,True,medium,low,12,2,0.3043393783467947,0.13127156375782253,-17.306781458897216,-20.381025975789868,-9.254252267965924,0.3571417755382722,0.01210763240519808,0.18789959645747123,0.18609781302708267,"{""constrained_offset_ratio_max"": 0.5, ""constrained_total_pct_max"": -5.0, ""high_exposure_pre_gulf_share_min"": 0.15, ""high_offset_ratio_min"": 0.8, ""min_post_months"": 3, ""min_pre_months"": 12, ""stable_gulf_share_abs_pp_max"": 10.0, ""stable_total_abs_pct_max"": 10.0}",thin_post_window,strict origin-split national customs; weight basis
2026-05,China,importer,True,high_exposure_constrained,not_estimable_coverage_limited,True,True,medium,low,12,2,0.3043393783467947,0.12677805473312906,-17.756132361366564,-32.65508372814732,-21.74241922211345,-16.57743777715669,-0.5505315221523709,0.19587498107359713,0.21035791926699335,"{""constrained_offset_ratio_max"": 0.5, ""constrained_total_pct_max"": -5.0, ""high_exposure_pre_gulf_share_min"": 0.15, ""high_offset_ratio_min"": 0.8, ""min_post_months"": 3, ""min_pre_months"": 12, ""stable_gulf_share_abs_pp_max"": 10.0, ""stable_total_abs_pct_max"": 10.0}",thin_post_window,strict origin-split national customs; weight basis
2026-06,China,importer,False,high_exposure_constrained,high_exposure_constrained,False,True,medium,medium,12,3,0.3043393783467947,0.08842416971884835,-21.59152086279463,-25.708617872944075,-13.923582288884273,-2.849721991484866,-0.08404377905923228,0.2272487420397631,0.22883461744141834,"{""constrained_offset_ratio_max"": 0.5, ""constrained_total_pct_max"": -5.0, ""high_exposure_pre_gulf_share_min"": 0.15, ""high_offset_ratio_min"": 0.8, ""min_post_months"": 3, ""min_pre_months"": 12, ""stable_gulf_share_abs_pp_max"": 10.0, ""stable_total_abs_pct_max"": 10.0}",descriptive_coverage_ok,strict origin-split national customs; weight basis
2026-03,EU27,aggregate_comparator,True,aggregate_comparator,aggregate_comparator,False,False,context_only,context_only,12,2,0.058374756240740205,0.0,-5.83747562407402,-2.5940719952127766,-8.919462625176156,3.568439568266424,0.5640349135178824,0.21013290777092844,0.15046238810178356,"{""constrained_offset_ratio_max"": 0.5, ""constrained_total_pct_max"": -5.0, ""high_exposure_pre_gulf_share_min"": 0.15, ""high_offset_ratio_min"": 0.8, ""min_post_months"": 3, ""min_pre_months"": 12, ""stable_gulf_share_abs_pp_max"": 10.0, ""stable_total_abs_pct_max"": 10.0}",thin_post_window; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2026-04,EU27,aggregate_comparator,True,aggregate_comparator,aggregate_comparator,False,False,context_only,context_only,12,2,0.058374756240740205,0.03199419604909869,-2.6380560191641513,5.814558875885267,-1.9341008986315633,8.571718922002415,3.587552297920665,0.13297526815755117,0.08846884676666558,"{""constrained_offset_ratio_max"": 0.5, ""constrained_total_pct_max"": -5.0, ""high_exposure_pre_gulf_share_min"": 0.15, ""high_offset_ratio_min"": 0.8, ""min_post_months"": 3, ""min_pre_months"": 12, ""stable_gulf_share_abs_pp_max"": 10.0, ""stable_total_abs_pct_max"": 10.0}",thin_post_window; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2026-05,EU27,aggregate_comparator,True,aggregate_comparator,aggregate_comparator,False,False,context_only,context_only,12,2,0.058374756240740205,0.03199419604909869,-2.6380560191641513,7.332854971481262,1.0183925999065258,10.186071976733757,4.26321327839104,0.1433907835517363,0.10737792014072282,"{""constrained_offset_ratio_max"": 0.5, ""constrained_total_pct_max"": -5.0, ""high_exposure_pre_gulf_share_min"": 0.15, ""high_offset_ratio_min"": 0.8, ""min_post_months"": 3, ""min_pre_months"": 12, ""stable_gulf_share_abs_pp_max"": 10.0, ""stable_total_abs_pct_max"": 10.0}",thin_post_window; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2026-06,EU27,aggregate_comparator,False,aggregate_comparator,aggregate_comparator,False,False,context_only,context_only,12,3,0.058374756240740205,0.021329464032732462,-3.7045292208007745,3.5177806173845916,-3.283672422888717,7.442076822334198,2.0104270608603225,0.14359972127922085,0.11136080110384411,"{""constrained_offset_ratio_max"": 0.5, ""constrained_total_pct_max"": -5.0, ""high_exposure_pre_gulf_share_min"": 0.15, ""high_offset_ratio_min"": 0.8, ""min_post_months"": 3, ""min_pre_months"": 12, ""stable_gulf_share_abs_pp_max"": 10.0, ""stable_total_abs_pct_max"": 10.0}",descriptive_coverage_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2026-03,India,importer,True,high_exposure_high_offset,not_estimable_coverage_limited,True,True,medium,low,12,2,0.5806949579688169,0.010112747946192826,-57.0582210022624,14.200603245037113,10.875475802066337,168.77947201779605,1.2502852840797665,0.5361004493197845,0.6064166238217152,"{""constrained_offset_ratio_max"": 0.5, ""constrained_total_pct_max"": -5.0, ""high_exposure_pre_gulf_share_min"": 0.15, ""high_offset_ratio_min"": 0.8, ""min_post_months"": 3, ""min_pre_months"": 12, ""stable_gulf_share_abs_pp_max"": 10.0, ""stable_total_abs_pct_max"": 10.0}",thin_post_window; value_basis,strict origin-split national customs; value basis because Tradestat HS-6 monthly quantity is unpopulated
2026-04,India,importer,True,high_exposure_high_offset,not_estimable_coverage_limited,True,True,medium,low,12,2,0.5806949579688169,0.08717921687449207,-49.351574109432484,4.428302482803637,8.57705889477951,129.57418153519228,1.0885095369514894,0.45792503918209476,0.539531153033695,"{""constrained_offset_ratio_max"": 0.5, ""constrained_total_pct_max"": -5.0, ""high_exposure_pre_gulf_share_min"": 0.15, ""high_offset_ratio_min"": 0.8, ""min_post_months"": 3, ""min_pre_months"": 12, ""stable_gulf_share_abs_pp_max"": 10.0, ""stable_total_abs_pct_max"": 10.0}",thin_post_window; value_basis,strict origin-split national customs; value basis because Tradestat HS-6 monthly quantity is unpopulated
