project_id,terminal_name,terminal_lat,terminal_lon,destination_project_id,destination_terminal_name,destination_terminal_lat,destination_terminal_lon,post_capacity_distance_m3_nm,pre_capacity_distance_m3_nm,post_voyages,pre_voyages,change_capacity_distance_m3_nm,change_capacity_distance_bn_m3_nm
T100000130594,QatarEnergy LNG (N),25.908412,51.557708,T100000130317,Taichung LNG Terminal,24.25304,120.49586,0.0,10782098681.25867,0,14,-10782098681.25867,-10.78209868125867
T100000130594,QatarEnergy LNG (N),25.908412,51.557708,T100000130320,Yung-An LNG Terminal,22.80928,120.2054,0.0,8055666466.711695,0,10,-8055666466.711695,-8.055666466711696
T100000130216,Corpus Christi LNG Terminal,27.9135423,-97.2865629,T100000130448,Fos Cavaou LNG Terminal,43.41963,4.90102,0.0,6759497061.718719,0,7,-6759497061.718719,-6.759497061718719
T100000130594,QatarEnergy LNG (N),25.908412,51.557708,T100000130272,Summit FSRU,21.562987,91.821147,0.0,6433097762.405838,0,12,-6433097762.405838,-6.433097762405838
T100000130594,QatarEnergy LNG (N),25.908412,51.557708,T100000130427,Dahej LNG Terminal,21.6746,72.536,0.0,6222483540.459425,0,32,-6222483540.459425,-6.222483540459425
T100000130594,QatarEnergy LNG (N),25.908412,51.557708,T100000130426,Zeebrugge LNG Terminal,51.353,3.22241,0.0,5252444191.718078,0,5,-5252444191.718078,-5.2524441917180775
T100000130240,Sabine Pass LNG Terminal,29.7540967,-93.8740512,T100000130492,Gate LNG Terminal,51.971111,4.068889,6143019671.643852,11282375624.941612,7,13,-5139355953.29776,-5.13935595329776
T100000130240,Sabine Pass LNG Terminal,29.7540967,-93.8740512,T100000130498,Świnoujście Polskie LNG Terminal,53.909167,14.294722,1859233582.0704856,6936000927.931345,2,7,-5076767345.860859,-5.076767345860859
T100000130334,Gorgon LNG Terminal,-20.79,115.44965,T100000130312,Incheon LNG Terminal,37.35124,126.602,0.0,4649407944.932441,0,7,-4649407944.932441,-4.649407944932441
T100000130212,Calcasieu Pass LNG Terminal,29.7729274,-93.3343038,T100000130492,Gate LNG Terminal,51.971111,4.068889,0.0,4225145448.7436333,0,5,-4225145448.7436333,-4.225145448743633
T100000130259,Nigeria LNG Terminal,4.41836,7.16157,T100000130671,Al Zour LNG Terminal,28.7183683,48.3973631,0.0,4031768350.612566,0,3,-4031768350.612566,-4.031768350612566
T100000130214,Cameron LNG Terminal,30.035379,-93.3383732,T100000130474,Toscana FSRU,43.644444,9.988889,0.0,3898372475.4295015,0,4,-3898372475.4295015,-3.8983724754295017
T100000130334,Gorgon LNG Terminal,-20.79,115.44965,T100000130310,Boryeong LNG Terminal,36.415,126.4947,603900298.8243752,4417530685.900304,1,7,-3813630387.0759287,-3.8136303870759285
T100000130344,Wheatstone LNG Terminal,-21.6978845,115.001141,T100000130467,Futtsu LNG Terminal,35.3451724,139.8213313,3856088786.0099373,7417488562.514016,6,11,-3561399776.504079,-3.561399776504079
T100000130242,Plaquemines LNG Terminal,29.600411,-89.886404,T100000130448,Fos Cavaou LNG Terminal,43.41963,4.90102,910898449.3331684,4383829663.629857,1,5,-3472931214.2966886,-3.4729312142966884
T100000130594,QatarEnergy LNG (N),25.908412,51.557708,T100000130384,Guangdong Dapeng LNG Terminal,22.5796,114.4345,0.0,3376627105.898838,0,4,-3376627105.898838,-3.376627105898838
T100000130214,Cameron LNG Terminal,30.035379,-93.3383732,T100000130467,Futtsu LNG Terminal,35.3451724,139.8213313,0.0,3243405186.7360425,0,2,-3243405186.7360425,-3.2434051867360423
T100000130259,Nigeria LNG Terminal,4.41836,7.16157,T100000130968,Philippines LNG Terminal,13.753821,121.040525,0.0,3234031840.403059,0,2,-3234031840.403059,-3.234031840403059
T100000130242,Plaquemines LNG Terminal,29.600411,-89.886404,T100000130426,Zeebrugge LNG Terminal,51.353,3.22241,827442677.0210532,4020302510.901023,1,5,-3192859833.8799696,-3.1928598338799694
T100000130337,North West Shelf LNG Terminal,-20.59424,116.7767,T100000130467,Futtsu LNG Terminal,35.3451724,139.8213313,1267658281.8890758,4420621114.928075,2,7,-3152962833.038999,-3.152962833038999
T100000130594,QatarEnergy LNG (N),25.908412,51.557708,T100000130431,Dhamra LNG Terminal,20.821109,86.965264,0.0,3092920029.117384,0,6,-3092920029.117384,-3.092920029117384
