terminal_radius_km,cohort,pre_sequences,post_sequences,absolute_change_sequences,retention_share,percent_change,pre_denominator_is_thin,pre_unique_imos,post_unique_imos,pre_destination_countries,post_destination_countries,pre_destination_terminals,post_destination_terminals,pre_census_coverage_share,post_census_coverage_share,all_resolved_retention_share,hormuz_crossing_retention_share,retention_share_ratio,retention_gap_percentage_points,selective_support_loss_exceeds_general
10,all_resolved,313,296,-17,0.9456869009584664,-5.431309904153359,False,180,180,28,27,58,64,0.28846153846153844,0.28846153846153844,0.9456869009584664,0.06666666666666667,0.0704954954954955,-87.90202342917998,True
10,hormuz_crossing,15,1,-14,0.06666666666666667,-93.33333333333333,False,11,1,8,1,10,1,0.017628205128205128,0.0016025641025641025,0.9456869009584664,0.06666666666666667,0.0704954954954955,-87.90202342917998,True
10,inside_hormuz_non_crossing,0,0,0,,,True,0,0,0,0,0,0,0.0,0.0,0.9456869009584664,0.06666666666666667,0.0704954954954955,-87.90202342917998,True
10,non_gulf,298,295,-3,0.9899328859060402,-1.0067114093959773,False,172,179,27,26,55,63,0.27564102564102566,0.28685897435897434,0.9456869009584664,0.06666666666666667,0.0704954954954955,-87.90202342917998,True
20,all_resolved,648,607,-41,0.9367283950617284,-6.327160493827155,False,333,333,32,36,94,98,0.5336538461538461,0.5336538461538461,0.9367283950617284,0.038461538461538464,0.04105943479913826,-89.826685660019,True
20,hormuz_crossing,26,1,-25,0.038461538461538464,-96.15384615384616,False,16,1,10,1,16,1,0.02564102564102564,0.0016025641025641025,0.9367283950617284,0.038461538461538464,0.04105943479913826,-89.826685660019,True
20,inside_hormuz_non_crossing,0,3,3,,,True,0,1,0,1,0,1,0.0,0.0016025641025641025,0.9367283950617284,0.038461538461538464,0.04105943479913826,-89.826685660019,True
20,non_gulf,622,603,-19,0.9694533762057878,-3.0546623794212246,False,323,331,31,34,92,96,0.5176282051282052,0.530448717948718,0.9367283950617284,0.038461538461538464,0.04105943479913826,-89.826685660019,True
30,all_resolved,731,674,-57,0.9220246238030095,-7.797537619699046,False,362,362,35,36,99,102,0.5801282051282052,0.5801282051282052,0.9220246238030095,0.05405405405405406,0.058625390969604625,-86.79705697489555,True
30,hormuz_crossing,37,2,-35,0.05405405405405406,-94.5945945945946,False,20,2,10,2,18,2,0.03205128205128205,0.003205128205128205,0.9220246238030095,0.05405405405405406,0.058625390969604625,-86.79705697489555,True
30,inside_hormuz_non_crossing,1,3,2,3.0,200.0,True,1,1,1,1,1,1,0.0016025641025641025,0.0016025641025641025,0.9220246238030095,0.05405405405405406,0.058625390969604625,-86.79705697489555,True
30,non_gulf,693,669,-24,0.9653679653679653,-3.463203463203468,False,349,359,34,34,97,100,0.5592948717948718,0.5753205128205128,0.9220246238030095,0.05405405405405406,0.058625390969604625,-86.79705697489555,True
