panel,terminal_radius_km,cohort,sample_period,n_sequences,n_unique_imos,n_destination_countries,n_destination_terminals,n_origin_terminals,census_eligible_imos,census_coverage_share,share_of_all_resolved_sequences
both_period_balanced_cohort,10,all_resolved,post,296,180,27,64,24,624,0.28846153846153844,1.0
both_period_balanced_cohort,10,all_resolved,pre,313,180,28,58,23,624,0.28846153846153844,1.0
both_period_balanced_cohort,10,hormuz_crossing,post,1,1,1,1,1,624,0.0016025641025641025,0.0033783783783783786
both_period_balanced_cohort,10,hormuz_crossing,pre,15,11,8,10,2,624,0.017628205128205128,0.04792332268370607
both_period_balanced_cohort,10,inside_hormuz_non_crossing,post,0,0,0,0,0,624,0.0,0.0
both_period_balanced_cohort,10,inside_hormuz_non_crossing,pre,0,0,0,0,0,624,0.0,0.0
both_period_balanced_cohort,10,non_gulf,post,295,179,26,63,23,624,0.28685897435897434,0.9966216216216216
both_period_balanced_cohort,10,non_gulf,pre,298,172,27,55,21,624,0.27564102564102566,0.952076677316294
both_period_balanced_cohort,20,all_resolved,post,607,333,36,98,31,624,0.5336538461538461,1.0
both_period_balanced_cohort,20,all_resolved,pre,648,333,32,94,28,624,0.5336538461538461,1.0
both_period_balanced_cohort,20,hormuz_crossing,post,1,1,1,1,1,624,0.0016025641025641025,0.0016474464579901153
both_period_balanced_cohort,20,hormuz_crossing,pre,26,16,10,16,2,624,0.02564102564102564,0.040123456790123455
both_period_balanced_cohort,20,inside_hormuz_non_crossing,post,3,1,1,1,1,624,0.0016025641025641025,0.004942339373970346
both_period_balanced_cohort,20,inside_hormuz_non_crossing,pre,0,0,0,0,0,624,0.0,0.0
both_period_balanced_cohort,20,non_gulf,post,603,331,34,96,30,624,0.530448717948718,0.9934102141680395
both_period_balanced_cohort,20,non_gulf,pre,622,323,31,92,26,624,0.5176282051282052,0.9598765432098766
both_period_balanced_cohort,30,all_resolved,post,674,362,36,102,33,624,0.5801282051282052,1.0
both_period_balanced_cohort,30,all_resolved,pre,731,362,35,99,30,624,0.5801282051282052,1.0
both_period_balanced_cohort,30,hormuz_crossing,post,2,2,2,2,2,624,0.003205128205128205,0.002967359050445104
both_period_balanced_cohort,30,hormuz_crossing,pre,37,20,10,18,2,624,0.03205128205128205,0.0506155950752394
both_period_balanced_cohort,30,inside_hormuz_non_crossing,post,3,1,1,1,1,624,0.0016025641025641025,0.004451038575667656
both_period_balanced_cohort,30,inside_hormuz_non_crossing,pre,1,1,1,1,1,624,0.0016025641025641025,0.0013679890560875513
both_period_balanced_cohort,30,non_gulf,post,669,359,34,100,31,624,0.5753205128205128,0.9925816023738873
both_period_balanced_cohort,30,non_gulf,pre,693,349,34,97,28,624,0.5592948717948718,0.948016415868673
full_resolved_panel,10,all_resolved,post,396,253,31,76,25,624,0.40544871794871795,1.0
full_resolved_panel,10,all_resolved,pre,567,334,32,71,24,624,0.5352564102564102,1.0
full_resolved_panel,10,hormuz_crossing,post,1,1,1,1,1,624,0.0016025641025641025,0.0025252525252525255
full_resolved_panel,10,hormuz_crossing,pre,116,56,13,23,2,624,0.08974358974358974,0.20458553791887124
full_resolved_panel,10,inside_hormuz_non_crossing,post,3,1,1,1,1,624,0.0016025641025641025,0.007575757575757576
full_resolved_panel,10,inside_hormuz_non_crossing,pre,3,3,1,1,2,624,0.004807692307692308,0.005291005291005291
full_resolved_panel,10,non_gulf,post,392,251,29,74,24,624,0.40224358974358976,0.98989898989899
full_resolved_panel,10,non_gulf,pre,448,283,31,69,22,624,0.453525641025641,0.7901234567901234
full_resolved_panel,20,all_resolved,post,685,377,37,100,31,624,0.6041666666666666,1.0
full_resolved_panel,20,all_resolved,pre,920,463,35,102,29,624,0.7419871794871795,1.0
full_resolved_panel,20,hormuz_crossing,post,1,1,1,1,1,624,0.0016025641025641025,0.00145985401459854
full_resolved_panel,20,hormuz_crossing,pre,144,63,13,29,2,624,0.10096153846153846,0.1565217391304348
full_resolved_panel,20,inside_hormuz_non_crossing,post,3,1,1,1,1,624,0.0016025641025641025,0.004379562043795621
full_resolved_panel,20,inside_hormuz_non_crossing,pre,3,3,1,1,2,624,0.004807692307692308,0.003260869565217391
full_resolved_panel,20,non_gulf,post,681,375,35,98,30,624,0.6009615384615384,0.9941605839416059
full_resolved_panel,20,non_gulf,pre,773,411,34,100,27,624,0.6586538461538461,0.8402173913043478
full_resolved_panel,30,all_resolved,post,746,404,37,104,33,624,0.6474358974358975,1.0
full_resolved_panel,30,all_resolved,pre,971,476,37,106,30,624,0.7628205128205128,1.0
full_resolved_panel,30,hormuz_crossing,post,2,2,2,2,2,624,0.003205128205128205,0.002680965147453083
full_resolved_panel,30,hormuz_crossing,pre,145,64,13,29,2,624,0.10256410256410256,0.14933058702368693
full_resolved_panel,30,inside_hormuz_non_crossing,post,3,1,1,1,1,624,0.0016025641025641025,0.004021447721179625
full_resolved_panel,30,inside_hormuz_non_crossing,pre,3,3,1,1,2,624,0.004807692307692308,0.003089598352214212
full_resolved_panel,30,non_gulf,post,741,401,35,102,31,624,0.6426282051282052,0.9932975871313673
full_resolved_panel,30,non_gulf,pre,823,423,36,104,28,624,0.6778846153846154,0.8475798146240988
