terminal_radius_km,cohort,pre_sequences,post_sequences,absolute_change_sequences,retention_share,percent_change,pre_denominator_is_thin,pre_unique_imos,post_unique_imos,pre_destination_countries,post_destination_countries,pre_destination_terminals,post_destination_terminals,pre_census_coverage_share,post_census_coverage_share,all_resolved_retention_share,hormuz_crossing_retention_share,retention_share_ratio,retention_gap_percentage_points,selective_support_loss_exceeds_general
10,all_resolved,567,396,-171,0.6984126984126984,-30.15873015873016,False,334,253,32,31,71,76,0.5352564102564102,0.40544871794871795,0.6984126984126984,0.008620689655172414,0.012343260188087775,-68.9792008757526,True
10,hormuz_crossing,116,1,-115,0.008620689655172414,-99.13793103448276,False,56,1,13,1,23,1,0.08974358974358974,0.0016025641025641025,0.6984126984126984,0.008620689655172414,0.012343260188087775,-68.9792008757526,True
10,inside_hormuz_non_crossing,3,3,0,1.0,0.0,True,3,1,1,1,1,1,0.004807692307692308,0.0016025641025641025,0.6984126984126984,0.008620689655172414,0.012343260188087775,-68.9792008757526,True
10,non_gulf,448,392,-56,0.875,-12.5,False,283,251,31,29,69,74,0.453525641025641,0.40224358974358976,0.6984126984126984,0.008620689655172414,0.012343260188087775,-68.9792008757526,True
20,all_resolved,920,685,-235,0.7445652173913043,-25.543478260869566,False,463,377,35,37,102,100,0.7419871794871795,0.6041666666666666,0.7445652173913043,0.006944444444444444,0.00932684509326845,-73.762077294686,True
20,hormuz_crossing,144,1,-143,0.006944444444444444,-99.30555555555556,False,63,1,13,1,29,1,0.10096153846153846,0.0016025641025641025,0.7445652173913043,0.006944444444444444,0.00932684509326845,-73.762077294686,True
20,inside_hormuz_non_crossing,3,3,0,1.0,0.0,True,3,1,1,1,1,1,0.004807692307692308,0.0016025641025641025,0.7445652173913043,0.006944444444444444,0.00932684509326845,-73.762077294686,True
20,non_gulf,773,681,-92,0.8809831824062095,-11.901681759379045,False,411,375,34,35,100,98,0.6586538461538461,0.6009615384615384,0.7445652173913043,0.006944444444444444,0.00932684509326845,-73.762077294686,True
30,all_resolved,971,746,-225,0.768280123583934,-23.171987641606595,False,476,404,37,37,106,104,0.7628205128205128,0.6474358974358975,0.768280123583934,0.013793103448275862,0.017953221780530645,-75.44870201356582,True
30,hormuz_crossing,145,2,-143,0.013793103448275862,-98.62068965517241,False,64,2,13,2,29,2,0.10256410256410256,0.003205128205128205,0.768280123583934,0.013793103448275862,0.017953221780530645,-75.44870201356582,True
30,inside_hormuz_non_crossing,3,3,0,1.0,0.0,True,3,1,1,1,1,1,0.004807692307692308,0.0016025641025641025,0.768280123583934,0.013793103448275862,0.017953221780530645,-75.44870201356582,True
30,non_gulf,823,741,-82,0.9003645200486027,-9.963547995139733,False,423,401,36,35,104,102,0.6778846153846154,0.6426282051282052,0.768280123583934,0.013793103448275862,0.017953221780530645,-75.44870201356582,True
