model,target,unit,counterfactual_scenario,counterfactual_sum,observed_sum,dark_rate,false_positive_rate,implied_true_total,true_reduction,reduction_attributable_to_observability
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.0,0.0,529.0,0.9284941490147921,0.0
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.0,0.05,502.54999999999995,0.9320694415640525,-0.003575292549260367
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.0,0.1,476.1,0.9356447341133128,-0.007150585098520734
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.0,0.2,423.20000000000005,0.9427953192118337,-0.01430117019704158
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.05,0.0,556.8421052631579,0.9247306831734653,0.0037634658413268074
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.05,0.05,529.0,0.9284941490147921,0.0
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.05,0.1,501.15789473684214,0.9322576148561188,-0.0037634658413266964
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.05,0.2,445.47368421052636,0.9397845465387723,-0.0112903975239802
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.1,0.0,587.7777777777777,0.9205490544608801,0.007945094553912013
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.1,0.05,558.3888888888888,0.924521601737836,0.003972547276956062
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.1,0.1,529.0,0.9284941490147921,0.0
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.1,0.2,470.2222222222223,0.936439243568704,-0.007945094553911902
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.2,0.0,661.25,0.91061768626849,0.017876462746302058
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.2,0.05,628.1874999999999,0.9150868019550655,0.013407347059726571
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.2,0.1,595.125,0.919555917641641,0.008938231373151084
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.2,0.2,529.0,0.9284941490147921,0.0
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.3,0.0,755.7142857142858,0.8978487843068458,0.03064536470794632
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.3,0.05,717.9285714285714,0.9029563450915035,0.025537803923288638
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.3,0.1,680.1428571428572,0.9080639058761613,0.020430243138630844
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.3,0.2,604.5714285714287,0.9182790274454766,0.010215121569315477
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.4,0.0,881.6666666666667,0.8808235816913201,0.04767056732347197
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.4,0.05,837.5833333333333,0.8867824026067541,0.041711746408037986
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.4,0.1,793.5000000000001,0.8927412235221881,0.035752925492604004
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.4,0.2,705.3333333333335,0.9046588653530561,0.02383528366173604
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.5,0.0,1058.0,0.8569882980295841,0.07150585098520801
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.5,0.05,1005.0999999999999,0.8641388831281049,0.06435526588668716
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.5,0.1,952.2,0.8712894682266257,0.05720468078816643
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.5,0.2,846.4000000000001,0.8855906384236673,0.04290351059112485
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.7,0.0,1763.333333333333,0.7616471633826403,0.16684698563215183
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.7,0.05,1675.1666666666663,0.7735648052135082,0.15492934380128387
ar_lag1_7,hormuz_tanker_transits,transits,point_estimate,7397.996006081119,529.0,0.7,0.1,1586.9999999999998,0.7854824470443762,0.1430117019704159
