model,target,fold,is_actual,train_start,train_end,test_start,test_end,n_train,n_test,n_days,observed_sum,counterfactual_sum,cumulative_gap_observed_minus_predicted,cumulative_throughput_loss,mean_daily_throughput_loss
seasonal_naive_7d,hormuz_tanker_transits,actual,True,2022-01-01,2026-02-27,2026-02-28,2026-07-07,1519,130,130,529.0,7653.0,-7124.0,7124.0,54.8
seasonal_naive_7d,hormuz_tanker_transits,placebo_01,False,2022-01-01,2022-12-31,2023-01-01,2023-05-10,365,130,130,7646.0,5790.0,1856.0,-1856.0,-14.276923076923078
seasonal_naive_7d,hormuz_tanker_transits,placebo_02,False,2022-01-01,2023-01-30,2023-01-31,2023-06-09,395,130,130,8009.0,7547.0,462.0,-462.0,-3.5538461538461537
seasonal_naive_7d,hormuz_tanker_transits,placebo_03,False,2022-01-01,2023-03-01,2023-03-02,2023-07-09,425,130,130,8109.0,8542.0,-433.0,433.0,3.330769230769231
seasonal_naive_7d,hormuz_tanker_transits,placebo_04,False,2022-01-01,2023-03-31,2023-04-01,2023-08-08,455,130,130,8271.0,6923.0,1348.0,-1348.0,-10.36923076923077
seasonal_naive_7d,hormuz_tanker_transits,placebo_05,False,2022-01-01,2023-04-30,2023-05-01,2023-09-07,485,130,130,8284.0,7946.0,338.0,-338.0,-2.6
seasonal_naive_7d,hormuz_tanker_transits,placebo_06,False,2022-01-01,2023-05-30,2023-05-31,2023-10-07,515,130,130,8283.0,8235.0,48.0,-48.0,-0.36923076923076925
seasonal_naive_7d,hormuz_tanker_transits,placebo_07,False,2022-01-01,2023-06-29,2023-06-30,2023-11-06,545,130,130,8057.0,8589.0,-532.0,532.0,4.092307692307692
seasonal_naive_7d,hormuz_tanker_transits,placebo_08,False,2022-01-01,2023-07-29,2023-07-30,2023-12-06,575,130,130,7704.0,6542.0,1162.0,-1162.0,-8.938461538461539
seasonal_naive_7d,hormuz_tanker_transits,placebo_09,False,2022-01-01,2023-08-28,2023-08-29,2024-01-05,605,130,130,7134.0,7611.0,-477.0,477.0,3.669230769230769
