vintage,source_variable,source_sha256,source_date_min,source_date_max,trusted_reporting_end,endpoint_policy,window_selection_status,phase,phase_role,phase_start,phase_end,planned_calendar_days,observed_days,coverage_ratio,complete_window,right_censored,window_extends_beyond_trusted_end,buffer_excluded_source_days,transit_sum,mean_daily_transits,median_daily_transits,nonzero_days,zero_days,analysis_pre_start,analysis_pre_end,analysis_pre_days,analysis_pre_mean,mean_as_share_of_analysis_pre,admissible_for_phase_contrast
pinned_primary,portwatch_chokepoints_snapshot,66f3a54afb042103f3e0afc9670568cb7be245394ec04eba55ebd158593f579d,2019-01-01,2026-07-12,2026-07-07,five_day_source_buffer_excluded,fixed_after_exploratory_inspection_before_artifact_generation,pre_mou_reference_20d,matched_reference,2026-05-28,2026-06-16,20,20,1.0,True,False,False,0,25.0,1.25,1.0,13,7,2022-01-01,2026-02-27,1519,57.09348255431205,0.021893917555491495,True
pinned_primary,portwatch_chokepoints_snapshot,66f3a54afb042103f3e0afc9670568cb7be245394ec04eba55ebd158593f579d,2019-01-01,2026-07-12,2026-07-07,five_day_source_buffer_excluded,fixed_after_exploratory_inspection_before_artifact_generation,post_mou_interval_20d,matched_event_interval,2026-06-17,2026-07-06,20,20,1.0,True,False,False,0,249.0,12.45,11.5,20,0,2022-01-01,2026-02-27,1519,57.09348255431205,0.21806341885269528,True
pinned_primary,portwatch_chokepoints_snapshot,66f3a54afb042103f3e0afc9670568cb7be245394ec04eba55ebd158593f579d,2019-01-01,2026-07-12,2026-07-07,five_day_source_buffer_excluded,fixed_after_exploratory_inspection_before_artifact_generation,post_mou_final_7d,nested_late_interval_diagnostic,2026-06-30,2026-07-06,7,7,1.0,True,False,False,0,109.0,15.571428571428571,16.0,7,0,2022-01-01,2026-02-27,1519,57.09348255431205,0.2727356586912655,True
pinned_primary,portwatch_chokepoints_snapshot,66f3a54afb042103f3e0afc9670568cb7be245394ec04eba55ebd158593f579d,2019-01-01,2026-07-12,2026-07-07,five_day_source_buffer_excluded,fixed_after_exploratory_inspection_before_artifact_generation,renewed_attacks_event_day,context_event_day,2026-07-07,2026-07-07,1,1,1.0,True,False,False,0,12.0,12.0,12.0,1,0,2022-01-01,2026-02-27,1519,57.09348255431205,0.21018160853271836,True
pinned_primary,portwatch_chokepoints_snapshot,66f3a54afb042103f3e0afc9670568cb7be245394ec04eba55ebd158593f579d,2019-01-01,2026-07-12,2026-07-07,five_day_source_buffer_excluded,fixed_after_exploratory_inspection_before_artifact_generation,post_renewed_attacks_interval,post_event_interval,2026-07-08,2026-08-01,25,0,0.0,False,True,True,5,,,,0,0,2022-01-01,2026-02-27,1519,57.09348255431205,,False
vintage_20260809,portwatch_chokepoints_vintage_20260809_snapshot,0bc806a4c384723debff08053d6fcbb915a03ee9fdf7b23c73d76d9bcb885bcb,2019-01-01,2026-08-02,2026-08-01,one_day_source_buffer_excluded,fixed_after_exploratory_inspection_before_artifact_generation,pre_mou_reference_20d,matched_reference,2026-05-28,2026-06-16,20,20,1.0,True,False,False,0,17.0,0.85,0.5,10,10,2022-01-01,2026-02-27,1519,47.00131665569454,0.018084599761888087,True
vintage_20260809,portwatch_chokepoints_vintage_20260809_snapshot,0bc806a4c384723debff08053d6fcbb915a03ee9fdf7b23c73d76d9bcb885bcb,2019-01-01,2026-08-02,2026-08-01,one_day_source_buffer_excluded,fixed_after_exploratory_inspection_before_artifact_generation,post_mou_interval_20d,matched_event_interval,2026-06-17,2026-07-06,20,20,1.0,True,False,False,0,209.0,10.45,11.0,19,1,2022-01-01,2026-02-27,1519,47.00131665569454,0.2223341970726241,True
vintage_20260809,portwatch_chokepoints_vintage_20260809_snapshot,0bc806a4c384723debff08053d6fcbb915a03ee9fdf7b23c73d76d9bcb885bcb,2019-01-01,2026-08-02,2026-08-01,one_day_source_buffer_excluded,fixed_after_exploratory_inspection_before_artifact_generation,post_mou_final_7d,nested_late_interval_diagnostic,2026-06-30,2026-07-06,7,7,1.0,True,False,False,0,88.0,12.571428571428571,14.0,7,0,2022-01-01,2026-02-27,1519,47.00131665569454,0.26746971076405907,True
vintage_20260809,portwatch_chokepoints_vintage_20260809_snapshot,0bc806a4c384723debff08053d6fcbb915a03ee9fdf7b23c73d76d9bcb885bcb,2019-01-01,2026-08-02,2026-08-01,one_day_source_buffer_excluded,fixed_after_exploratory_inspection_before_artifact_generation,renewed_attacks_event_day,context_event_day,2026-07-07,2026-07-07,1,1,1.0,True,False,False,0,10.0,10.0,10.0,1,0,2022-01-01,2026-02-27,1519,47.00131665569454,0.21275999719868338,True
vintage_20260809,portwatch_chokepoints_vintage_20260809_snapshot,0bc806a4c384723debff08053d6fcbb915a03ee9fdf7b23c73d76d9bcb885bcb,2019-01-01,2026-08-02,2026-08-01,one_day_source_buffer_excluded,fixed_after_exploratory_inspection_before_artifact_generation,post_renewed_attacks_interval,post_event_interval,2026-07-08,2026-08-01,25,25,1.0,True,False,False,0,39.0,1.56,1.0,21,4,2022-01-01,2026-02-27,1519,47.00131665569454,0.033190559562994604,True
