cohort,terminal_radius_km,weighting_scheme,construct_label,unit,pre_mean,post_mean,total_change,common_pair_share_reweighting,within_common_pair_capacity_mix,entry_exit_residual,common_pair_share_reweighting_percent,within_common_pair_capacity_mix_percent,entry_exit_residual_percent,percent_stability_ratio,percent_decomposition_is_unstable,reconciliation_error,residual_identity_error,n_pre_sequences,n_post_sequences,n_common_pairs,n_pre_only_pairs,n_post_only_pairs,common_pair_pre_share,common_pair_post_share,excluded_pre_sequences,excluded_post_sequences
all_retained,10,laspeyres_share_paasche_within,modeled distance per nominal vessel-capacity m3 among retained inferred voyages,nominal m3 x modeled nautical miles per retained sequence,679213173.8803413,734357316.0060819,55144142.12574065,11192374.986008415,-61984.0430497683,44013751.182782,20.29658011632018,-0.1124036763658979,79.81582356004573,0.7981582356004572,False,0.0,1.7136335372924805e-07,549,384,92,143,104,0.51183970856102,0.6458333333333331,18,12
all_retained,10,paasche_share_laspeyres_within,modeled distance per nominal vessel-capacity m3 among retained inferred voyages,nominal m3 x modeled nautical miles per retained sequence,679213173.8803413,734357316.0060819,55144142.12574065,13458263.706149295,-2327872.7631906434,44013751.182781994,24.405608986465914,-4.221432546511625,79.8158235600457,0.7981582356004571,False,0.0,1.7881393432617188e-07,549,384,92,143,104,0.51183970856102,0.6458333333333331,18,12
all_retained,10,symmetric_marshall_edgeworth,modeled distance per nominal vessel-capacity m3 among retained inferred voyages,nominal m3 x modeled nautical miles per retained sequence,679213173.8803413,734357316.0060819,55144142.12574065,12325319.346078845,-1194928.4031202057,44013751.18278201,22.351094551393025,-2.1669181114387612,79.81582356004574,0.7981582356004574,False,0.0,1.6391277313232422e-07,549,384,92,143,104,0.51183970856102,0.6458333333333331,18,12
all_retained,20,laspeyres_share_paasche_within,modeled distance per nominal vessel-capacity m3 among retained inferred voyages,nominal m3 x modeled nautical miles per retained sequence,657498109.3016528,716556939.1910107,59058829.889357924,34612969.82353895,751386.9307575276,23694473.135061447,58.60761191575185,1.2722685704494856,40.12011951379866,0.5860761191575186,False,0.0,5.587935447692871e-08,897,667,177,212,155,0.5596432552954291,0.6866566716641678,23,18
all_retained,20,paasche_share_laspeyres_within,modeled distance per nominal vessel-capacity m3 among retained inferred voyages,nominal m3 x modeled nautical miles per retained sequence,657498109.3016528,716556939.1910107,59058829.889357924,35100148.984298274,264207.7699982092,23694473.135061443,59.43251678039616,0.44736370580518053,40.12011951379866,0.5943251678039616,False,0.0,5.960464477539063e-08,897,667,177,212,155,0.5596432552954291,0.6866566716641678,23,18
all_retained,20,symmetric_marshall_edgeworth,modeled distance per nominal vessel-capacity m3 among retained inferred voyages,nominal m3 x modeled nautical miles per retained sequence,657498109.3016528,716556939.1910107,59058829.889357924,34856559.40391862,507797.3503778685,23694473.13506144,59.02006434807401,0.8598161381273333,40.120119513798656,0.5902006434807402,False,0.0,6.332993507385254e-08,897,667,177,212,155,0.5596432552954291,0.6866566716641678,23,18
all_retained,30,laspeyres_share_paasche_within,modeled distance per nominal vessel-capacity m3 among retained inferred voyages,nominal m3 x modeled nautical miles per retained sequence,662705558.5753806,730290740.1292349,67585181.55385435,36782256.7332846,1175392.1279823645,29627532.692587383,54.423552452803804,1.7391269816235813,43.83732056557262,0.544235524528038,False,0.0,7.450580596923828e-09,948,726,189,216,173,0.5738396624472573,0.6749311294765841,23,20
all_retained,30,paasche_share_laspeyres_within,modeled distance per nominal vessel-capacity m3 among retained inferred voyages,nominal m3 x modeled nautical miles per retained sequence,662705558.5753806,730290740.1292349,67585181.55385435,37442070.44057147,515578.4206954932,29627532.69258738,55.399822238749564,0.762857195677815,43.83732056557261,0.5539982223874957,False,0.0,3.725290298461914e-09,948,726,189,216,173,0.5738396624472573,0.6749311294765841,23,20
all_retained,30,symmetric_marshall_edgeworth,modeled distance per nominal vessel-capacity m3 among retained inferred voyages,nominal m3 x modeled nautical miles per retained sequence,662705558.5753806,730290740.1292349,67585181.55385435,37112163.58692804,845485.2743389287,29627532.69258738,54.91168734577669,1.250992088650698,43.83732056557261,0.5491168734577669,False,0.0,3.725290298461914e-09,948,726,189,216,173,0.5738396624472573,0.6749311294765841,23,20
both_period_carriers,10,laspeyres_share_paasche_within,modeled distance per nominal vessel-capacity m3 among retained inferred voyages,nominal m3 x modeled nautical miles per retained sequence,690518722.4611635,688446161.0839223,-2072561.3772412539,-11693782.56301522,-1322614.9697864288,10943836.155560397,564.2188786988102,63.81547896771752,-528.0343576665277,5.642188786988102,True,0.0,9.685754776000977e-08,299,283,67,90,82,0.5919732441471572,0.657243816254417,18,12
both_period_carriers,10,paasche_share_laspeyres_within,modeled distance per nominal vessel-capacity m3 among retained inferred voyages,nominal m3 x modeled nautical miles per retained sequence,690518722.4611635,688446161.0839223,-2072561.3772412539,-12989414.065380521,-26983.4674211299,10943836.155560397,626.73241950839,1.3019381581377856,-528.0343576665277,6.2673241950839005,True,0.0,9.685754776000977e-08,299,283,67,90,82,0.5919732441471572,0.657243816254417,18,12
both_period_carriers,10,symmetric_marshall_edgeworth,modeled distance per nominal vessel-capacity m3 among retained inferred voyages,nominal m3 x modeled nautical miles per retained sequence,690518722.4611635,688446161.0839223,-2072561.3772412539,-12341598.314197868,-674799.2186037797,10943836.155560395,595.4756491036001,32.55870856292766,-528.0343576665277,5.954756491036,True,0.0,9.872019290924072e-08,299,283,67,90,82,0.5919732441471572,0.657243816254417,18,12
both_period_carriers,20,laspeyres_share_paasche_within,modeled distance per nominal vessel-capacity m3 among retained inferred voyages,nominal m3 x modeled nautical miles per retained sequence,680690792.6393678,708236749.2558227,27545956.61645484,27166400.243528996,-2536116.562022833,2915672.934948677,98.62209768856198,-9.20685600916056,10.584758320598576,0.9862209768856198,False,0.0,1.2479722499847412e-07,629,589,161,158,143,0.6518282988871225,0.6757215619694398,23,18
both_period_carriers,20,paasche_share_laspeyres_within,modeled distance per nominal vessel-capacity m3 among retained inferred voyages,nominal m3 x modeled nautical miles per retained sequence,680690792.6393678,708236749.2558227,27545956.61645484,26415521.166862257,-1785237.4853560948,2915672.9349486777,95.89618372913104,-6.480942049729601,10.584758320598576,0.9589618372913102,False,0.0,1.2433156371116638e-07,629,589,161,158,143,0.6518282988871225,0.6757215619694398,23,18
both_period_carriers,20,symmetric_marshall_edgeworth,modeled distance per nominal vessel-capacity m3 among retained inferred voyages,nominal m3 x modeled nautical miles per retained sequence,680690792.6393678,708236749.2558227,27545956.61645484,26790960.70519563,-2160677.0236894637,2915672.9349486716,97.25914070884653,-7.843899029445079,10.584758320598553,0.9725914070884653,False,0.0,1.30385160446167e-07,629,589,161,158,143,0.6518282988871225,0.6757215619694398,23,18
both_period_carriers,30,laspeyres_share_paasche_within,modeled distance per nominal vessel-capacity m3 among retained inferred voyages,nominal m3 x modeled nautical miles per retained sequence,688267685.7277577,719939338.1587518,31671652.430994153,30760888.480429035,-2058444.678993487,2969208.629558605,97.12435607030773,-6.499328329895017,9.374972259587288,0.9712435607030773,False,0.0,1.9650906324386597e-07,709,653,178,169,161,0.6502115655853316,0.6738131699846861,23,20
both_period_carriers,30,paasche_share_laspeyres_within,modeled distance per nominal vessel-capacity m3 among retained inferred voyages,nominal m3 x modeled nautical miles per retained sequence,688267685.7277577,719939338.1587518,31671652.430994153,30560259.015372537,-1857815.2139369869,2969208.629558603,96.49088907488138,-5.8658613344686525,9.374972259587281,0.9649088907488137,False,0.0,1.9883736968040466e-07,709,653,178,169,161,0.6502115655853316,0.6738131699846861,23,20
both_period_carriers,30,symmetric_marshall_edgeworth,modeled distance per nominal vessel-capacity m3 among retained inferred voyages,nominal m3 x modeled nautical miles per retained sequence,688267685.7277577,719939338.1587518,31671652.430994153,30660573.74790079,-1958129.9464652366,2969208.629558598,96.80762257259457,-6.182594832181834,9.374972259587269,0.9680762257259456,False,0.0,2.0349398255348206e-07,709,653,178,169,161,0.6502115655853316,0.6738131699846861,23,20
