terminal_pair,support_status,pre_sequences,post_sequences,pre_share,post_share,pre_mean_burden,post_mean_burden,terminal_radius_km,cohort
T100000130212 -> T100000130446,common,3,2,0.0031645569620253164,0.0027548209366391185,847955570.752264,862575494.3859237,30,all_retained
T100000130212 -> T100000130498,common,3,4,0.0031645569620253164,0.005509641873278237,928430845.6262589,927630474.2076155,30,all_retained
T100000130212 -> T100000130522,common,2,1,0.002109704641350211,0.0013774104683195593,873988183.5446105,910622418.7830074,30,all_retained
T100000130212 -> T100000130557,common,1,1,0.0010548523206751054,0.0013774104683195593,811972918.1078398,811972918.1078398,30,all_retained
T100000130212 -> T100000130685,common,1,2,0.0010548523206751054,0.0027548209366391185,1170562912.3748732,1168544700.4569855,30,all_retained
T100000130214 -> T100000130426,common,1,1,0.0010548523206751054,0.0013774104683195593,862408635.8866409,862408635.8866409,30,all_retained
T100000130214 -> T100000130446,common,3,1,0.0031645569620253164,0.0013774104683195593,862733439.539948,851961512.3720258,30,all_retained
T100000130214 -> T100000130456,common,1,1,0.0010548523206751054,0.0013774104683195593,832143291.5082123,860837887.7671163,30,all_retained
T100000130214 -> T100000130492,common,1,1,0.0010548523206751054,0.0013774104683195593,851940309.8416162,867901720.7988361,30,all_retained
T100000130214 -> T100000130532,common,2,1,0.002109704641350211,0.0013774104683195593,812995747.9280459,810192314.3145009,30,all_retained
T100000130214 -> T100000130566,common,4,4,0.004219409282700422,0.005509641873278237,275954911.01096654,291161098.5192492,30,all_retained
T100000130214 -> T100000130575,common,5,5,0.005274261603375527,0.006887052341597796,263922735.56673646,256441932.404414,30,all_retained
T100000130214 -> T100000130662,common,2,2,0.002109704641350211,0.0027548209366391185,1809797454.407868,1707457717.402661,30,all_retained
T100000130214 -> T100000130685,common,1,2,0.0010548523206751054,0.0027548209366391185,1174568853.994635,1174568853.994635,30,all_retained
T100000130216 -> T100000130317,common,2,1,0.002109704641350211,0.0013774104683195593,1789539723.770903,1837591690.387354,30,all_retained
T100000130216 -> T100000130320,common,1,2,0.0010548523206751054,0.0027548209366391185,1920621991.4129329,1995312846.6345468,30,all_retained
T100000130216 -> T100000130321,common,1,4,0.0010548523206751054,0.005509641873278237,2454751402.338942,2332013832.221995,30,all_retained
T100000130216 -> T100000130446,common,2,5,0.002109704641350211,0.006887052341597796,904761377.5981636,882041814.1162542,30,all_retained
T100000130216 -> T100000130474,common,2,3,0.002109704641350211,0.004132231404958678,975130906.267003,1021019419.5030975,30,all_retained
T100000130216 -> T100000130492,common,3,5,0.0031645569620253164,0.006887052341597796,866658581.8135848,898117605.9250858,30,all_retained
T100000130216 -> T100000130500,common,2,2,0.002109704641350211,0.0027548209366391185,816222843.0673133,816222843.0673133,30,all_retained
T100000130216 -> T100000130528,common,2,1,0.002109704641350211,0.0013774104683195593,880773604.5113931,880773604.5113931,30,all_retained
T100000130216 -> T100000130562,common,2,1,0.002109704641350211,0.0013774104683195593,305445057.80176777,312632000.33827996,30,all_retained
T100000130216 -> T100000131096,common,3,1,0.0031645569620253164,0.0013774104683195593,1021378530.8337688,1032854694.101564,30,all_retained
T100000130217 -> T100000130427,common,2,4,0.002109704641350211,0.005509641873278237,1488936273.066986,1483626229.2971325,30,all_retained
T100000130217 -> T100000130492,common,1,1,0.0010548523206751054,0.0013774104683195593,620058066.6778487,617919935.4134424,30,all_retained
T100000130217 -> T100000130557,common,2,1,0.002109704641350211,0.0013774104683195593,566963608.2315272,586514077.4808902,30,all_retained
T100000130224 -> T100000130426,common,1,3,0.0010548523206751054,0.004132231404958678,890034342.3744879,858241425.4631977,30,all_retained
