value_col,screen,is_primary_screen,pre_rmspe_multiplier,treated_pre_rmspe,maximum_eligible_pre_rmspe,actual_post_pre_rmspe_ratio,n_placebos_total,n_placebos_eligible,n_placebos_excluded,p_ratio_ge_actual,p_value_floor,placebo_ratio_p95,ratio_vs_placebo_p95
n_tanker,pre_rmspe_le_1.5x_treated,False,1.5,0.25815829063419043,0.3872374359512857,3.2535343762431035,22,11,11,0.08333333333333333,0.08333333333333333,1.6080762805394064,2.023246294729098
n_tanker,pre_rmspe_le_2x_treated,True,2.0,0.25815829063419043,0.5163165812683809,3.2535343762431035,22,14,8,0.06666666666666667,0.06666666666666667,1.5019450962664607,2.166213921088559
n_tanker,pre_rmspe_le_5x_treated,False,5.0,0.25815829063419043,1.2907914531709521,3.2535343762431035,22,21,1,0.045454545454545456,0.045454545454545456,1.2543056662962544,2.5938927517167505
n_tanker,pre_rmspe_le_10x_treated,False,10.0,0.25815829063419043,2.5815829063419042,3.2535343762431035,22,22,0,0.043478260869565216,0.043478260869565216,1.250499476062144,2.6017878763840585
n_tanker,unscreened,False,,0.25815829063419043,inf,3.2535343762431035,22,22,0,0.043478260869565216,0.043478260869565216,1.250499476062144,2.6017878763840585
capacity_tanker,pre_rmspe_le_1.5x_treated,False,1.5,0.35315755875202454,0.5297363381280368,2.3786068024759612,22,8,14,0.1111111111111111,0.1111111111111111,1.4276349638058827,1.6661169436022465
capacity_tanker,pre_rmspe_le_2x_treated,True,2.0,0.35315755875202454,0.7063151175040491,2.3786068024759612,22,10,12,0.09090909090909091,0.09090909090909091,1.688816386330273,1.408446070116938
capacity_tanker,pre_rmspe_le_5x_treated,False,5.0,0.35315755875202454,1.7657877937601227,2.3786068024759612,22,20,2,0.047619047619047616,0.047619047619047616,1.4563156381916824,1.6333044431422121
capacity_tanker,pre_rmspe_le_10x_treated,False,10.0,0.35315755875202454,3.5315755875202455,2.3786068024759612,22,22,0,0.043478260869565216,0.043478260869565216,1.4322897634389742,1.66070222883172
capacity_tanker,unscreened,False,,0.35315755875202454,inf,2.3786068024759612,22,22,0,0.043478260869565216,0.043478260869565216,1.4322897634389742,1.66070222883172
