unit,n_donors,n_pre_fit_days,n_post_days,pre_rmspe,post_rmspe,post_pre_rmspe_ratio,cumulative_scaled_throughput_loss,mean_daily_scaled_throughput_loss,top_weight_slug,top_weight,effective_n_weights,value_col,is_actual,fixed_train_cutoff,pre_start,pre_end,post_start,post_end,donor_pool,fit_status,fit_warning,primary_prefit_rmspe_multiplier,primary_prefit_max_pre_rmspe,n_placebos_total,n_placebos_eligible,n_placebos_excluded,p_ratio_ge_actual,p_value_floor,placebo_ratio_p95,ratio_vs_placebo_p95,pre_rmspe_multiple_of_treated,eligible_primary_prefit_screen
strait_of_hormuz,22,1519,130,0.25815829063419043,0.8399268730904966,3.2535343762431035,108.1481892525036,0.8319091480961815,korea_strait,0.2158602043525913,7.442269584101596,n_tanker,True,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,2.0,0.5163165812683809,22.0,14.0,8.0,0.06666666666666667,0.06666666666666667,1.5019450962664607,2.166213921088559,,
balabac_strait,21,1519,130,0.5346163338165724,0.5757978549985391,1.0770300467402034,-4.6008122450413556,-0.03539086342339504,luzon_strait,0.15879857081953608,8.833289292385572,n_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,2.070885782917281,False
bering_strait,21,1519,130,2.173608665251504,1.173488280870384,0.5398801999782247,124.226017742285,0.9555847518637307,lombok_strait,0.24124164206036872,5.3789476644672,n_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,8.419674068618239,False
bohai_strait,21,1519,130,0.22918297734840976,0.18264322067999492,0.796931878593828,4.151702376536971,0.031936172127207466,malacca_strait,0.34327057842023534,5.423916334196374,n_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,0.8877614458377453,True
bosporus_strait,21,1519,130,0.22000490336718834,0.22438409791637737,1.0199049861260598,3.077057412964642,0.023669672407420322,malacca_strait,0.29893472567886326,5.701713245040424,n_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,0.852209327954277,True
dover_strait,21,1519,130,0.15035829107714155,0.157855421719878,1.0498617707678655,-1.7406760355588862,-0.013389815658145279,malacca_strait,0.3271593773214971,6.7738447895453495,n_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,0.5824267379047641,True
kerch_strait,21,1519,130,1.0125725349974433,0.6662814926705921,0.6580086558167159,22.98683134495787,0.176821779576599,taiwan_strait,0.31958840007712275,5.138459520541047,n_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,3.9222933050492483,False
korea_strait,21,1519,130,0.17749019778957198,0.1465411890452629,0.8256297579824579,7.2321692429241295,0.05563207109941638,malacca_strait,0.26906238190157483,7.384125963245961,n_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,0.6875246863215215,True
lombok_strait,21,1519,130,0.3515195791363656,0.34553668715480296,0.9829799182274234,-16.45020037224552,-0.12654000286342706,malacca_strait,0.2769334961807011,6.680215456335875,n_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,1.3616435802732667,True
luzon_strait,21,1519,130,0.29370380529406287,0.278363499327209,0.9477694681160334,9.507012053638757,0.07313086195106736,taiwan_strait,0.22433708651309442,8.494754252926716,n_tanker,False,2026-02-28,2022-01-01,2026-02-27,2026-02-28,2026-07-07,low_contamination_donors,computed,,,,,,,,,,,1.1376888364597995,True
