terminal_match_radius_km,route_specification,speed_knots,pre_routed_voyages,post_routed_voyages,routed_voyages_percent_change,pre_total_modeled_sailing_vessel_days,post_total_modeled_sailing_vessel_days,total_modeled_sailing_vessel_days_percent_change,pre_mean_modeled_sailing_days_per_voyage,post_mean_modeled_sailing_days_per_voyage,mean_modeled_sailing_days_per_voyage_percent_change,pre_total_nominal_capacity_m3_days,post_total_nominal_capacity_m3_days,total_nominal_capacity_m3_days_percent_change,pre_mean_nominal_capacity_m3_days_per_voyage,post_mean_nominal_capacity_m3_days_per_voyage,mean_nominal_capacity_m3_days_per_voyage_percent_change,descriptive_post_excess_sailing_days_vs_pre_mean,descriptive_post_excess_capacity_m3_days_vs_pre_mean
10,expanded_60nm_snap,13.0,549.0,384.0,-30.05464480874317,7208.314299380438,5369.310444490069,-25.51225957292723,13.129898541676571,13.982579282526222,6.494191391830606,1195153950.193293,903824388.9305623,-24.37590246977085,2176965.30089853,2353709.346173339,8.118826937749478,327.4294044862654,67869713.38552666
10,expanded_60nm_snap,15.0,549.0,384.0,-30.05464480874317,6247.205726129712,4653.402385224726,-25.512259572927242,11.379245402786362,12.11823537818939,6.494191391830562,1035800090.1675206,783314470.4064872,-24.37590246977086,1886703.260778726,2039881.433350227,8.118826937749478,283.77215055476245,58820418.26745641
10,expanded_60nm_snap,17.0,549.0,384.0,-30.05464480874317,5512.24034658504,4105.943281080641,-25.51225957292723,10.040510649517378,10.692560627814169,6.494191391830584,913941256.0301653,691159826.8292534,-24.37590246977086,1664738.1712753468,1799895.3823678475,8.118826937749457,250.3871916659682,51900369.059520245
10,strict_30nm_snap,13.0,478.0,314.0,-34.30962343096235,6217.752299529074,4447.201922667682,-28.475730321317094,13.007849999014798,14.163063447986248,8.880894606402624,1031484830.0750475,749585010.3018448,-27.329516785301877,2157918.0545503087,2387213.4086046014,10.625767441483113,362.7370229770354,71998741.1730479
10,strict_30nm_snap,15.0,478.0,314.0,-34.30962343096235,5388.718659591865,3854.2416663119907,-28.475730321317116,11.27346999914616,12.274654988254747,8.8808946064026,893953519.3983743,649640342.2615988,-27.329516785301866,1870195.6472769338,2068918.287457321,10.625767441483136,314.3720865800965,62398909.01664162
10,strict_30nm_snap,17.0,478.0,314.0,-34.30962343096235,4754.75175846341,3400.801470275286,-28.475730321317105,9.947179411011318,10.830577930813014,8.880894606402624,788782517.1162128,573212066.7014109,-27.329516785301866,1650172.629950236,1825516.1359917545,10.625767441483159,277.3871352177325,55057860.89703679
20,expanded_60nm_snap,13.0,897.0,667.0,-25.64102564102564,11406.85734491405,9071.334074508482,-20.474730241514784,12.716674854976644,13.600201011257095,6.947776571755981,1890307064.2422519,1531870123.2064233,-18.96183682620429,2107365.7349411948,2296656.8563814443,8.982357371656313,589.3119462390605,126257178.00064635
20,expanded_60nm_snap,15.0,897.0,667.0,-25.64102564102564,9885.943032258845,7861.822864574018,-20.474730241514795,11.021118207646428,11.786840876422817,6.947776571755959,1638266122.3432846,1327620773.445567,-18.96183682620427,1826383.6369490353,1990435.9421972516,8.982357371656313,510.73702007385145,109422887.60056043
20,expanded_60nm_snap,17.0,897.0,667.0,-25.64102564102564,8722.890910816626,6936.90252756531,-20.474730241514784,9.724516065570375,10.40015371449072,6.947776571755981,1445528931.479369,1171430094.2166767,-18.96183682620428,1611514.9737785608,1756267.0078211045,8.982357371656313,450.6503118298697,96549606.70637679
20,strict_30nm_snap,13.0,752.0,535.0,-28.856382978723406,9609.868714241296,7522.210624630014,-21.724106246295417,12.779080737023001,14.060206775009371,10.025181500534286,1593331418.1573915,1274042860.164611,-20.039054923176103,2118791.7794646164,2381388.5236721705,12.393702238825366,685.4024303227079,140489258.15104127
