hypothesis,model,portname,vessel_class,n_days,pre_event_mean,observed_sum,counterfactual_sum,cumulative_gap,event_statistic,historical_reference_mean,historical_reference_sd,reference_q025,reference_q975,studentized_statistic,raw_resampling_p_value,romano_wolf_p_value,stepdown_rank,family_size,n_joint_resamples,family,status,block_length_days,in_restricted_five,is_treated_anchor,is_context_corridor,volume_eligible
n_tanker::Yucatan Channel,ar_lag1_7,Yucatan Channel,n_tanker,130,23.074569789674953,4006.0,3006.9970976860895,999.0029023139101,0.33303492893486586,0.0990976212083816,0.023009699503430448,0.05426431094661914,0.14463006394679973,10.166899732506598,9.999000099990002e-05,9.999000099990002e-05,1,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,True,False,False,True
n_tanker::Panama Canal,ar_lag1_7,Panama Canal,n_tanker,130,12.354110898661569,1949.0,1609.2619872640091,339.738012735991,0.21153843851454512,-0.036064597180417844,0.030985691673888247,-0.09930521234662738,0.02241422135340987,7.99088296304255,9.999000099990002e-05,9.999000099990002e-05,2,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,True,False,False,True
n_tanker::Mindoro Strait,ar_lag1_7,Mindoro Strait,n_tanker,130,3.6390057361376673,524.0,472.45679534144136,51.543204658558594,0.1089545382530885,-0.12738907540007013,0.05385283683627742,-0.23205349241823536,-0.021076445063809422,4.388693846745473,9.999000099990002e-05,0.00029997000299970003,3,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,False,False,False,False
n_tanker::Cape of Good Hope,ar_lag1_7,Cape of Good Hope,n_tanker,130,12.949521988527724,2618.0,1689.7313649531911,928.2686350468089,0.5514124743928375,0.24882234935328976,0.07805654857713183,0.09704635943995563,0.3998332020020902,3.8765501492875045,9.999000099990002e-05,0.0024997500249975004,4,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,True,False,False,True
n_tanker::Kerch Strait,ar_lag1_7,Kerch Strait,n_tanker,130,6.964053537284895,318.0,841.8949582451032,-523.8949582451032,-0.5786803900478347,-0.8255549590890009,0.08398468255607215,-0.9896846886992492,-0.657013168674903,2.9395189876004006,0.0020997900209979003,0.0400959904009599,5,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,False,False,False,True
n_tanker::Mona Passage,ar_lag1_7,Mona Passage,n_tanker,130,2.465391969407266,366.0,320.08910066545405,45.91089933454592,0.14324730853925804,0.00722610616766149,0.05445573791214218,-0.10123937952010718,0.11201859133243187,2.4978304874143937,0.0052994700529947,0.12708729127087293,6,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,False,False,False,False
n_tanker::Lombok Strait,ar_lag1_7,Lombok Strait,n_tanker,130,7.1915869980879545,1045.0,935.0328601428947,109.96713985710528,0.11762370058914515,0.06672080003936415,0.02725396695760644,0.013402443863672254,0.11977640866918147,1.867724453800083,0.029797020297970205,0.45055494450554945,7,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,False,False,False,True
n_tanker::Tsugaru Strait,ar_lag1_7,Tsugaru Strait,n_tanker,130,12.198087954110898,1660.0,1587.6533247325808,72.34667526741923,0.0456229606448201,0.019847986831701782,0.03517398773853453,-0.04808705079705574,0.08798482725143877,0.7327850912076366,0.23677632236776322,0.9814018598140186,8,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,False,False,False,True
n_tanker::Balabac Strait,ar_lag1_7,Balabac Strait,n_tanker,130,3.5124282982791586,444.0,456.1938043632299,-12.193804363229853,-0.026704743025707522,-0.05379508172781116,0.04732596594595033,-0.14569926283224605,0.038853162862529,0.5724201959880282,0.2846715328467153,0.9925007499250075,9,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,False,False,False,False
n_tanker::Windward Passage,ar_lag1_7,Windward Passage,n_tanker,130,2.0860420650095604,236.0,270.6908890166369,-34.690889016636945,-0.12792311186421151,-0.1529541216986456,0.05718594249309687,-0.26304679261186836,-0.03922439339440181,0.4377126395609495,0.33136686331366866,0.9965003499650035,10,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,False,False,False,False
