hypothesis,model,portname,vessel_class,n_days,pre_event_mean,observed_sum,counterfactual_sum,cumulative_gap,event_statistic,historical_reference_mean,historical_reference_sd,reference_q025,reference_q975,studentized_statistic,raw_resampling_p_value,romano_wolf_p_value,stepdown_rank,family_size,n_joint_resamples,family,block_length_days
n_tanker::Bab el-Mandeb Strait,ar_lag1_7,Bab el-Mandeb Strait,n_tanker,130,17.496749521988527,1833.0,2244.1079716886843,-411.10797168868453,-0.18074037174823054,-0.1297207935949249,0.08949047096420752,-0.2966721519939144,0.05182819895814708,,,,,,,context_descriptive_not_tested,7
n_tanker::Strait of Hormuz,ar_lag1_7,Strait of Hormuz,n_tanker,130,54.10363288718929,529.0,7025.362323200071,-6496.362323200071,-0.9236351646656651,0.036518218981529404,0.04027652203612876,-0.04296871562494023,0.11326247705354026,,,,,,,context_descriptive_not_tested,7
n_tanker::Suez Canal,ar_lag1_7,Suez Canal,n_tanker,130,17.593881453154875,2140.0,2298.024555629863,-158.02455562986287,-0.0690906954262288,0.008366373787948566,0.07295579641568713,-0.12764719229197508,0.15734982095317665,,,,,,,context_descriptive_not_tested,7
n_tanker::Bab el-Mandeb Strait,chronos2_univariate,Bab el-Mandeb Strait,n_tanker,130,17.496749521988527,1833.0,1751.4898109436035,81.51018905639648,0.03583531063824211,-0.10064297623732753,0.06609140102830706,-0.24423630280629227,0.011772847548095839,,,,,,,context_descriptive_not_tested,7
n_tanker::Strait of Hormuz,chronos2_univariate,Strait of Hormuz,n_tanker,130,54.10363288718929,529.0,7571.26872253418,-7042.26872253418,-1.0012506549901987,-0.034119503890371695,0.03182879165177839,-0.0971215097073989,0.027696169081759835,,,,,,,context_descriptive_not_tested,7
n_tanker::Suez Canal,chronos2_univariate,Suez Canal,n_tanker,130,17.593881453154875,2140.0,2383.4510135650635,-243.45101356506348,-0.1064404184677984,-0.03586187265030478,0.03328321764227254,-0.1043629342124687,0.028136400184783847,,,,,,,context_descriptive_not_tested,7
n_dry_bulk::Cape of Good Hope,ar_lag1_7,Cape of Good Hope,n_dry_bulk,130,32.42141491395793,5755.0,4408.516885465371,1346.4831145346284,0.31946669961766677,0.29606348594361726,0.0493633600192963,0.20120108111861704,0.3918539488006485,0.4741009053050911,0.3157684231576842,0.8455154484551545,6.0,10.0,10000.0,non_tanker_negative_controls,7
n_dry_bulk::Gibraltar Strait,ar_lag1_7,Gibraltar Strait,n_dry_bulk,130,28.595793499043978,3699.0,3714.044696656946,-15.044696656945966,-0.004047044046059794,0.0025581678824582975,0.027386441101557857,-0.050815556077762065,0.057360469022852474,-0.24118547948686764,0.5928407159284071,0.9253074692530747,8.0,10.0,10000.0,non_tanker_negative_controls,7
n_dry_bulk::Malacca Strait,ar_lag1_7,Malacca Strait,n_dry_bulk,130,50.531166347992354,8130.0,6740.954459617989,1389.045540382011,0.21145297976425517,0.2688935900790549,0.02192016055252306,0.225844517715777,0.31224220731826524,-2.620446605633469,0.9958004199580042,0.9994000599940006,10.0,10.0,10000.0,non_tanker_negative_controls,7
n_dry_bulk::Panama Canal,ar_lag1_7,Panama Canal,n_dry_bulk,130,6.605736137667304,701.0,862.450104191315,-161.45010419131486,-0.18800688560855727,-0.2743136179664505,0.06693137699063828,-0.41465688993378375,-0.14902438356954534,1.2894809017594986,0.09059094090590941,0.4527547245275472,5.0,10.0,10000.0,non_tanker_negative_controls,7
n_dry_bulk::Yucatan Channel,ar_lag1_7,Yucatan Channel,n_dry_bulk,130,7.974760994263862,1024.0,1035.8691786294112,-11.86917862941101,-0.01144879127262425,-0.0694509309769429,0.03194799637632204,-0.13254914152228495,-0.00782521308197399,1.8155172869402973,0.0342965703429657,0.2692730726927307,2.0,10.0,10000.0,non_tanker_negative_controls,7
n_roro::Cape of Good Hope,ar_lag1_7,Cape of Good Hope,n_roro,130,1.7655831739961758,538.0,239.20218353145543,298.79781646854457,1.301804851743963,0.7040633174262723,0.15742778540784685,0.39882481250304225,1.0165984941263935,3.796925255406006,0.00019998000199980003,0.0011998800119988001,1.0,10.0,10000.0,non_tanker_negative_controls,7
