panel,horizon,method,hyperparameter,value,macro_mean_mase,macro_median_mase,n_unit_series,mean_iterations,mean_retained_rank
composition_28x5,30,interactive_fixed_effects,rank,1.0,0.8640326942765861,0.8150286948795816,140,,1.0
composition_28x5,30,interactive_fixed_effects,rank,2.0,0.8802642862548753,0.8216758601662106,140,,2.0
composition_28x5,30,interactive_fixed_effects,rank,3.0,0.8952767587945242,0.8253822365460821,140,,3.0
composition_28x5,30,interactive_fixed_effects,rank,5.0,0.904289308836024,0.8334832808584905,140,,5.0
composition_28x5,30,interactive_fixed_effects,rank,8.0,0.9192132867992467,0.8348803605064661,140,,8.0
composition_28x5,30,interactive_fixed_effects,rank,12.0,0.9324132051524523,0.8598334322869479,140,,12.0
composition_28x5,30,interactive_fixed_effects,rank,16.0,0.9689877311850982,0.906608916426044,140,,16.0
composition_28x5,30,nuclear_norm_mc,lambda_fraction,0.005,0.8960332738404738,0.8338111860013915,140,100.0,140.0
composition_28x5,30,nuclear_norm_mc,lambda_fraction,0.01,0.8905786158788965,0.8264835244374655,140,100.0,140.0
composition_28x5,30,nuclear_norm_mc,lambda_fraction,0.02,0.8879816006282126,0.8254840616590684,140,100.0,140.0
composition_28x5,30,nuclear_norm_mc,lambda_fraction,0.05,0.8874607897516444,0.8248437501823758,140,93.42857142857143,140.0
composition_28x5,30,nuclear_norm_mc,lambda_fraction,0.1,0.8874591077909766,0.8248412783327785,140,48.857142857142854,140.0
composition_28x5,30,nuclear_norm_mc,lambda_fraction,0.2,0.8874283214944653,0.8248611331414403,140,24.142857142857142,138.0
composition_28x5,30,nuclear_norm_mc,lambda_fraction,0.35,0.8845365565502888,0.8265814895933737,140,12.571428571428571,78.0
composition_28x5,30,nuclear_norm_mc,lambda_fraction,0.5,0.8843525479829916,0.8274337029740659,140,8.0,13.285714285714286
composition_28x5,130,interactive_fixed_effects,rank,1.0,0.8180584200307136,0.7856282244605688,140,,1.0
composition_28x5,130,interactive_fixed_effects,rank,2.0,0.8324553847483426,0.7973401835787732,140,,2.0
composition_28x5,130,interactive_fixed_effects,rank,3.0,0.8384405508411593,0.7989472887637238,140,,3.0
composition_28x5,130,interactive_fixed_effects,rank,5.0,0.8437606408373233,0.8142733736925515,140,,5.0
composition_28x5,130,interactive_fixed_effects,rank,8.0,0.8661747219576926,0.8220558037999391,140,,8.0
composition_28x5,130,interactive_fixed_effects,rank,12.0,0.8887220176161694,0.8435809325279601,140,,12.0
composition_28x5,130,interactive_fixed_effects,rank,16.0,0.9208514529437256,0.8691703723671003,140,,16.0
composition_28x5,130,nuclear_norm_mc,lambda_fraction,0.005,0.8641236855890316,0.8083184853110765,140,100.0,140.0
composition_28x5,130,nuclear_norm_mc,lambda_fraction,0.01,0.8548182173419054,0.8036561648055087,140,100.0,140.0
composition_28x5,130,nuclear_norm_mc,lambda_fraction,0.02,0.8490514895564631,0.7982907039770276,140,100.0,140.0
composition_28x5,130,nuclear_norm_mc,lambda_fraction,0.05,0.8475669043002502,0.7958928238822184,140,97.14285714285714,140.0
composition_28x5,130,nuclear_norm_mc,lambda_fraction,0.1,0.847557756924101,0.7958923478560908,140,54.42857142857143,140.0
composition_28x5,130,nuclear_norm_mc,lambda_fraction,0.2,0.8475496659781566,0.7959803943800123,140,27.571428571428573,136.57142857142858
composition_28x5,130,nuclear_norm_mc,lambda_fraction,0.35,0.8426233434069601,0.7992235825347651,140,15.0,61.714285714285715
composition_28x5,130,nuclear_norm_mc,lambda_fraction,0.5,0.8479343363588907,0.7977489791390393,140,9.285714285714286,8.285714285714286
total_28x1,30,interactive_fixed_effects,rank,1.0,1.0437738562111767,0.8875798456076116,28,,1.0
total_28x1,30,interactive_fixed_effects,rank,2.0,1.072792674689251,0.9150199931027732,28,,2.0
total_28x1,30,interactive_fixed_effects,rank,3.0,1.059823366118527,1.0118250535628546,28,,3.0
total_28x1,30,interactive_fixed_effects,rank,5.0,1.0925032317098349,1.0149764300878386,28,,5.0
total_28x1,30,interactive_fixed_effects,rank,8.0,1.2187956341365556,1.1719149896011554,28,,8.0
total_28x1,30,interactive_fixed_effects,rank,12.0,1.449015856966707,1.3057408096086056,28,,12.0
total_28x1,30,interactive_fixed_effects,rank,16.0,1.7723287272602903,1.6068536197980197,28,,16.0
total_28x1,30,nuclear_norm_mc,lambda_fraction,0.005,1.0799668286674033,0.9214449290885007,28,100.0,28.0
total_28x1,30,nuclear_norm_mc,lambda_fraction,0.01,1.0645240908146392,0.913159911243993,28,100.0,28.0
total_28x1,30,nuclear_norm_mc,lambda_fraction,0.02,1.0575745356977013,0.9082225635732132,28,100.0,28.0
total_28x1,30,nuclear_norm_mc,lambda_fraction,0.05,1.0561342196692927,0.907215063493498,28,98.42857142857143,28.0
total_28x1,30,nuclear_norm_mc,lambda_fraction,0.1,1.0561261372626611,0.9072117211460837,28,52.57142857142857,28.0
total_28x1,30,nuclear_norm_mc,lambda_fraction,0.2,1.056125060109703,0.907210096514822,28,26.0,28.0
total_28x1,30,nuclear_norm_mc,lambda_fraction,0.35,1.0561246688809292,0.9072091965931114,28,13.428571428571429,28.0
total_28x1,30,nuclear_norm_mc,lambda_fraction,0.5,1.0643886069259527,0.9078567059121141,28,8.0,16.714285714285715
total_28x1,130,interactive_fixed_effects,rank,1.0,0.8995698139719158,0.8298920896605806,28,,1.0
total_28x1,130,interactive_fixed_effects,rank,2.0,0.9222421507024859,0.8584801430164699,28,,2.0
total_28x1,130,interactive_fixed_effects,rank,3.0,0.9228141806266985,0.881854759562222,28,,3.0
total_28x1,130,interactive_fixed_effects,rank,5.0,0.9588382831444325,0.9470590940790495,28,,5.0
total_28x1,130,interactive_fixed_effects,rank,8.0,1.0384242385952485,1.033974307775457,28,,8.0
total_28x1,130,interactive_fixed_effects,rank,12.0,1.2624239621540583,1.2435925406364436,28,,12.0
total_28x1,130,interactive_fixed_effects,rank,16.0,1.6091316035867311,1.446572205573228,28,,16.0
total_28x1,130,nuclear_norm_mc,lambda_fraction,0.005,1.0000707595674136,0.9113994794568252,28,100.0,28.0
total_28x1,130,nuclear_norm_mc,lambda_fraction,0.01,0.9764018902572051,0.9141247485583011,28,100.0,28.0
total_28x1,130,nuclear_norm_mc,lambda_fraction,0.02,0.962036385931491,0.9148307505337743,28,100.0,28.0
total_28x1,130,nuclear_norm_mc,lambda_fraction,0.05,0.9583403526774433,0.9147134955639579,28,100.0,28.0
total_28x1,130,nuclear_norm_mc,lambda_fraction,0.1,0.9583054201480907,0.9147116566079609,28,57.42857142857143,28.0
total_28x1,130,nuclear_norm_mc,lambda_fraction,0.2,0.9583029529270153,0.9147111368201346,28,28.857142857142858,28.0
total_28x1,130,nuclear_norm_mc,lambda_fraction,0.35,0.9585973549758033,0.9146893216815366,28,15.285714285714286,27.142857142857142
total_28x1,130,nuclear_norm_mc,lambda_fraction,0.5,0.9684460279340724,0.9032687388960233,28,9.571428571428571,10.285714285714286
