model,league,panel,fold,horizon,origin,portname,vessel_class,mask_group,diagnostics,mae,rmse,mase,horizon_bias_mase,cumulative_bias,relative_cumulative_bias,n_days
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bab el-Mandeb Strait,n_container,0,,5.833333333333333,8.300602387778854,1.5227408737283064,0.18272890484739676,21.0,0.04054054054054054,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bab el-Mandeb Strait,n_container,0,,3.392817248859505,4.117328442217046,0.8856654003306499,-0.1281772258405601,-14.73068393257056,-0.028437613769441237,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bab el-Mandeb Strait,n_dry_bulk,0,,3.8,4.611579628139003,0.8686055651627101,0.21334171775926217,28.0,0.04912280701754386,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bab el-Mandeb Strait,n_dry_bulk,0,,4.452205568415314,5.688093664616708,1.0176869826247235,-0.7736679616681873,-101.53992924700151,-0.17814022674912547,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bab el-Mandeb Strait,n_general_cargo,0,,3.1333333333333333,3.7058512292499457,1.2522997984240425,-0.02664467656221367,-2.0,-0.010810810810810811,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bab el-Mandeb Strait,n_general_cargo,0,,2.0248333564460035,2.5597942440103383,0.809265448123279,-0.6233796385500139,-46.792058976168164,-0.2529300485198279,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bab el-Mandeb Strait,n_roro,0,,2.2333333333333334,2.960855732160327,1.175693941588221,0.05264301230992035,3.0,0.024390243902439025,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bab el-Mandeb Strait,n_roro,0,,1.6817744267905406,2.2836561737070014,0.8853367185204366,-0.5043328159276367,-28.740727047980727,-0.23366444754455876,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bab el-Mandeb Strait,n_tanker,0,,6.533333333333333,8.37456466530251,1.3383300460223537,0.31409786794402184,46.0,0.06125166444740346,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Bab el-Mandeb Strait,n_tanker,0,,6.5937055787750465,8.147447332994897,1.3506970853112028,-1.2086181342195677,-177.00353885881344,-0.23569046452571696,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Balabac Strait,n_container,1,,0.6666666666666666,0.9660917830792959,0.7255489021956087,0.3627744510978044,10.0,0.30303030303030304,30
