model,league,panel,fold,horizon,portname,vessel_class,common_95_coverage,common_width_scaled,n_coverage_days,native_95_coverage
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Bab el-Mandeb Strait,n_container,0.9,5.369223964751772,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Bab el-Mandeb Strait,n_dry_bulk,0.8,5.443151112911609,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Bab el-Mandeb Strait,n_general_cargo,0.9666666666666667,4.328563386724498,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Bab el-Mandeb Strait,n_roro,1.0,4.990672548268846,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Bab el-Mandeb Strait,n_tanker,0.8333333333333334,5.527219579730791,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Balabac Strait,n_container,1.0,3.692000781894215,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Balabac Strait,n_dry_bulk,0.9666666666666667,4.654445999457182,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Balabac Strait,n_general_cargo,0.9666666666666667,3.594596527410973,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Balabac Strait,n_roro,0.9666666666666667,3.8664673984468636,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Balabac Strait,n_tanker,1.0,4.488667690377616,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Bering Strait,n_container,1.0,3.2266227468893494,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Bering Strait,n_dry_bulk,1.0,3.3765102661014437,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Bering Strait,n_general_cargo,1.0,3.1498697600632686,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Bering Strait,n_roro,1.0,3.820069830106133,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Bering Strait,n_tanker,1.0,3.494930885594777,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Bohai Strait,n_container,0.9666666666666667,5.351727505973104,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Bohai Strait,n_dry_bulk,0.9666666666666667,5.460921015465932,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Bohai Strait,n_general_cargo,1.0,4.860930594671786,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Bohai Strait,n_roro,1.0,5.203141398074933,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Bohai Strait,n_tanker,1.0,5.50489648848873,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Bosporus Strait,n_container,0.8666666666666667,5.117083104617449,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Bosporus Strait,n_dry_bulk,1.0,5.460921015465932,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Bosporus Strait,n_general_cargo,1.0,4.92843580726516,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Bosporus Strait,n_roro,1.0,4.297829370940835,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Bosporus Strait,n_tanker,1.0,5.527219579730791,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Cape of Good Hope,n_container,1.0,4.775456493299349,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Cape of Good Hope,n_dry_bulk,0.9333333333333333,5.460272526892054,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Cape of Good Hope,n_general_cargo,1.0,3.7107071466917927,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Cape of Good Hope,n_roro,1.0,4.307550054654381,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Cape of Good Hope,n_tanker,1.0,5.263900276517768,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Dover Strait,n_container,1.0,5.369223964751772,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Dover Strait,n_dry_bulk,1.0,5.459135581136465,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Dover Strait,n_general_cargo,1.0,4.950373027372775,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Dover Strait,n_roro,0.9666666666666667,5.968069014174503,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Dover Strait,n_tanker,0.9333333333333333,5.527219579730791,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Gibraltar Strait,n_container,0.9333333333333333,5.369223964751772,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Gibraltar Strait,n_dry_bulk,1.0,5.460921015465932,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Gibraltar Strait,n_general_cargo,0.9666666666666667,4.935832447604001,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Gibraltar Strait,n_roro,0.9666666666666667,5.345537127615722,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Gibraltar Strait,n_tanker,0.8666666666666667,5.527219579730791,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Kerch Strait,n_container,1.0,3.3610654054253835,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Kerch Strait,n_dry_bulk,1.0,3.8350819916382406,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Kerch Strait,n_general_cargo,1.0,4.279975418987205,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Kerch Strait,n_roro,1.0,4.049617466350651,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Kerch Strait,n_tanker,0.9666666666666667,4.615469644507584,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Korea Strait,n_container,0.9333333333333333,5.369223964751772,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Korea Strait,n_dry_bulk,1.0,5.460921015465932,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Korea Strait,n_general_cargo,1.0,4.950373027372775,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Korea Strait,n_roro,0.9333333333333333,5.77409211665609,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Korea Strait,n_tanker,1.0,5.527219579730791,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Lombok Strait,n_container,1.0,3.261591776597684,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Lombok Strait,n_dry_bulk,1.0,5.460921015465932,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Lombok Strait,n_general_cargo,0.9666666666666667,3.63699653065151,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Lombok Strait,n_roro,1.0,4.005570682288495,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Lombok Strait,n_tanker,1.0,5.053966116648929,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Luzon Strait,n_container,0.9333333333333333,4.738391671523359,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Luzon Strait,n_dry_bulk,0.9,5.437978160095601,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Luzon Strait,n_general_cargo,1.0,4.046092856752803,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Luzon Strait,n_roro,0.9666666666666667,4.693479640921893,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Luzon Strait,n_tanker,0.9666666666666667,5.5029596071082985,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Magellan Strait,n_container,0.9666666666666667,3.428289797116351,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Magellan Strait,n_dry_bulk,1.0,3.999182184937545,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Magellan Strait,n_general_cargo,0.9333333333333333,3.1046168837661714,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Magellan Strait,n_roro,0.9333333333333333,3.8849743959190914,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Magellan Strait,n_tanker,0.9333333333333333,3.6851702268804822,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Makassar Strait,n_container,1.0,4.183945127882208,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Makassar Strait,n_dry_bulk,1.0,5.460921015465932,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Makassar Strait,n_general_cargo,0.9333333333333333,3.8445275807205936,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Makassar Strait,n_roro,0.9333333333333333,3.9206512861174447,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Makassar Strait,n_tanker,1.0,4.880387476640935,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Malacca Strait,n_container,0.8,5.369223964751772,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Malacca Strait,n_dry_bulk,0.8666666666666667,5.460921015465932,30,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,30,Malacca Strait,n_general_cargo,0.9333333333333333,4.904927771126944,30,
