panel,horizon,comparison,challenger,baseline,n_pairs,challenger_mean_mase,baseline_mean_mase,mean_mase_reduction,paired_win_rate,median_paired_mase_difference,cluster_bootstrap_reduction_ci_lower,cluster_bootstrap_reduction_ci_upper,cluster_bootstrap_probability_meets_threshold
composition_28x5,30,chronos_vs_ar17,chronos2_univariate,ar_lag1_7,1120,0.7237031200209921,0.8782547229390989,0.17597582897236963,0.7241071428571428,-0.041253998009745,0.1139069816765561,0.24960170094873482,1.0
composition_28x5,130,chronos_vs_ar17,chronos2_univariate,ar_lag1_7,1120,0.7853931559618376,0.9184915973791935,0.1449098084262681,0.7410714285714286,-0.03235500887999232,0.013525062668060835,0.23718613708344669,0.9472
total_28x1,30,chronos_vs_ar17,chronos2_univariate,ar_lag1_7,224,0.7373566209325453,0.9426904348218874,0.2178167999849686,0.7321428571428571,-0.04975974503023628,0.1219189421864585,0.3138143978030861,1.0
total_28x1,130,chronos_vs_ar17,chronos2_univariate,ar_lag1_7,224,0.8035063244030755,1.0807223257276362,0.2565099237104358,0.75,-0.04395069357645798,0.1383640019621289,0.35944562882988595,0.9998
composition_28x5,30,chronos_vs_ar17,chronos2_multivariate_5class,ar_lag1_7,1120,0.7249923145254469,0.8782547229390989,0.17450792396624515,0.7196428571428571,-0.03843757186542529,0.10855657304247338,0.25389558749383156,1.0
composition_28x5,130,chronos_vs_ar17,chronos2_multivariate_5class,ar_lag1_7,1120,0.7615239959044142,0.9184915973791935,0.17089715564373986,0.7258928571428571,-0.030768513114027785,0.1018056737239926,0.24542414653918757,1.0
composition_28x5,30,multivariate_vs_univariate_chronos,chronos2_multivariate_5class,chronos2_univariate,1120,0.7249923145254469,0.7237031200209921,-0.0017813858594630805,0.4669642857142857,0.0010283068641515625,-0.013237315663262394,0.008045708240468607,0.0004
composition_28x5,130,multivariate_vs_univariate_chronos,chronos2_multivariate_5class,chronos2_univariate,1120,0.7615239959044142,0.7853931559618376,0.03039135224980638,0.49375,6.66718464394922e-05,-0.012583239887730262,0.1565985937155521,0.426
composition_28x5,30,latent_factor_vs_synthetic,interactive_fixed_effects,synthetic_control,1120,0.8643635353396283,0.9044241905485866,0.04429409963554731,0.6053571428571428,-0.016869357305873023,0.006753895620838904,0.09280736653579721,0.3498
composition_28x5,130,latent_factor_vs_synthetic,interactive_fixed_effects,synthetic_control,1120,0.8778550191502673,0.9180944913635709,0.043829336295808874,0.6714285714285714,-0.018482761572954476,0.011460825951725132,0.08479541575512779,0.335
total_28x1,30,latent_factor_vs_synthetic,interactive_fixed_effects,synthetic_control,224,1.0512057773848016,1.0514346143758213,0.0002176426264561826,0.5133928571428571,-0.002338168006477126,-0.07549047222808365,0.08661594134998478,0.115
total_28x1,130,latent_factor_vs_synthetic,interactive_fixed_effects,synthetic_control,224,1.0780886560907077,1.0968265648365187,0.01708374810251234,0.5758928571428571,-0.011662084333183886,-0.04465209536373701,0.09034828173873508,0.1732
composition_28x5,30,latent_factor_vs_synthetic,nuclear_norm_mc,synthetic_control,1120,0.8704664317474071,0.9044241905485866,0.03754627436555191,0.6241071428571429,-0.01791364184116112,0.014763381986676724,0.06447641117975765,0.1576
composition_28x5,130,latent_factor_vs_synthetic,nuclear_norm_mc,synthetic_control,1120,0.8712610409289939,0.9180944913635709,0.05101157982662452,0.7580357142857143,-0.022899712361564517,0.02610386426615426,0.08162820944811314,0.4968
total_28x1,30,latent_factor_vs_synthetic,nuclear_norm_mc,synthetic_control,224,0.9848256834019954,1.0514346143758213,0.063350521338284,0.6205357142857143,-0.02050417034362695,0.018071000534151886,0.11576399657072907,0.6608
total_28x1,130,latent_factor_vs_synthetic,nuclear_norm_mc,synthetic_control,224,1.0219910630691167,1.0968265648365187,0.06822911129851805,0.75,-0.02390705109227209,0.027818226487413607,0.11471309961864708,0.7618
