model,league,panel,horizon,n_unit_windows,mase_mean,mase_median,mase_q25,mase_q75,horizon_bias_mase_mean,horizon_abs_bias_mase_mean,common_95_coverage,common_width_scaled,n_interval_unit_windows,native_95_coverage
ar_lag1_7,past_only_forecast,composition_28x5,30,1120,0.8782547229390989,0.8156703959043652,0.6979896156328254,0.9600485585060933,-0.04230049376231121,0.40779290661770984,0.9534353741496598,4.191410165692807,980,
ar_lag1_7,past_only_forecast,composition_28x5,130,1120,0.9184915973791937,0.8111967948094734,0.7258533703218232,0.9554401750085351,-0.04297727937294947,0.41794235932618257,0.9514599686028258,4.359270673246307,980,
ar_lag1_7,past_only_forecast,total_28x1,30,224,0.9426904348218875,0.8198665558736329,0.6914096085002677,1.1107542789944516,-0.08576677919371463,0.5675373489458531,0.9547619047619047,5.165994026077024,196,
ar_lag1_7,past_only_forecast,total_28x1,130,224,1.0807223257276362,0.8400298367969066,0.7325941081183591,1.08450565006368,-0.05989582967338521,0.6736003271542413,0.9482339089481946,5.9542294897774655,196,
chronos2_multivariate_5class,past_only_forecast,composition_28x5,30,1120,0.7249923145254469,0.7293151837223782,0.611520981973974,0.8444821974436256,-0.1288238508703422,0.24500287283562727,0.9567687074829931,3.868314882048267,980,0.9544557823129225
chronos2_multivariate_5class,past_only_forecast,composition_28x5,130,1120,0.7615239959044143,0.7462346863101803,0.6683994806645568,0.8375604952046432,-0.10889583701750609,0.26414502986076255,0.9544505494505494,4.003082731556411,980,0.9578335949764467
chronos2_univariate,past_only_forecast,composition_28x5,30,1120,0.7237031200209921,0.7273414705355152,0.6106990776902275,0.8433955268543311,-0.11489864153180189,0.23956179148605208,0.9550340136054423,3.8407164577241697,980,0.9575510204081616
chronos2_univariate,past_only_forecast,composition_28x5,130,1120,0.7853931559618376,0.7432522983385403,0.669499396126286,0.8396144727200278,-0.07293285600053566,0.288543763863059,0.9529356357927786,3.994980964089318,980,0.9599136577707951
chronos2_univariate,past_only_forecast,total_28x1,30,224,0.7373566209325453,0.7066826264474215,0.6033436459268801,0.8424519958872979,-0.035331383459005064,0.23906945371436497,0.9552721088435375,4.251757338826546,196,0.9600340136054433
chronos2_univariate,past_only_forecast,total_28x1,130,224,0.8035063244030755,0.7557981738567631,0.6688604329128414,0.8605152517033751,0.006124345385023439,0.2920947579599937,0.9516091051805338,4.619334630582361,196,0.9591836734693855
interactive_fixed_effects,contemporaneous_spatial_donors,composition_28x5,30,1120,0.8643635353396283,0.7961810011759312,0.6856845963350086,0.9370631911692427,0.011732593164704905,0.3652081583079294,0.9471768707482994,4.1454712904231625,980,
interactive_fixed_effects,contemporaneous_spatial_donors,composition_28x5,130,1120,0.8778550191502673,0.7955788187007607,0.7173194046412202,0.9212792202939015,0.007680346876820441,0.3399021412557988,0.9480690737833595,4.173871437526639,980,
interactive_fixed_effects,contemporaneous_spatial_donors,total_28x1,30,224,1.0512057773848016,0.8268996669730233,0.7161227248114734,1.0414228729708173,0.08043854056247976,0.6496353065194402,0.9335034013605442,5.980915067997903,196,
interactive_fixed_effects,contemporaneous_spatial_donors,total_28x1,130,224,1.0780886560907077,0.8363753202091246,0.7480773823141729,1.0709826443717614,0.07869187542015157,0.6190410211670324,0.9326923076923077,5.963960796585014,196,
nuclear_norm_mc,contemporaneous_spatial_donors,composition_28x5,30,1120,0.870466431747407,0.7960105997566624,0.6931664482757067,0.953069606202372,-0.029475699774197395,0.38032251285677665,0.9507142857142857,4.157096625645652,980,
nuclear_norm_mc,contemporaneous_spatial_donors,composition_28x5,130,1120,0.871261040928994,0.790377007505163,0.7182745499841571,0.9214078842788069,-0.026024708842627385,0.33014949335741556,0.9518053375196233,4.156636925205735,980,
nuclear_norm_mc,contemporaneous_spatial_donors,total_28x1,30,224,0.9848256834019954,0.8079705260938996,0.6855991239614874,1.0872158354266075,-0.031053299911319197,0.5939736624627789,0.9460884353741497,5.542610511965763,196,
nuclear_norm_mc,contemporaneous_spatial_donors,total_28x1,130,224,1.0219910630691167,0.8245994209283902,0.7248446434705472,1.0646047229941988,-0.027768197806006895,0.5727526447319036,0.9471350078492936,5.724415290101519,196,
seasonal_naive_7d,past_only_forecast,composition_28x5,30,1120,0.9889912707620354,0.9861263200429022,0.8145096604756549,1.1595223334306985,-0.027859954202594333,0.3209803197001911,0.9556802721088435,4.894551916403035,980,
seasonal_naive_7d,past_only_forecast,composition_28x5,130,1120,1.028880328636889,1.0067345215512453,0.8594307699884407,1.1618848988109485,-0.028181988470805344,0.3672491820272638,0.9538854003139718,5.0022854070576335,980,
seasonal_naive_7d,past_only_forecast,total_28x1,30,224,1.0152466637533442,0.9463763220787378,0.7733387294477009,1.1960033541104136,-0.06816638587196296,0.37010731228572563,0.9593537414965986,5.81729673664631,196,
seasonal_naive_7d,past_only_forecast,total_28x1,130,224,1.1199239884623102,1.0123008765021841,0.8703216973512177,1.211377826658252,-0.05539760371596415,0.47773726143470113,0.9563579277864992,6.202650575953484,196,
synthetic_control,contemporaneous_spatial_donors,composition_28x5,30,1120,0.9044241905485865,0.820696373927329,0.7111247165571707,0.9700892297103552,0.01961945514790529,0.39307966709985576,0.947312925170068,4.295050841796749,980,
synthetic_control,contemporaneous_spatial_donors,composition_28x5,130,1120,0.9180944913635709,0.8206602110216545,0.7458396771837805,0.9509901412719752,0.01730095218386795,0.36629896289875136,0.948469387755102,4.328711431735764,980,
synthetic_control,contemporaneous_spatial_donors,total_28x1,30,224,1.051434614375821,0.8381538820206469,0.7138120513909594,1.1019259230653826,0.042640598523175935,0.6434297780888306,0.9408163265306123,5.863352572024065,196,
synthetic_control,contemporaneous_spatial_donors,total_28x1,130,224,1.0968265648365187,0.8371621552748739,0.7596500107551408,1.1123410866482755,0.04118224895910004,0.6423918325535507,0.9408555729984301,6.06946870450342,196,
