hypothesis,onset,model,portname,vessel_class,n_days,pre_onset_mean,observed_sum,counterfactual_sum,cumulative_gap,event_statistic,historical_reference_mean,historical_reference_sd,reference_q025,reference_q975,studentized_statistic,raw_resampling_p_value,romano_wolf_p_value,stepdown_rank,family_size,n_joint_resamples,family,block_length_days
n_dry_bulk::Cape of Good Hope,external_onset,ar_lag1_7,Cape of Good Hope,n_dry_bulk,130,27.81858407079646,4870.0,3619.2429041829973,1250.7570958170027,0.3458554326444588,0.01612780171603236,0.03623885349343835,-0.0510279623362077,0.09048630090266867,9.09873241404089,9.999000099990002e-05,9.999000099990002e-05,2.0,2.0,10000.0,anchor_negative_controls,7
n_roro::Cape of Good Hope,external_onset,ar_lag1_7,Cape of Good Hope,n_roro,130,1.0553097345132743,380.0,136.80263530711807,243.1973646928819,1.7727013198062027,-0.15144213224957795,0.0723996958185052,-0.29111356778128494,-0.005745159196490063,26.576678676652314,9.999000099990002e-05,9.999000099990002e-05,1.0,2.0,10000.0,anchor_negative_controls,7
n_dry_bulk::Cape of Good Hope,external_onset,chronos2_univariate,Cape of Good Hope,n_dry_bulk,130,27.81858407079646,4870.0,3579.7982234954834,1290.2017765045166,0.35676255214058405,0.03059621949711719,0.024769336480516768,-0.01659830962216785,0.08054208449779698,13.168149776641169,9.999000099990002e-05,9.999000099990002e-05,2.0,2.0,10000.0,anchor_negative_controls,7
n_roro::Cape of Good Hope,external_onset,chronos2_univariate,Cape of Good Hope,n_roro,130,1.0553097345132743,380.0,82.37340080738068,297.6265991926193,2.1694440063709717,0.24071077253229167,0.07484818606580944,0.09477677065092717,0.3876640667774623,25.768603558980878,9.999000099990002e-05,9.999000099990002e-05,1.0,2.0,10000.0,anchor_negative_controls,7
n_tanker::Bab el-Mandeb Strait,external_onset,ar_lag1_7,Bab el-Mandeb Strait,n_tanker,130,20.027101769911503,1822.0,2647.77725894936,-825.7772589493602,-0.3171768353767642,0.19144687523694484,0.041280641231450775,0.11088049049550831,0.27224082026512164,,,,,,,context_descriptive_not_tested,7
n_tanker::Suez Canal,external_onset,ar_lag1_7,Suez Canal,n_tanker,130,18.861725663716815,2018.0,2519.7537940353595,-501.7537940353598,-0.20462839075892922,0.22765855406114238,0.047818572298096475,0.1321619596908198,0.32039767448255824,,,,,,,context_descriptive_not_tested,7
n_tanker::Bab el-Mandeb Strait,external_onset,chronos2_univariate,Bab el-Mandeb Strait,n_tanker,130,20.027101769911503,1822.0,3514.083604812622,-1692.083604812622,-0.6499206864211874,0.045808486121683985,0.025521498319507226,-0.003933476087201508,0.0964002301863618,,,,,,,context_descriptive_not_tested,7
n_tanker::Suez Canal,external_onset,chronos2_univariate,Suez Canal,n_tanker,130,18.861725663716815,2018.0,3379.390693664551,-1361.3906936645508,-0.5552109224691328,0.07059603530832988,0.032264952616197995,0.008127880733959451,0.1346531423859384,,,,,,,context_descriptive_not_tested,7
n_tanker::Bab el-Mandeb Strait,external_onset,ar_lag1_7,Bab el-Mandeb Strait,n_tanker,130,20.027101769911503,1822.0,2647.77725894936,-825.7772589493602,-0.3171768353767642,0.19144687523694484,0.041280641231450775,0.11088049049550831,0.27224082026512164,-12.32111942646376,1.0,1.0,16.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Bohai Strait,external_onset,ar_lag1_7,Bohai Strait,n_tanker,130,37.0033185840708,4705.0,4804.646870189998,-99.64687018999737,-0.020714747093166726,0.025811879518033494,0.025972957178431396,-0.026102467910375685,0.07674483873030413,-1.7913488360823662,0.960903909609039,1.0,13.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Bosporus Strait,external_onset,ar_lag1_7,Bosporus Strait,n_tanker,130,23.190818584070797,3251.0,3016.9700852709775,234.02991472902244,0.07762684645106518,-0.005081062708510074,0.024200676401886997,-0.05255974659110631,0.04286088064495313,3.4175866734504283,0.00019998000199980003,0.0040995900409959,2.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Cape of Good Hope,external_onset,ar_lag1_7,Cape of Good Hope,n_tanker,130,10.896017699115044,2255.0,1416.1292494877289,838.8707505122712,0.5922211311699282,-0.1307835655999196,0.0337191111554555,-0.19566509714279448,-0.06459157730113539,21.441985627574027,9.999000099990002e-05,9.999000099990002e-05,1.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Dover Strait,external_onset,ar_lag1_7,Dover Strait,n_tanker,130,56.14048672566372,8327.0,7325.535622784417,1001.4643772155839,0.13721954656488586,0.09289312243600935,0.01960804503333961,0.054860539748870535,0.131825977802478,2.2606243536011967,0.0150984901509849,0.11498850114988501,6.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Gibraltar Strait,external_onset,ar_lag1_7,Gibraltar Strait,n_tanker,130,41.608960176991154,6238.0,5464.766838278131,773.233161721869,0.14294871519403207,0.1518834127900571,0.0251890816961838,0.10283729621545093,0.2003032434371895,-0.35470517360617604,0.6391360863913609,0.9963003699630038,11.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Korea Strait,external_onset,ar_lag1_7,Korea Strait,n_tanker,130,63.254977876106196,8139.0,8213.191223743845,-74.19122374384412,-0.00902224204748428,-0.015476658027090405,0.01822594216961191,-0.05262424388300186,0.019381510397137508,0.354133460950379,0.37366263373662634,0.9622037796220378,9.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Lombok Strait,external_onset,ar_lag1_7,Lombok Strait,n_tanker,130,6.991150442477876,991.0,908.38289509293,82.61710490707009,0.0909029489240401,0.01638798822910584,0.031095029842767734,-0.04409629110485805,0.07672907481408375,2.3963624113474005,0.0072992700729927005,0.09259074092590741,5.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Luzon Strait,external_onset,ar_lag1_7,Luzon Strait,n_tanker,130,24.627765486725664,3822.0,3196.938904338276,625.0610956617238,0.19523339528762956,0.09153439411484307,0.033128307490889866,0.025341454669627783,0.155158553974103,3.130223335475356,0.0007999200079992001,0.0122987701229877,3.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Makassar Strait,external_onset,ar_lag1_7,Makassar Strait,n_tanker,130,5.382743362831858,689.0,699.882661046084,-10.882661046084063,-0.015552065486831695,0.07530269338954337,0.03596753022919466,0.005448416302514704,0.1469001571184966,-2.52602161720375,0.9943005699430058,1.0,15.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Malacca Strait,external_onset,ar_lag1_7,Malacca Strait,n_tanker,130,72.55530973451327,10754.0,9578.501378272991,1175.498621727009,0.12462626268558953,0.11881647318708934,0.028454347294172344,0.06148880344303435,0.17247861642733933,0.20417932762387006,0.4283571642835716,0.9665033496650335,10.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Oresund Strait,external_onset,ar_lag1_7,Oresund Strait,n_tanker,130,11.860619469026549,1519.0,1542.7006462028571,-23.700646202857126,-0.015371259787484281,-0.027358305875460377,0.025281405443969354,-0.07646656298911804,0.022519815926520352,0.4741447667750408,0.31766823317668236,0.9596040395960403,8.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Sunda Strait,external_onset,ar_lag1_7,Sunda Strait,n_tanker,130,10.803097345132743,1554.0,1405.8659345296428,148.13406547035729,0.10547834337749727,0.028559488018480465,0.02902466559364942,-0.0282475961203829,0.08511742694150189,2.6501202954719525,0.004299570042995701,0.04789521047895211,4.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Taiwan Strait,external_onset,ar_lag1_7,Taiwan Strait,n_tanker,130,58.26327433628319,6569.0,7557.032764524085,-988.032764524085,-0.13044670285665066,-0.09015296264301606,0.018566569513176236,-0.12589420462017273,-0.052298656241002474,-2.1702307572241137,0.987001299870013,1.0,14.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Tsugaru Strait,external_onset,ar_lag1_7,Tsugaru Strait,n_tanker,130,12.018805309734514,1471.0,1559.8378334104552,-88.83783341045527,-0.05685822606325998,-0.020711773301217467,0.03667053783850124,-0.09334317654773351,0.049417655941314975,-0.9857082795249194,0.8373162683731626,0.9999000099990001,12.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Yucatan Channel,external_onset,ar_lag1_7,Yucatan Channel,n_tanker,130,21.99778761061947,3073.0,2858.258181366049,214.74181863395103,0.07509210346865276,0.03861778300860758,0.018300634196430028,0.0023536671868396057,0.07390623120126084,1.9930631948897355,0.021997800219978002,0.19458054194580543,7.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Bab el-Mandeb Strait,external_onset,chronos2_univariate,Bab el-Mandeb Strait,n_tanker,130,20.027101769911503,1822.0,3514.083604812622,-1692.083604812622,-0.6499206864211874,0.045808486121683985,0.025521498319507226,-0.003933476087201508,0.0964002301863618,-27.26051440369762,1.0,1.0,16.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Bohai Strait,external_onset,chronos2_univariate,Bohai Strait,n_tanker,130,37.0033185840708,4705.0,4816.816757202148,-111.81675720214844,-0.023244642223123647,-0.01847021721752772,0.026355029841581154,-0.06904648903249515,0.03423511084421887,-0.1811580193342513,0.5624437556244376,0.9968003199680032,10.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Bosporus Strait,external_onset,chronos2_univariate,Bosporus Strait,n_tanker,130,23.190818584070797,3251.0,3220.989646911621,30.010353088378906,0.00995432175340164,0.0004626942810787888,0.0242343433761105,-0.048838225503767124,0.0463256372323399,0.3916601875699846,0.3521647835216478,0.9612038796120388,9.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Cape of Good Hope,external_onset,chronos2_univariate,Cape of Good Hope,n_tanker,130,10.896017699115044,2255.0,1242.6398105621338,1012.3601894378662,0.7147002040232965,-0.004388585076005802,0.029987450127923813,-0.06230563146888349,0.054819039740854766,23.979657691191917,9.999000099990002e-05,9.999000099990002e-05,1.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Dover Strait,external_onset,chronos2_univariate,Dover Strait,n_tanker,130,56.14048672566372,8327.0,8614.55228805542,-287.5522880554199,-0.03940009797489395,0.027706694796490457,0.014998054459974992,-0.0013872991581522166,0.05747360582779098,-4.4743665220359725,1.0,1.0,14.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Gibraltar Strait,external_onset,chronos2_univariate,Gibraltar Strait,n_tanker,130,41.608960176991154,6238.0,6766.097415924072,-528.0974159240723,-0.09763012095281612,0.016164125107357152,0.022153843471462063,-0.025933508578709925,0.06097015754661691,-5.136546451037253,1.0,1.0,15.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Korea Strait,external_onset,chronos2_univariate,Korea Strait,n_tanker,130,63.254977876106196,8139.0,7459.176643371582,679.823356628418,0.08267191944712642,-0.013614963063424426,0.017430798869477848,-0.04898714462244403,0.02025310472074196,5.5239512102427915,9.999000099990002e-05,9.999000099990002e-05,2.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Lombok Strait,external_onset,chronos2_univariate,Lombok Strait,n_tanker,130,6.991150442477876,991.0,915.3211679458618,75.67883205413818,0.08326882202646169,0.053280753279186924,0.03204623588163512,-0.009453074767967976,0.11626720872559124,0.9357750738039147,0.1735826417358264,0.8624137586241376,6.0,16.0,10000.0,eligible_receiver_family,7
n_tanker::Luzon Strait,external_onset,chronos2_univariate,Luzon Strait,n_tanker,130,24.627765486725664,3822.0,3443.104393005371,378.8956069946289,0.1183453526807916,0.01992318105419902,0.033667992105827785,-0.04844512218625854,0.08339429333867227,2.9233157509727503,0.0012998700129987,0.027897210278972105,3.0,16.0,10000.0,eligible_receiver_family,7
